ÈÕÆÚ,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH
2014/1/2,7.7,16.58,8.4478,3.1016,8.1489,6.5991,,,4.4643,2.3433,4.1581,,,,5.3765,,,,,,,,0.2698
2014/1/3,7.76,16.4,8.1428,3.1912,7.83,6.603,,,4.3597,2.2735,4.2018,,,,5.2813,,,,,,,,0.2685
2014/1/6,7.22,16.22,7.9334,3.2854,7.4796,6.209,,,4.5052,2.0462,4.0603,,,,5.1578,,,,,,,,0.2575
2014/1/7,7.24,16.3,7.9283,3.2898,7.4796,6.2642,,,4.4071,2.0328,4.0754,,,,5.1752,,,,,,,,0.2588
2014/1/8,7.38,16.3,7.9024,3.2719,7.3418,6.209,,,4.5134,2.1483,4.1371,,,,5.0366,,,,,,,,0.2515
2014/1/9,7.19,15.9,7.737,3.1509,7.2946,5.9648,,,4.3662,2.0115,3.934,,,,5.0214,,,,,,,,0.2518
2014/1/10,6.96,15.76,7.4836,2.994,7.1293,5.7993,,,4.1749,2.0225,3.8031,,,,4.9933,,,,,,,,0.2465
2014/1/13,6.95,15.69,7.2329,3.003,6.9285,5.5984,,,4.1258,2.1003,3.8437,,,,4.807,,,,,,,,0.2511
2014/1/14,6.96,15.79,7.3854,3.0523,7.1175,5.8426,,,4.2207,2.144,3.9084,,,,5.0474,,,,,,,,0.2611
2014/1/15,6.88,15.81,7.2381,3.0837,7.0938,5.9175,,,4.2027,2.2443,3.9325,,,,5.1925,,,,,,,,0.2631
2014/1/16,6.9,15.8,7.3234,3.0613,7.1332,5.8978,,,4.2239,2.1963,3.8031,,,,5.4523,,,,,,,,0.2715
2014/1/17,6.79,15.94,7.1476,2.9895,6.9403,5.7008,,,4.1765,2.1489,3.6662,,,,5.7251,,,,,,,,0.2725
2014/1/20,6.66,15.8,7.1941,3.0209,7.086,5.6063,,,4.17,2.048,3.6888,,,,5.448,,,,,,,,0.2701
2014/1/21,6.71,15.88,7.2432,3.0613,7.1175,5.7008,,,4.2223,2.0899,3.6948,,,,5.4566,,,,,,,,0.2695
2014/1/22,7.05,16.15,7.587,3.133,7.3064,5.8742,,,4.3171,2.1015,3.8181,,,,5.4566,,,,,,,,0.2695
2014/1/23,6.98,16.16,7.4759,3.1643,7.3379,5.8387,,,4.3171,2.1622,3.8903,,,,5.4566,,,,,,,,0.2695
2014/1/24,6.97,16.35,7.5405,3.1688,7.4009,5.949,,,4.3319,2.1756,3.9701,,,,5.4566,,,,,,,,0.2695
