ÈÕÆÚ,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH
2014/1/2,4.16,8.68,2.1586,4.5278,2.2347,6.713,2.629,5.9461,5.0308,,,5.7418,,,2.7897,3.3787,5.551,6.7218,3.8442,2.8767,3.8825,2.0772,4.1843,2.4483,,2.725,3.5204,,,,,,
2014/1/3,4.1406,8.68,2.1586,4.6463,2.2203,6.4514,2.5955,5.8022,4.9825,,,5.411,,,2.7246,3.3787,5.4042,6.5926,3.743,2.8483,3.852,2.047,4.0673,2.4025,,2.6717,3.4679,,,,,,
2014/1/6,4.1017,8.52,2.1586,4.5129,2.1583,6.2587,2.5141,5.6676,4.8761,,,5.2301,,,2.627,3.2844,5.1692,6.4051,3.743,2.801,3.6906,1.9866,3.8783,2.3016,,2.5475,3.3803,,,,,,
2014/1/7,4.0434,8.53,2.0914,4.5648,2.1726,6.2954,2.5045,5.6908,4.8761,,,5.3544,,,2.6223,3.2844,5.2084,6.4116,3.7107,2.801,3.6949,1.9866,3.8333,2.2833,,2.5386,3.4066,,,,,,
2014/1/8,4.0434,8.34,2.0387,4.5945,2.1869,6.3321,2.4997,5.7372,4.8567,,,5.4788,,,2.6316,3.2587,5.0419,6.2694,3.7199,2.7537,3.6906,1.979,3.7884,2.2374,,2.5208,3.389,,,,,,
2014/1/9,4.0434,8.19,2.0291,4.387,2.1153,6.1945,2.4614,5.5191,4.7213,,,5.1141,,,2.5944,3.2158,4.9244,6.2759,3.7153,2.7064,3.6033,1.9337,3.8153,2.2374,,2.5119,3.3628,,,,,,
2014/1/10,4.0239,8,1.9427,4.2239,2.0675,6.1761,2.38,5.3102,4.5471,,,5.0887,,,2.4921,3.1901,4.8559,6.1595,3.545,2.7064,3.5684,1.9035,3.7074,2.1824,,2.4853,3.3628,,,,,,
2014/1/13,3.9948,7.74,1.8948,4.0757,2.0771,6.1394,2.3752,5.1431,4.5471,,,5.0831,,,2.4968,3.1901,4.8755,6.0626,3.4161,2.8199,3.5946,1.911,3.7344,2.1824,,2.4764,3.3715,,,,,,
2014/1/14,4.0045,7.78,1.9283,4.1498,2.1248,6.3092,2.4183,5.222,4.6245,,,5.2696,,,2.5479,3.2158,4.8853,6.1337,3.4621,2.8199,3.6513,1.9262,3.7524,2.2007,,2.5297,3.389,,,,,,
2014/1/15,4.0142,7.82,1.914,4.1647,2.1201,6.3367,2.4136,5.352,4.5761,,,5.2498,,,2.4968,3.2758,4.7972,6.1854,3.4437,2.801,3.6469,1.9186,3.7434,2.2007,,2.5208,3.3628,,,,,,
2014/1/16,3.9462,7.78,1.9283,4.2091,2.1105,6.2908,2.3944,5.2777,4.5761,,,5.4393,,,2.5154,3.3101,4.8951,6.2436,3.4529,2.8199,3.6469,1.9337,3.7434,2.2007,,2.5119,3.3453,,,,,,
2014/1/17,3.9948,7.74,1.9044,4.2462,2.0771,6.1486,2.3321,5.1941,4.5084,,,5.2668,,,2.4828,3.3015,4.7874,6.0173,3.3654,2.7915,3.5728,1.8808,3.6984,2.1824,,2.4587,3.319,,,,,,
2014/1/20,3.9267,7.55,1.9044,4.2462,2.0866,6.1807,2.3513,5.0085,4.4891,,,5.0011,,,2.4689,3.2758,4.7188,5.985,3.3516,2.801,3.551,1.9035,3.6984,2.1824,,2.4232,3.319,,,,,,
2014/1/21,3.9656,7.58,1.914,4.3425,2.1153,6.2495,2.3705,5.0085,4.5374,,,5.1735,,,2.5014,3.2844,4.7776,5.9979,3.3747,2.8199,3.66,1.911,3.7794,2.2191,,2.4409,3.3365,,,,,,
2014/1/22,4.092,7.91,1.9571,4.4314,2.1726,6.4239,2.4279,5.1477,4.7019,,,5.2866,,,2.5805,3.3358,4.944,6.2112,3.4713,2.8672,3.7342,1.9564,3.8693,2.2741,,2.5119,3.4066,,,,,,
2014/1/23,4.0434,7.92,1.9667,4.4018,2.1583,6.4193,2.4183,5.2545,4.6922,,,5.3403,,,2.5758,3.3101,4.9342,6.166,3.4944,2.8672,3.7167,1.9488,3.8063,2.2466,,2.5119,3.3803,,,,,,
2014/1/24,4.0628,8.07,1.9667,4.4092,2.1821,6.6396,2.4662,5.3009,4.789,,,5.3714,,,2.5991,3.3273,5.2377,6.5667,3.5266,2.8862,3.7647,1.9564,3.8153,2.2558,,2.5208,3.389,,,,,,
2014/1/27,4.0045,7.93,1.9571,4.4018,2.1917,6.5662,2.4375,5.2823,4.7213,,,5.5128,,,2.5851,3.2844,5.0615,6.8511,3.4253,2.8862,3.7429,1.9639,3.7164,2.2099,,2.4942,3.3453,,,,,,
2014/1/28,4.0239,7.8,1.9763,4.4018,2.1726,6.6166,2.3752,5.287,4.7019,,,5.346,,,2.5805,3.2758,5.0419,6.8059,3.4851,2.9051,3.7342,1.9488,3.7254,2.2374,,2.4853,3.354,,,,,,
2014/1/29,3.9948,7.8,2.0051,4.4314,2.2012,6.6533,2.3705,5.3055,4.7213,,,5.411,,,2.5851,3.293,5.0321,6.6443,3.4944,2.8956,3.7342,1.9564,3.7434,2.2374,,2.4764,3.3715,,,,,,
2014/1/30,3.9462,8.58,1.9955,4.4018,2.1917,6.612,2.3657,5.1338,4.7116,,,5.329,,,2.5619,3.2844,4.9832,6.5861,3.4529,2.8672,3.6993,1.9488,3.6984,2.2099,,2.4498,3.3453,,,,,,
2014/2/7,3.9656,8.83,2.0099,4.4388,2.2203,6.7084,2.4136,5.2406,4.7696,,,5.428,,,2.5851,3.293,5.0321,6.4116,3.5726,2.9051,3.7167,1.9639,3.7254,2.2099,,2.4498,3.354,,,,,,
2014/2/10,4.0336,8.87,2.0483,4.5796,2.2681,6.8461,2.495,5.403,4.8761,,,5.428,,,2.6409,3.353,5.1496,6.5732,3.6325,2.9335,3.8171,2.0017,3.8153,2.2558,,2.5119,3.4241,,,,,,
2014/2/11,4.0434,8.68,2.0483,4.5722,2.2633,6.9241,2.5141,5.3984,4.8567,,,5.428,,,2.6595,3.353,5.1888,6.6184,3.6509,2.924,3.8301,2.0092,3.8243,2.2649,,2.5297,3.4416,,,,,,
2014/2/12,4.1697,8.77,2.0579,4.6315,2.2633,6.9011,2.5285,5.5051,4.9631,,,5.428,,,2.7339,3.353,5.2573,6.5796,3.6647,2.9335,3.8912,2.0319,3.8333,2.2741,,2.5297,3.4679,,,,,,
2014/2/13,4.1114,9.4,2.0387,4.5426,2.2394,6.69,2.5668,5.6351,4.8857,,,5.428,,,2.6828,3.3358,5.1202,6.6507,3.5818,2.9145,3.8432,2.0168,3.7973,2.2466,,2.5031,3.4153,,,,,,
2014/2/14,4.16,9.23,2.0675,4.5722,2.2729,6.8002,2.5955,5.714,4.9438,,,5.428,,,2.706,3.353,5.2279,7.3165,3.6601,2.9335,3.9392,2.0697,3.8693,2.2924,,2.5297,3.4503,,,,,,
2014/2/17,4.16,9.22,2.0962,4.676,2.3111,7.1581,2.6147,5.909,5.0502,,,5.428,,,2.7153,3.4559,5.2573,7.6784,3.7107,2.9524,4.0134,2.0772,3.8693,2.3016,,2.5386,3.4591,,,,,,
2014/2/18,4.1114,9.06,2.1202,4.6982,2.3158,7.1672,2.5716,5.8951,5.1373,,,5.428,,,2.6688,3.4902,5.2965,7.7495,3.6371,2.9713,4.009,2.0546,3.8243,2.2558,,2.5119,3.4153,,,,,,
2014/2/19,4.1503,9.17,2.1106,4.6908,2.3111,7.2636,2.6434,6.0575,5.1082,,,5.428,,,2.7106,3.5073,5.316,7.6202,3.6601,3.0092,3.9916,2.0772,3.8603,2.2741,,2.5386,3.4503,,,,,,
2014/2/20,4.1114,8.94,2.0818,4.5129,2.2681,7.3003,2.6626,5.8765,5.0695,,,5.428,,,2.8315,3.5245,5.179,7.4393,3.591,2.9713,3.9523,2.0546,3.8423,2.2833,,2.5386,3.4416,,,,,,
2014/2/21,4.0239,9.38,2.0435,4.5352,2.2538,7.103,2.5668,5.8394,5.0405,,,5.428,,,2.7571,3.4559,5.1398,7.2389,3.6141,2.9429,3.9872,2.0243,3.8153,2.2649,,2.4942,3.4153,,,,,,
2014/2/24,3.9656,9.25,2.0483,4.4981,2.2585,7.3278,2.5045,5.7187,4.9244,,,5.428,,,2.6781,3.3873,4.9734,6.7477,3.6831,2.924,3.8825,1.9941,3.7164,2.2099,,2.4409,3.3365,,,,,,
2014/2/25,3.9073,8.84,1.9811,4.1424,2.1487,6.8828,2.404,5.5794,4.7987,,,5.428,,,2.6084,3.3101,4.8265,6.6055,3.5036,2.8672,3.8127,1.9413,3.6174,2.1732,,2.3788,3.2927,,,,,,
