ÈÕÆÚ,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH
2014/1/2,6.46,,,,,,,,2.1506,3.3765,7.5078,5.06,5.3967,,1.8625,3.8576,,
2014/1/3,6.28,,,,,,,,2.1058,3.3287,7.3781,5,5.3224,,1.8328,3.743,,
2014/1/6,5.99,,,,,,,,2.0264,3.2426,7.0133,4.75,5.1552,,1.803,3.5872,,
2014/1/7,6.04,,,,,,,,2.0402,3.2426,7.0457,4.64,5.2388,,1.809,3.5918,,
2014/1/8,6,,,,,,,,2.016,3.233,6.9727,4.57,5.2666,,1.7911,3.6514,,
2014/1/9,5.81,,,,,,,,1.9849,3.1756,6.8673,4.36,5.2852,,1.7911,3.6331,,
2014/1/10,5.81,,,,,,,,1.9918,3.0895,6.7619,4.36,5.1273,,1.7733,3.6789,,
2014/1/13,5.77,,,,,,,,1.9539,3.0991,6.6727,4.51,4.9601,,1.7554,3.7293,,
2014/1/14,5.84,,,,,,,,1.9918,3.1278,6.8349,4.53,5.1645,,1.7614,3.7613,,
2014/1/15,5.91,,,,,,,,1.9608,3.1469,6.7619,4.55,5.1087,,1.7733,3.7247,,
2014/1/16,5.94,,,,,,,,1.9815,3.1278,6.8349,4.53,5.118,,1.7911,3.7109,,
2014/1/17,5.72,,,,,,,,1.9539,3.08,6.5916,4.46,4.9508,,1.7733,3.6376,,
2014/1/20,5.76,,,,,,,,1.9608,3.0704,6.4862,4.26,4.9787,,1.7733,3.6651,,
2014/1/21,5.8,,,,,,,,1.978,3.0895,6.5511,4.35,5.0158,,1.7852,3.6743,,
2014/1/22,6.08,,,,,,,,2.0367,3.1948,6.7538,4.49,5.118,,1.8268,3.7797,,
2014/1/23,5.99,,,,,,,,2.0471,3.2043,6.8106,4.55,5.1273,,1.7971,3.7476,,
2014/1/24,6.25,,,,,,,,2.0678,3.233,6.8754,4.59,5.1923,,1.809,3.8072,,
2014/1/27,6.07,,,,,,,,2.0609,3.1852,6.9322,4.53,5.0902,,1.7852,3.7705,,
2014/1/28,6.07,,,,,,,,2.0574,3.1756,6.8268,4.76,5.0437,,1.803,3.7843,,
2014/1/29,6.05,,,,,,,,2.0402,3.1852,7.0133,4.7,5.1273,,1.803,3.7888,,
2014/1/30,6.06,,,,,,,,2.0471,3.1852,7.2322,4.85,5.0902,,1.7792,3.7155,,
2014/2/7,6.17,,,,,,,,2.0574,3.2043,7.2727,4.86,5.3317,,1.7792,3.743,,
2014/2/10,6.3,,,,,,,,2.0989,3.2617,7.4349,4.9,5.8611,,1.7971,3.8713,,
2014/2/11,6.33,,,,,,,,2.1023,3.2713,7.4916,4.87,5.954,,1.803,3.9263,,
2014/2/12,6.42,,,,,,,,2.1092,3.2808,7.4105,4.78,5.9633,,1.7971,3.9629,,
2014/2/13,6.27,,,,,,,,2.1092,3.2522,7.6457,4.72,6.3906,,1.7792,3.9171,,
2014/2/14,6.46,,,,,,,,2.199,3.2808,7.6538,4.86,6.3906,,1.7852,4.0179,,
2014/2/17,6.46,,,,,,,,2.2231,3.3287,7.7024,4.85,6.4091,,1.7911,4.0591,,
2014/2/18,6.55,,,,,,,,2.1921,3.2808,7.7592,4.86,6.4742,,1.7733,4.0683,,
2014/2/19,6.58,,,,,,,,2.1955,3.3287,7.6457,4.92,6.372,,1.7911,4.0683,,
2014/2/20,6.4,,,,,,,,2.1679,3.4243,7.6294,4.84,6.0655,,1.7971,3.9446,,
2014/2/21,6.4,,,,,,,,2.1092,3.4626,8.0348,4.78,6.0097,,1.7792,3.9125,,
2014/2/24,6.23,,,,,,,,2.0678,3.4626,8.1646,4.71,6.1119,,1.7257,3.8576,,
2014/2/25,6.11,,,,,,,,2.0195,3.3,7.9538,4.54,6.0655,,1.6899,3.688,,
2014/2/26,6.14,,,,,,,,2.0954,3.4243,8.0348,4.54,6.4277,,1.6661,3.6926,,
2014/2/27,6.02,,,,,,,,2.0989,3.4148,7.7754,4.44,6.2419,,1.6364,3.5139,,
2014/2/28,6.08,,,,,,,,2.1058,3.3382,7.5322,4.66,6.7157,,1.678,3.5277,,
