ÈÕÆÚ,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH
2014/1/2,6.2484,9.146,6.2265,12.7005,7.4922,3.1996,6.5949,,,,,,,,,,,6.59,9.4116,7.0026,,,,
2014/1/3,6.4538,9.0015,5.9464,12.2092,7.3543,3.1996,6.5949,,,,,,,,,,,6.55,9.2024,6.8496,,,,
2014/1/6,6.4147,8.5308,5.4905,11.6633,6.8717,3.1996,6.2908,,,,,,,,,,,6.38,8.7742,6.4356,,,,
2014/1/7,6.2875,8.4234,5.4058,11.8519,6.7415,3.1996,6.2186,,,,,,,,,,,6.54,8.824,6.4626,,,,
2014/1/8,6.5809,8.411,5.4514,11.8122,6.6802,3.1996,6.2452,,,,,,,,,,,6.4,8.8339,6.3726,,,,
2014/1/9,6.4538,8.3243,5.4449,11.4647,6.5691,3.1996,5.9715,,,,,,,,,,,6.23,8.7742,6.1836,,,,
2014/1/10,6.4538,8.0601,5.256,11.5789,6.435,3.1996,5.7776,,,,,,,,,,,6.07,8.4057,6.0125,,,,
2014/1/13,6.0137,8.155,5.2169,11.6236,6.2818,3.1996,5.8157,,,,,,,,,,,6.09,8.1965,6.0575,,,,
2014/1/14,5.6519,7.961,5.3407,11.6285,6.3929,3.1996,5.8993,,,,,,,,,,,6.15,8.4853,6.2106,,,,
2014/1/15,5.6226,7.961,5.3342,11.7675,6.4159,3.1996,5.9221,,,,,,,,,,,6.09,9.3319,6.1836,,,,
2014/1/16,6.0333,8.089,5.4579,12.0702,6.5806,3.1996,6.0361,,,,,,,,,,,6.28,9.292,6.5976,,,,
2014/1/17,5.8475,8.3945,5.4253,11.9114,6.504,3.1996,6.0019,,,,,,,,,,,6.1,9.2721,6.4086,,,,
2014/1/20,5.6715,8.4317,5.4319,11.837,6.4657,3.1996,5.7852,,,,,,,,,,,6.14,9.0132,6.2736,,,,
2014/1/21,5.7008,8.5184,5.4449,11.9065,6.5691,3.1996,5.9145,,,,,,,,,,,6.19,9.1925,6.3636,,,,
2014/1/22,5.828,8.8074,5.6859,12.3333,6.7606,3.1996,6.0703,,,,,,,,,,,6.38,9.4414,6.4716,,,,
2014/1/23,5.7204,8.7083,5.8357,12.7551,6.8985,3.1996,6.2376,,,,,,,,,,,6.29,9.3319,6.5346,,,,
2014/1/24,5.828,8.8074,5.8617,13.2961,7.1552,3.1996,6.3326,,,,,,,,,,,6.42,9.312,6.5976,,,,
2014/1/27,5.8377,8.1674,5.5426,12.507,6.8181,3.1996,6.4086,,,,,,,,,,,6.26,9.3916,6.5616,,,,
2014/1/28,5.8377,7.899,5.5751,12.7998,6.8066,3.1996,6.401,,,,,,,,,,,6.21,9.1626,6.5616,,,,
2014/1/29,5.8182,7.8453,5.5361,12.641,6.7338,3.1996,6.4314,,,,,,,,,,,6.18,8.814,6.5256,,,,
2014/1/30,5.8182,7.8866,5.5686,12.4623,6.6955,3.1996,6.42,,,,,,,,,,,6.12,8.804,6.4356,,,,
2014/2/7,5.7791,7.705,5.7184,12.4722,6.5998,3.1996,6.4542,,,,,,,,,,,6.28,8.9335,6.5166,,,,
2014/2/10,5.8475,8.0353,5.8617,12.9338,6.7798,3.1996,6.5987,,,,,,,,,,,6.53,9.2024,6.7686,,,,
2014/2/11,5.7595,8.027,6.0376,12.8296,6.7568,3.1996,6.5493,,,,,,,,,,,6.5,9.3219,6.7776,,,,
2014/2/12,5.8084,8.4895,6.233,13.3507,7.0019,3.1996,6.7469,,,,,,,,,,,6.62,9.8796,6.9126,,,,
2014/2/13,5.7008,8.2211,6.1157,13.3011,6.7683,3.1996,6.5037,,,,,,,,,,,6.51,9.4514,6.7686,,,,
2014/2/14,5.7302,8.2995,6.1483,13.6088,6.8411,3.1996,6.6367,,,,,,,,,,,6.68,9.5709,6.8136,,,,
2014/2/17,5.7497,8.7661,6.3632,14.9687,7.1207,3.1996,6.8343,,,,,,,,,,,6.85,9.6805,6.9216,,,,
2014/2/18,6.3267,9.113,6.3697,14.9885,7.182,3.1996,6.8686,,,,,,,,,,,6.93,9.7701,6.9126,,,,
2014/2/19,6.5222,9.1749,6.3111,14.4873,7.0747,3.1996,6.6899,8.0531,,,,,,,,,,6.84,10.0888,7.2007,,,,
2014/2/20,6.1702,8.8198,6.0441,14.0654,6.9483,3.1996,6.5113,8.8573,,,,,,,,,,6.67,10.9154,7.0206,,,,
2014/2/21,6.004,8.601,5.9724,14.2242,6.887,3.1996,6.5835,9.7441,,,,,,,,,,6.68,10.8059,6.9666,,,,
2014/2/24,5.9649,7.9321,5.6207,12.7998,6.1976,3.1996,6.4466,10.7188,,,,,,,,,,6.55,10.6067,6.7506,,,,
2014/2/25,5.7888,7.8701,5.5491,12.4623,6.1976,3.1996,6.1882,11.792,,,,,,,,,,6.4,10.6366,6.6246,,,,
2014/2/26,5.7008,7.8495,5.5556,12.5417,6.052,3.1996,6.0627,11.792,,,,,,,,,,6.48,10.8357,6.6066,,,,
2014/2/27,5.6422,7.6017,5.4384,11.6633,5.872,3.1996,5.9487,11.792,,,,,,,,,,6.25,10.2681,6.4446,,,,
2014/2/28,5.6226,7.6967,5.5296,12.0653,5.9754,3.1996,6.0475,12.3779,,,,,,,,,,6.29,9.8796,6.5346,,,,
2014/3/3,5.7497,7.6348,5.5296,11.9561,5.895,3.1996,6.1768,13.6162,,,,,,,,,,6.37,10.1187,6.5796,,,,
2014/3/4,5.7791,7.515,5.5296,11.8419,5.7839,3.1996,6.1463,12.8706,,,,,,,,,,6.38,10.1884,6.5706,,,,
2014/3/5,5.6911,7.6802,5.5296,12.502,5.8222,3.1996,6.1311,12.1968,,,,,,,,,,6.32,10.0888,6.5436,,,,
2014/3/6,5.6617,7.6884,5.5296,12.7948,5.9179,3.1996,6.1844,12.4498,,,,,,,,,,6.32,9.7601,6.6246,,,,
2014/3/7,5.5737,7.5935,5.5296,13.1621,5.8222,3.1996,6.1235,12.1169,,,,,,,,,,6.41,9.5809,6.5526,,,,
2014/3/10,5.6226,7.1351,5.5296,12.9983,5.5387,3.1996,5.8651,11.5577,,,,,,,,,,6.08,9.053,6.2106,,,,
2014/3/11,5.5542,7.0443,5.5296,12.4077,5.4736,3.1996,5.9525,11.0783,,,,,,,,,,6.07,9.063,6.2286,,,,
2014/3/12,5.5444,7.1929,5.5296,12.507,5.5349,3.1996,5.9905,10.812,,,,,,,,,,6.05,9.0132,6.1476,,,,
2014/3/13,5.7986,7.3127,5.5296,12.7105,5.5426,3.1996,6.0399,10.6922,,,,,,,,,,6.09,9.0331,6.1836,,,,
2014/3/14,5.7986,7.2177,5.5296,12.5169,5.5464,3.1996,5.9639,10.5724,,,,,,,,,,6.07,8.8837,6.0575,,,,
2014/3/17,5.7986,7.5109,5.5296,13.0331,5.6996,3.1996,6.192,10.7268,,,,,,,,,,6.15,9.0929,6.4266,,,,
2014/3/18,5.7986,7.5646,5.5296,12.904,5.6345,3.1996,6.2414,10.4818,,,,,,,,,,6.21,9.1725,6.4266,,,,
2014/3/19,5.7986,7.3292,5.5296,13.0976,5.6039,3.1996,6.192,9.9732,,,,,,,,,,6.17,9.0431,6.3636,,,,
2014/3/20,6.3755,7.1434,5.5296,13.2018,5.5043,3.1996,6.0817,10.6523,,,,,,,,,,6,8.8439,6.2826,,,,
2014/3/21,6.1702,7.6926,5.5296,12.9537,5.7954,3.1996,6.1578,10.2981,,,,,,,,,,6.26,8.9634,6.4356,,,,
2014/3/24,6.0529,7.6265,5.7249,12.6013,5.7915,3.1996,6.1121,10.2528,,,,,,,,,,6.25,9.053,6.6246,,,,
2014/3/25,5.9257,7.8742,6.2981,12.78,6.1133,3.1996,6.2034,9.9146,,,,,,,,,,6.27,9.3717,6.5706,,,,
2014/3/26,5.9551,7.6843,6.4284,12.5467,5.9831,3.1996,6.154,9.4539,,,,,,,,,,6.36,9.302,6.5526,,,,
2014/3/27,5.6226,7.5398,6.3567,12.1496,5.8298,3.1996,5.9981,8.9053,,,,,,,,,,6.18,8.9335,6.3456,,,,
2014/3/28,5.5835,7.5068,5.992,12.1943,5.7992,3.1996,5.8917,8.7588,,,,,,,,,,5.57,8.7642,6.2196,,,,
2014/3/31,5.7302,7.4407,5.8813,12.1199,5.8681,3.5207,5.9069,8.5218,,,,,,,,,,5.43,8.7443,6.2106,,,,
2014/4/1,5.7204,7.7173,6.018,12.4524,6.0329,3.8732,5.9335,8.7455,,,,,,,,,,5.73,8.8837,6.2826,,,,
2014/4/2,5.6422,7.7669,5.7966,12.6211,6.0865,4.2609,5.9297,9.0491,,,,,,,,,,5.67,9.5908,6.3186,,,,
2014/4/3,5.5542,7.7215,6.3762,12.6559,6.1746,4.6878,5.9639,9.2808,,,,,,,,,,5.59,9.6307,6.2556,,,,
2014/4/4,5.5542,7.7215,6.3372,12.6211,6.1286,4.8013,5.9829,9.0571,,,,,,,,,,5.87,9.6406,6.2916,,,,
2014/4/8,5.6422,7.7215,6.4414,12.6211,6.1401,4.4685,6.0399,9.2195,,,,,,,,,,5.91,9.8597,6.3906,,,,
2014/4/9,5.6911,7.7215,6.4935,12.6211,6.1095,4.5859,6.0703,9.4672,,,,,,,,,,5.98,9.7103,6.4446,,,,
2014/4/10,5.6715,7.7215,6.3241,12.6559,6.1286,4.4019,6.0893,9.3766,,,,,,,,,,5.95,9.5311,6.4176,,,,
2014/4/11,5.6324,7.7215,6.2395,12.8445,5.9065,4.4724,5.9905,9.0012,,,,,,,,,,5.88,9.4016,6.3996,,,,
2014/4/14,5.6324,7.7215,6.4544,13.1869,5.9026,4.5155,6.1045,8.9932,,,,,,,,,,5.93,9.4016,6.3546,,,,
2014/4/15,5.6422,7.7215,6.2851,12.9487,5.7226,4.4254,6.0475,8.8414,,,,,,,,,,5.88,9.5112,6.2286,,,,
2014/4/16,5.6715,7.7215,6.259,12.6807,5.7379,4.351,6.1045,8.4659,,,,,,,,,,5.78,9.5112,6.2556,,,,
2014/4/17,5.6422,7.7215,6.1353,12.5963,5.7456,4.3745,6.0855,8.5617,,,,,,,,,,5.71,9.292,6.2196,,,,
2014/4/18,5.6226,7.7215,6.0311,12.5517,5.7571,4.304,6.0931,8.5591,,,,,,,,,,5.79,9.2223,6.2376,,,,
2014/4/21,5.5737,7.7215,6.0311,12.4077,5.5924,4.2139,5.9715,8.9559,,,,,,,,,,5.64,9.1626,6.0846,,,,
2014/4/22,5.603,7.7215,6.1092,12.2936,5.6268,4.2648,5.8879,9.0331,,,,,,,,,,5.69,8.9833,6.1026,,,,
2014/4/23,5.5444,7.7215,6.005,12.3978,5.5579,4.2961,5.8461,8.9479,,,,,,,,,,5.64,8.8738,6.1296,,,,
2014/4/24,5.4955,7.7215,6.1222,12.4971,5.5924,4.2452,5.9487,8.7082,,,,,,,,,,5.57,8.6746,6.0125,,,,
2014/4/25,5.4759,7.7215,5.8747,11.7625,5.0331,3.8849,5.466,8.3487,,,,,,,,,,5.42,8.5351,5.8505,,,,
2014/4/28,5.1924,7.7215,5.5947,11.5739,4.7458,3.787,5.2417,7.5152,,,,,,,,,,5,8.2164,5.5715,,,,
2014/4/29,5.0555,7.2631,5.6403,11.693,4.765,3.8458,5.3101,7.627,,,,,,,,,,5.07,8.336,5.6075,,,,
2014/4/30,5.2021,7.5522,5.6273,11.8022,4.7803,3.9045,5.3671,7.5871,,,,,,,,,,5.07,8.4156,5.6255,,,,
2014/5/5,5.1043,7.7545,5.5556,11.6136,4.7688,3.9672,5.4127,7.6963,,,,,,,,,,5.07,8.4555,5.7875,,,,
2014/5/6,5.075,7.7215,5.6468,11.7625,4.8454,4.0494,5.466,7.9945,,,,,,,,,,5.07,8.4256,5.7605,,,,
2014/5/7,4.987,7.5109,5.523,11.5987,4.7688,3.8575,5.3747,8.1197,,,,,,,,,,5.07,8.2862,5.6345,,,,
2014/5/8,4.9674,7.42,5.3928,11.1967,4.7535,3.8066,5.3861,7.8454,,,,,,,,,,5.07,8.2563,5.6255,,,,
2014/5/9,4.899,7.1434,5.2039,10.6855,4.5045,3.8379,5.6256,7.6137,,,,,,,,,,5.07,8.1368,5.6255,,,,
2014/5/12,5.0163,7.2714,5.3277,11.0181,4.6348,3.9672,5.8575,7.7708,,,,,,,,,,5.07,8.3857,5.7875,,,,
2014/5/13,4.9968,7.3416,5.3277,10.9188,4.7152,3.8928,5.8461,7.9013,,,,,,,,,,5.07,8.336,5.7605,,,,
2014/5/14,4.9381,7.3292,5.3342,10.9684,4.6846,3.8614,5.6484,7.9919,,,,,,,,,,5.07,8.3559,5.7695,,,,
2014/5/15,4.899,7.2012,5.2495,10.7103,4.7458,3.9163,5.5154,7.8986,,,,,,,,,,5.07,8.077,5.6165,,,,
2014/5/16,4.8306,7.1186,5.2365,10.621,4.765,3.8184,5.4888,8.0211,,,,,,,,,,5.07,8.0969,5.6525,,,,
2014/5/19,4.7523,7.0154,5.2234,10.5069,4.6922,3.8614,5.4926,7.848,,,,,,,,,,5.07,8.1467,5.5715,,,,
2014/5/20,4.7621,7.1227,5.2365,10.5466,4.7075,3.8614,5.4888,8.3727,,,,,,,,,,5.07,8.087,5.5355,,,,
2014/5/21,4.7719,7.259,5.3342,10.5912,4.7229,3.9045,5.5496,8.9479,,,,,,,,,,5.07,8.1168,5.5985,,,,
2014/5/22,5.251,7.1682,5.2886,10.7004,4.7382,3.9593,5.5002,8.7029,,,,,,,,,,5.07,8.0571,5.5895,,,,
2014/5/23,5.163,7.1847,5.2755,10.8195,4.742,3.9711,5.5686,8.9426,,,,,,,,,,5.07,8.1168,5.6255,,,,
2014/5/26,5.0946,7.3911,5.3673,11.2067,4.8608,4.0964,5.6218,9.0198,,,,,,,,,,5.58,8.4355,5.6885,,,,
2014/5/27,4.9381,7.3127,5.3214,11.167,4.8033,4.0533,5.5534,9.0012,,,,,,,,,,6.14,8.316,5.7155,,,,
2014/5/28,4.9479,7.4077,5.3083,11.1471,4.8608,4.163,5.6066,8.9745,,,,,,,,,,6.4,8.3857,5.7425,,,,
2014/5/29,4.899,7.2425,5.2428,11.0478,4.7573,4.022,5.5154,9.0038,,,,,,,,,,6.11,8.1666,5.6615,,,,
