ÈÕÆÚ,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH
2014/1/2,4.0896,4.7989,4.0408,7.6366,4.7188,10.8689,30.909,7.2441,7.14,6.851,7.1199,0.3109,0.9273,1.9445,0.6306,0.6075
2014/1/3,3.9885,4.6692,3.9815,7.4522,4.8825,10.8689,30.0824,7.0312,6.9696,6.5635,6.8432,0.3109,0.9273,1.9175,0.6111,0.6026
2014/1/6,3.8124,4.4397,3.863,7.2193,4.7386,10.8689,28.4861,6.643,6.5166,6.1272,6.5282,0.3012,0.9273,1.8084,0.5895,0.5875
2014/1/7,3.8237,4.4397,3.8828,7.2581,4.4905,10.8689,29.1892,6.7432,6.7784,6.157,6.5664,0.2992,0.9273,1.8544,0.5954,0.5936
2014/1/8,3.7975,4.32,3.863,7.2387,4.5649,10.8689,28.7807,6.5679,6.6454,6.0479,6.4232,0.3002,0.9273,1.8247,0.5974,0.5921
2014/1/9,3.8199,4.2901,3.8136,7.2193,4.4657,10.8689,30.1869,6.6242,6.8324,5.9983,6.4805,0.2997,0.9273,1.876,0.5974,0.5969
2014/1/10,3.7263,4.2302,3.7642,6.8312,4.3764,10.8689,30.4055,6.3675,6.8324,6.0479,6.3755,0.2929,0.9273,1.8796,0.5974,0.5921
2014/1/13,3.7188,4.1903,3.7444,6.8894,4.1581,10.8689,31.0706,6.4739,6.8781,6.0182,6.1464,0.2934,0.9273,1.9048,0.5886,0.5913
2014/1/14,3.79,4.31,3.9223,7.0156,4.2672,10.8689,30.9756,6.7056,6.9904,6.1966,6.2132,0.2983,0.9273,1.9094,0.6023,0.5984
2014/1/15,3.7713,4.2502,3.8729,7.0059,4.3962,10.8689,30.814,6.6868,6.9155,6.1867,6.1178,0.2997,0.9273,1.9076,0.6032,0.5988
2014/1/16,3.7862,4.33,3.9025,7.0156,4.3069,10.8689,30.9471,6.7682,6.9114,6.2363,6.1083,0.2988,0.9273,1.9139,0.6091,0.5996
2014/1/17,3.7825,4.2701,3.9025,6.8506,4.1481,10.8689,29.6168,6.4927,6.6496,6.0776,5.9556,0.2949,0.9273,1.8814,0.6062,0.5939
2014/1/20,3.7675,4.2901,3.8926,6.8409,4.1382,10.8689,29.6168,6.4113,6.6288,6.0776,5.9365,0.2944,0.9273,1.8814,0.6081,0.5936
2014/1/21,3.8162,4.3599,3.8926,7.0738,4.1878,10.8689,30.2534,6.499,6.7161,6.2363,6.051,0.2958,0.9273,1.9166,0.6071,0.5981
2014/1/22,3.9098,4.4697,3.942,7.1902,4.4111,10.8689,32.3438,6.7619,7.061,6.3652,6.2896,0.3022,0.9273,1.9895,0.614,0.6071
2014/1/23,3.8836,4.4198,3.9321,7.1902,4.4359,10.8689,31.9067,6.7244,6.9696,6.4147,6.3373,0.3012,0.9273,1.9868,0.615,0.6052
2014/1/24,3.9997,4.5994,3.9914,7.2872,4.4756,10.8689,32.4863,6.9498,7.0735,6.4247,6.6809,0.3007,0.9273,2.0562,0.6159,0.6109
2014/1/27,3.9248,4.4697,3.9815,7.2678,4.426,10.8689,32.9424,6.812,7.1192,6.6329,6.5282,0.2992,0.9273,2.0454,0.6159,0.6075
2014/1/28,3.9323,4.5196,3.9223,7.2193,4.4607,10.8689,34.9758,6.7995,7.4018,6.5436,6.5473,0.2992,0.9273,2.0887,0.612,0.6127
2014/1/29,3.9285,4.4996,3.9124,7.3067,4.3913,10.8689,34.7002,6.7619,7.3561,6.5734,6.4996,0.2968,0.9273,2.0779,0.6062,0.6135
2014/1/30,3.8799,4.4597,3.8828,7.2387,4.4458,10.8689,34.0921,6.5741,7.3686,6.6428,6.4423,0.2968,0.9273,2.04,0.612,0.6124
2014/2/7,3.8911,4.5894,3.8926,7.2387,4.3863,10.8689,33.313,6.6179,7.2272,6.7816,6.385,0.2939,0.9273,2.022,0.6189,0.6052
2014/2/10,3.9772,4.6493,3.9618,7.4619,4.55,10.8689,34.5672,6.8308,7.4267,6.97,6.6236,0.2997,0.9273,2.0598,0.6335,0.6116
2014/2/11,4.0259,4.7391,4.0112,7.5007,4.5699,10.8689,35.3178,6.931,7.5514,6.9898,6.8336,0.2992,0.9273,2.0697,0.6326,0.6127
2014/2/12,4.0446,4.9585,4.1001,7.8015,4.5997,10.8689,34.4152,7.1126,7.5057,6.9997,6.7859,0.2992,0.9273,2.0643,0.6394,0.6157
