ÈÕÆÚ,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH
2014/1/2,3.9554,3.7464,12.5322,5.5079,1.897,6.0882,,5.2125,3.347,8.45,4.6809,7.64,4.5517,3.5153,5.4983,5.7622,2.91,6.7569,3.4545,2.3067,,,5.2495,5.0607,,1.6928,2.8359,4.09,6.4053,12.9676,6.9988,4.2593,2.9093,3.66,6.55,4.3153,5.73,,6.9994,5.1418,,1.8257,3.36,7.6312,10.0956,,,,
2014/1/3,3.9554,3.7365,12.4352,5.7872,1.8682,6.0882,,5.257,3.3272,8.37,4.6217,7.61,4.5517,3.559,5.292,5.7622,3.2,6.6441,3.5168,2.2988,,,5.2196,5.1962,,1.6664,2.82,4.16,6.1731,13.1045,6.9459,4.2123,2.838,3.57,6.5,4.2041,5.66,,6.8804,5.1323,,1.792,3.38,7.5463,9.8768,,,,
2014/1/6,3.9554,3.6374,12.096,5.9316,1.7761,5.88,,5.0496,3.1885,8.03,4.4143,7.3,4.5517,3.4376,5.3447,5.7622,3.245,6.8452,3.2885,2.2315,,,4.872,5.0539,,1.6037,2.8001,4.06,5.8522,12.6574,6.6927,4.0946,2.7019,3.48,6.24,4.0409,5.62,,6.8852,4.9408,,1.7207,3.27,7.3199,9.1109,,,,
2014/1/7,3.9554,3.6424,11.9991,5.9027,1.7608,5.8304,,5.0052,3.1588,8.08,4.3945,7.28,4.5517,3.4619,5.4311,5.7622,3.11,7.1149,3.2332,2.2434,,,4.9915,5.1262,,1.607,2.7324,4.08,5.7771,12.6939,6.7104,4.1605,2.7441,3.5,6.28,4.0483,5.61,,6.9613,4.9503,,1.7365,3.26,7.4048,9.2502,,,,
2014/1/8,3.9554,3.5928,11.6405,5.8064,1.7339,5.7213,,4.9707,3.1192,7.86,4.3452,7.17,4.5517,3.4425,5.3975,5.7622,3.08,7.1835,3.247,2.2434,,,5.0512,5.2279,,1.5971,2.7045,4.03,5.8522,12.6847,6.5809,4.217,2.689,3.43,6.27,4.0261,5.58,,7.0089,4.912,,1.7445,3.22,7.3576,9.8271,,,,
2014/1/9,3.5775,3.5631,11.1268,5.5753,1.6898,5.6519,,4.8522,3.0202,7.53,4.2859,6.91,4.5517,3.3162,5.4119,5.7622,2.94,7.0462,3.1813,2.176,,,4.8584,4.9703,,1.5806,2.6408,3.96,5.7497,12.3745,6.5279,4.104,2.6339,3.33,6.18,3.9149,5.5,,6.9756,4.8737,,1.7306,3.14,7.4048,10.0161,,,,
2014/1/10,3.4705,3.4689,11.0783,5.2865,1.7167,5.5131,,4.867,3.0895,7.47,4.2958,6.6,4.5517,3.2531,5.4503,5.7622,2.925,7.0707,3.1295,2.1364,,,4.9127,4.5297,,1.5773,2.6368,3.91,5.2581,12.338,6.4926,4.1511,2.6209,3.66,6.03,3.8556,5.27,,6.9708,4.8259,,1.693,3.19,7.2727,9.5187,,,,
2014/1/13,3.4957,3.4937,11.3206,5.4309,1.7627,5.6222,,4.9509,3.2578,7.4,4.3452,6.81,4.5517,3.3065,5.4023,5.7622,2.975,6.7422,3.1122,2.1879,,,5.0105,4.4507,,1.6136,2.6567,4,5.2922,12.5296,6.6221,4.3064,2.6436,3.81,6.05,3.9297,5.35,,7.0612,4.9216,,1.7247,3.5,7.4142,9.2601,,,,
2014/1/14,3.5083,3.5234,11.4757,5.4694,1.7761,5.6717,,4.9657,3.1687,7.51,4.3649,6.82,4.5517,3.3308,5.5558,5.7622,3.015,7.2276,3.1813,2.2176,,,5.3527,4.6246,,1.6103,2.6846,4.05,5.3059,12.5022,6.7163,4.3111,2.6663,3.73,6.15,3.9445,5.34,,7.1659,4.9599,,1.7544,3.33,7.3482,9.5386,,,,
2014/1/15,3.4453,3.5036,11.3012,5.3731,1.7569,5.7015,,4.9213,3.0994,7.35,4.355,6.83,4.5517,3.3405,5.5894,5.7622,3.02,7.262,3.1813,2.2275,,,5.445,4.8528,,1.6103,2.6726,4.02,5.2854,12.265,6.8752,4.2782,2.6371,3.68,6.16,3.9223,5.33,,7.1516,4.9216,,1.7544,3.24,7.3387,9.4491,,,,
