ÈÕÆÚ,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH
2014/1/2,8.4302,21.48,10.49,6.5005,7.5933,8.7041,13.4891,3.834,6.9528,,,,14.4128,38.21,5.8541,12.3542,10.8145,13.3017,3.1367,6.8825,7.9588,,,1.947
2014/1/3,8.3374,22.16,10.5,6.5935,7.5933,8.516,13.4594,3.7628,7.0316,,,,14.8424,38.78,5.851,12.0694,10.6328,13.3354,3.1054,6.8053,7.8314,,,1.9164
2014/1/6,8.1945,22.21,10.12,6.5396,7.5933,8.2734,12.8151,3.6642,7.1012,,,,14.6471,38.5,5.7447,11.6963,10.371,13.1781,3.0153,6.4674,7.7041,,,1.8429
2014/1/7,8.0944,21.79,10.1,6.2851,7.5933,8.3031,12.9638,3.7806,7.0873,,,,14.3933,38.19,5.6657,11.7061,10.2802,13.077,3.0506,6.506,7.8173,,,1.8429
2014/1/8,8.0802,21.61,10.09,6.3683,7.5933,8.2635,13.3305,3.8502,7.0224,,,,14.224,37.48,5.611,11.6373,10.2748,12.6838,3.0192,6.3613,7.7748,,,1.8154
2014/1/9,7.8015,21.36,9.75,6.1187,7.5933,8.0555,12.9737,3.7823,6.6771,,,,14.0027,37.1,5.6445,11.5391,10.1733,12.3074,2.8469,6.1296,7.4635,,,1.7633
2014/1/10,7.4586,20.95,9.66,6.2949,7.5933,8.0951,13.1224,3.8194,6.7466,,,,13.9962,37.19,5.3133,11.5784,9.5428,12.3692,2.796,6.1489,7.5201,,,1.7603
2014/1/13,7.5229,20.8,9.91,6.1284,7.5933,8.1942,13.5783,3.7434,6.779,,,,14.1198,37.8,5.447,11.8043,9.4787,12.4984,3.0741,6.284,7.6687,,,1.8215
2014/1/14,7.53,20.46,9.97,6.1921,7.5933,8.2288,13.6675,3.6723,6.8207,,,,14.1068,37.69,5.4379,12.0007,9.5909,12.4534,3.1837,6.2744,7.7041,,,1.8246
2014/1/15,7.5015,20.09,9.84,6.2019,7.5933,8.1942,13.5089,3.7111,6.9436,,,,13.9701,37.53,5.4409,11.7748,9.4573,12.2681,3.1015,6.1972,7.605,,,1.794
2014/1/16,7.6158,20.93,10.15,6.4417,7.5933,8.412,13.9549,4.0119,7.2889,,,,14.3282,39.14,5.6445,12.04,9.5963,12.4478,3.4108,6.313,7.9305,,,1.8307
2014/1/17,7.48,20.38,9.94,6.3487,7.5933,8.412,13.5783,3.9779,7.0757,,,,13.8985,38.35,5.5138,11.7748,9.3131,12.1613,3.3991,6.1972,7.8031,,,1.7878
2014/1/20,7.3229,20.15,9.91,6.4466,7.5933,8.2684,13.2215,3.9294,7.0826,,,,13.547,37.22,5.3953,11.4802,9.3184,11.7457,3.262,6.1779,7.7465,,,1.7542
2014/1/21,7.3514,20.13,9.95,6.4515,7.5933,8.3526,13.5188,4.0119,7.0873,,,,13.6251,37.37,5.5108,11.6079,9.4734,11.8243,3.3169,6.2068,7.8385,,,1.7817
2014/1/22,7.4943,20.48,10.19,6.5445,7.5933,8.5209,13.7666,4.0345,7.2008,,,,14.0678,38.24,5.6779,11.8337,9.6711,12.1389,3.3873,6.3613,7.9871,,,1.8246
2014/1/23,7.5229,20.14,10.16,6.3732,7.5933,8.4912,13.7071,4.0022,7.1452,,,,13.879,37.47,5.6566,11.8534,9.5642,11.931,3.3325,6.284,7.9375,,,1.8123
2014/1/24,7.7372,20.32,10.48,6.241,7.5933,8.6101,13.8459,4.0571,7.4233,,,,14.0352,37.67,5.7599,12.04,9.7031,12.2119,3.3952,6.3516,8.0224,,,1.846
2014/1/27,7.5158,20.1,10.31,6.3389,7.5933,8.5061,13.7567,4.0717,7.815,,,,13.8529,37.22,5.7508,11.9319,9.8741,12.049,3.4069,6.2165,7.9234,,,1.8246
2014/1/28,7.5729,20.15,10.25,6.1921,7.5933,8.4566,13.8955,4.0248,7.764,5.4165,,,13.918,37.32,5.69,11.9712,9.9275,12.0939,3.3991,6.3709,7.9375,,,1.8276
2014/1/29,7.5086,20.08,10.19,6.241,7.5933,8.4516,13.9847,4.1315,7.7988,4.916,,,13.8269,37.18,5.6931,11.9614,9.9329,11.9816,3.3443,6.342,7.9022,,,1.8307
2014/1/30,7.2871,19.83,10.13,6.2361,7.5933,8.3675,13.5684,4.062,7.7269,4.5046,,,13.5991,36.42,5.6688,11.765,9.8367,11.7232,3.3521,6.2358,7.6758,,,1.8031
2014/2/7,7.4443,19.7,10.05,6.4613,7.5933,8.3675,13.8261,4.2415,8.4709,4.5517,,,13.6707,36.64,5.7326,11.8632,9.9329,11.6614,3.2855,6.2261,7.8173,,,1.8154
2014/2/10,7.6944,20.61,10.46,6.7109,7.5933,8.7834,14.3315,4.6652,9.3191,4.9265,,,14.6146,38.98,6.009,12.2953,10.3443,12.8298,3.4578,6.4095,8.2347,,,1.8674
2014/2/11,7.7658,20.61,10.53,6.6082,7.5933,8.7388,14.5298,4.8269,10.2508,5.296,,,14.4649,38.49,5.9938,12.2855,10.5634,12.9084,3.5675,6.4771,8.2134,,,1.8705
2014/2/12,7.7444,20.54,10.43,6.6816,7.5933,8.7289,14.4108,4.8673,10.712,5.5606,,,14.543,38.39,5.9877,12.3248,10.558,12.841,3.5244,6.4867,8.263,,,1.8736
2014/2/13,7.9158,20.66,10.29,6.5103,7.5933,8.7586,14.391,4.9384,10.4293,5.2802,,,14.556,38.34,6.3401,12.3935,10.4619,12.8298,3.4774,6.4385,8.1781,,,1.8613
2014/2/14,7.9873,21.7,10.43,6.569,7.5933,8.8527,14.5,4.9772,10.4015,5.8096,,,14.6732,38.95,6.5801,12.4721,10.6328,12.9141,3.5362,6.5254,8.3761,,,1.8858
2014/2/17,7.973,21.75,10.58,6.7648,7.5933,8.9418,14.4901,4.9886,10.5289,6.3913,,,14.7448,38.98,6.5801,12.7372,10.6435,13.0713,3.5949,6.6026,8.5601,,,1.9011
2014/2/18,7.823,21.55,10.33,6.8284,7.5933,8.7536,14.0739,4.8026,10.325,6.9652,,,14.4128,38.03,6.5801,12.5801,10.4405,12.8017,3.4852,6.6315,8.4257,,,1.8736
2014/2/19,7.9516,21.72,10.45,6.755,7.5933,8.7586,14.1135,4.7767,10.3783,6.9128,,,14.4258,38.12,6.5801,12.5114,10.5367,12.8073,3.4931,6.6026,8.3479,,,1.8736
2014/2/20,7.9516,22.17,10.35,6.5396,7.5933,8.7289,13.6972,4.573,9.8244,6.8682,,,14.3737,38.71,6.5801,12.5212,10.3977,12.9365,3.591,6.5543,8.3054,,,1.8582
2014/2/21,7.8873,21.59,11.2,6.3145,7.5933,8.6546,13.7963,4.6344,9.7456,6.7556,,,14.1654,38.22,6.5801,12.3641,10.4458,12.9197,3.6458,6.4867,8.2276,,,1.8491
2014/2/24,7.7015,20.6,11.87,6.4711,7.5933,8.5061,13.4098,4.6635,9.7803,6.6612,,,13.7488,37.03,6.5801,11.9909,10.697,12.3355,3.5518,6.2647,8.0932,,,1.797
2014/2/25,7.4943,20.24,11.42,6.104,7.5933,8.1546,12.8548,4.3272,9.0387,6.3232,,,13.5535,35.97,6.5801,11.5097,10.0344,11.7681,3.3521,6.091,7.789,,,1.7235
2014/2/26,7.7087,20.66,12.43,6.0208,7.5933,8.2932,13.0134,4.6571,9.6065,6.8394,,,13.9376,36.86,6.5801,11.765,10.2268,12.0939,3.4618,6.1779,7.9658,,,1.7664
2014/2/27,7.5443,20.07,12.59,5.8837,7.5933,8.1447,12.5575,4.7897,9.8962,6.4594,,,13.5079,36.22,6.5801,11.5391,9.8848,11.4311,3.3051,6.0813,7.8314,,,1.7205
2014/2/28,7.5229,20.11,12.2,5.9571,7.5933,8.214,12.7359,5.2683,10.8858,7.1067,,,13.6707,36.52,6.5801,11.657,10.0023,11.7794,3.2503,6.1103,7.9022,,,1.7572
2014/3/3,7.5515,20.18,11.95,6.0648,7.5933,8.3328,12.9638,5.4979,11.31,7.8168,,,13.7032,36.67,6.5801,11.8534,10.4298,11.8355,3.2777,6.2261,8.3691,,,1.8215
2014/3/4,7.6658,20.45,12,6.1284,7.5933,8.6596,13.39,5.9394,11.8083,7.4919,,,13.7943,37.17,6.5801,12.1775,10.371,12.2063,3.3404,6.3323,8.3337,,,1.8123
2014/3/5,7.5372,20.3,11.65,5.9816,7.5933,8.5606,13.1323,5.7858,11.3795,7.657,,,13.6446,36.73,6.5801,12.0105,10.3764,12.1333,3.3169,6.1972,8.1215,,,1.7848
2014/3/6,7.48,20.09,11.63,5.9229,7.5933,8.4318,12.944,5.6435,10.9971,7.9793,,,13.5405,36.34,6.5801,11.8337,10.3657,12.167,3.3129,6.1682,8.0083,,,1.7695
2014/3/7,7.5943,20.26,11.59,5.9229,7.5933,8.7982,13.3206,5.692,11.4258,7.3373,,,13.6967,36.75,6.5801,12.0498,10.8198,13.3859,3.3913,6.1875,8.1285,,,1.7817
2014/3/10,7.7515,19.15,10.93,5.6487,7.5933,8.4219,12.5475,5.3362,11.004,6.7084,,,13.1369,35.09,5.9209,11.5588,10.729,13.3859,3.2346,5.869,7.7182,,,1.6837
2014/3/11,7.8587,18.9,11.18,5.6439,7.5933,8.5507,12.3592,5.3362,10.2763,6.6612,,,13.1173,34.61,5.766,11.5981,10.4405,13.3859,3.2385,5.8979,7.7607,,,1.6715
2014/3/12,7.9444,18.93,11.15,5.7222,7.5933,8.7536,12.5376,5.3362,10.566,6.6848,,,13.1434,34.9,5.8055,11.6766,10.1359,13.3859,3.2385,5.9172,7.8031,,,1.7144
2014/3/13,7.8658,18.68,11.24,5.7613,7.5933,8.719,12.5575,5.3362,10.7027,6.5381,,,13.1889,34.94,5.8814,11.7846,10.1733,13.3859,3.1994,5.9365,7.8102,,,1.7113
2014/3/14,7.7658,17.91,11.15,5.7418,7.5933,8.5705,12.389,5.3362,10.3134,6.4437,,,13.1043,34.28,5.8328,11.6766,10.0558,13.3859,3.172,5.9655,7.9871,,,1.7144
2014/3/17,7.8444,17.94,11.45,5.8054,7.5933,8.6398,12.5872,5.3362,11.3447,6.504,,,13.241,34.67,5.8085,11.8141,10.2695,13.3859,3.219,5.9751,8.0437,,,1.7297
2014/3/18,7.8444,17.93,11.32,5.8788,7.5933,8.6101,12.5872,5.3362,11.5417,6.5197,,,13.1694,34.74,5.9088,11.7355,10.3603,13.3859,3.1563,5.9655,7.98,,,1.7052
2014/3/19,7.8087,17.54,11.21,5.9278,7.5933,8.4467,12.3592,5.3362,11.7735,6.2184,,,13.0001,34.43,5.8267,11.8436,10.184,13.3859,3.2581,5.9365,7.8668,,,1.6929
2014/3/20,8.0659,17.2,10.88,5.8152,7.5933,8.3477,11.9727,5.3362,11.0342,6.0664,,,12.6551,33.71,5.5108,11.4998,9.7726,13.3859,3.1485,5.84,7.6758,,,1.6654
2014/3/21,8.1587,17.84,11.28,6.0354,7.5933,8.4566,12.3394,5.3362,12.1374,6.1135,,,13.0067,34.71,5.7417,11.7945,9.9756,13.1388,3.2503,6.0234,7.8597,,,1.7113
2014/3/24,8.2945,17.77,11.36,6.0501,7.5933,8.5209,12.5178,5.3362,12.0493,5.8567,,,13.1369,35.08,5.684,11.8927,10.0344,13.6612,3.2581,6.0717,7.9022,,,1.7235
2014/3/25,8.1087,17.9,11.43,5.8837,7.5933,8.4863,12.7656,5.3362,11.6993,5.8069,,,13.0587,35,5.7538,11.9319,10.0718,13.7286,3.266,6.091,7.9375,,,1.7358
2014/3/26,8.1159,18.4,11.21,6.0697,7.5933,8.5655,12.7458,5.3362,11.8175,5.8358,,,13.6576,36.08,5.93,11.9221,10.0718,13.5095,3.2934,6.0234,7.9941,,,1.7389
2014/3/27,8.0444,17.8,11.07,5.9571,7.5933,8.3526,12.379,5.3362,11.7341,5.461,,,13.2996,34.96,5.7964,11.6373,9.794,13.3466,3.266,5.9655,7.8385,,,1.7174
2014/3/28,8.1016,17.56,11.16,5.9963,7.5933,8.2684,12.2998,5.3362,11.1802,5.5161,,,13.1759,34.75,5.7629,11.5784,9.7619,13.0882,3.1837,5.9558,7.8102,,,1.6991
2014/3/31,8.0944,17,11.19,5.9473,7.5933,8.2437,12.1114,5.3362,11.2822,5.2566,,,13.0327,33.76,5.5503,11.6472,9.7726,13.1781,3.1798,5.9172,7.7677,,,1.7021
