ÈÕÆÚ,000633.SZ,000795.SZ,000962.SZ,000969.SZ,000970.SZ,002056.SZ,002057.SZ,002130.SZ,002182.SZ,002340.SZ,300127.SZ,300224.SZ,300395.SZ,300489.SZ,300748.SZ,600114.SH,600206.SH,600330.SH,600366.SH,600516.SH,600614.SH,600615.SH,600980.SH,603045.SH,603260.SH,603612.SH,603688.SH,603826.SH,603978.SH,688122.SH,900907.SH
2014/1/2,5.11,3.9332,9.9178,7.3283,12.4999,3.6887,2.8453,3.2413,3.4738,2.9791,7.9423,5.0835,,,,5.895,9.7298,7.3113,7.1003,4.6781,5.1945,9.85,11.1917,,,,,,,,0.3158
2014/1/3,5.06,3.9332,9.7185,7.239,12.4519,3.6461,2.8214,3.1776,3.4312,2.9907,7.8614,5.097,,,,5.8167,9.9096,7.5418,7.0279,4.597,5.1945,9.53,11.1818,,,,,,,,0.3163
2014/1/6,4.95,3.9632,9.4593,6.9609,12.0868,3.6485,3.071,3.0452,3.3744,2.8977,8.0412,5.1811,,,,5.7894,9.1954,7.7723,6.9606,4.4972,5.0453,9.15,10.6371,,,,,,,,0.3094
2014/1/7,4.92,4.0883,9.559,6.9808,12.1156,3.8,3.0775,3.0501,3.5163,2.9151,8.3154,5.3426,,,,6.2627,9.0155,7.8547,7.0486,4.4972,5.0851,9.21,10.4984,,,,,,,,0.3114
2014/1/8,4.87,3.9582,9.4593,6.9014,12.0483,3.845,3.071,3.0158,3.4643,2.8803,8.3019,5.3089,,,,6.118,8.9806,7.7065,6.9606,4.4536,5.0503,9.04,10.5182,,,,,,,,0.3104
2014/1/9,4.78,3.763,9.2799,6.6928,11.9234,3.7929,2.9452,3.0403,3.346,2.8192,7.9333,5.0297,,,,6.1023,8.6559,7.9041,6.8003,4.4099,4.9907,8.99,10.0824,,,,,,,,0.3094
2014/1/10,4.64,3.678,9.4494,6.4942,11.6832,3.8166,2.8562,3.3443,3.3365,2.7466,7.8614,5.0297,,,,5.8324,8.6559,7.443,6.5521,4.1854,4.936,8.88,9.9438,,,,,,,,0.3074
2014/1/13,4.55,3.668,9.4095,6.4744,11.6736,3.8592,2.8974,3.2659,3.4122,2.7611,8.1715,5.1844,,,,5.5468,8.5111,6.9984,6.5366,4.0668,5.0105,8.55,10.023,,,,,,,,0.3084
2014/1/14,4.62,3.698,9.3995,6.7325,11.8658,3.8497,2.9213,3.3639,3.5258,2.825,8.2749,5.2416,,,,5.6759,8.6609,7.2619,6.5986,4.1479,5.0255,8.86,10.2409,,,,,,,,0.3104
2014/1/15,4.59,3.683,9.2899,6.8318,11.933,3.9658,2.9408,3.3345,3.54,2.8483,8.3334,5.3358,,,,5.9224,8.7858,7.2783,6.6142,4.2415,4.9608,8.99,10.2508,,,,,,,,0.3094
2014/1/16,4.82,3.703,9.4394,6.7623,12.0868,3.9184,2.9495,3.3345,3.6205,2.8715,8.4143,5.4805,,,,5.8402,8.596,7.4018,6.7176,4.2103,4.9807,8.92,10.3895,,,,,,,,0.3099
2014/1/17,4.77,3.6329,9.1603,6.6432,11.7025,3.9942,2.8605,3.2119,3.5589,2.8774,8.1446,5.4098,,,,5.8167,8.4611,7.1301,6.6038,4.0856,4.9012,8.84,10.3697,,,,,,,,0.3079
2014/1/20,4.85,3.5829,9.0905,6.7623,11.7409,3.9705,2.8214,3.1531,3.5069,2.7931,8.1805,5.4368,,,,5.8793,8.6659,7.3771,6.5159,4.0419,4.9012,8.72,10.1815,,,,,,,,0.3079
2014/1/21,4.8,3.6379,9.1802,6.8418,11.9234,4.0178,2.88,3.2757,3.5258,2.8134,8.3648,5.5444,,,,5.7776,8.6809,7.5912,6.6038,4.1355,4.9012,8.82,10.3499,,,,,,,,0.3079
2014/1/22,4.89,3.703,9.3696,6.9212,12.2309,4.0723,2.9365,3.3247,3.6205,2.8803,8.4233,5.5511,,,,6.0202,8.7858,7.6488,6.7641,4.254,4.9012,9.09,10.538,,,,,,,,0.3079
2014/1/23,4.88,3.708,9.3497,6.8616,12.0868,4.1812,2.9343,3.3002,3.5873,2.9035,8.5401,5.5141,,,,6.1219,8.8657,7.6488,6.7693,4.254,4.9012,9.08,10.9738,,,,,,,,0.3079
2014/1/24,4.91,3.738,10.0474,7.1198,12.6344,4.193,2.982,3.3345,3.6252,2.9558,8.5446,5.6353,,,,6.1532,8.8857,8.4145,7.0072,4.2664,4.9012,9.45,11.1026,,,,,,,,0.3079
2014/1/27,4.86,3.728,9.8481,7.1198,12.7209,4.3375,2.9842,3.3639,3.611,2.9675,8.7424,5.7194,,,,6.1649,8.8857,8.8674,6.9917,4.3725,4.9012,9.31,11.1026,,,,,,,,0.3079
2014/1/28,4.85,3.683,9.7683,7.1297,12.6152,4.0107,2.9408,3.4277,3.5637,2.9646,8.6345,5.6655,,,,6.3527,8.8857,8.8756,6.8934,4.4723,4.9012,9.18,10.746,,,,,,,,0.3079
2014/1/29,5.16,3.668,9.6387,7.09,12.7209,4.0723,3.0472,3.4571,3.5731,2.9936,8.63,5.6891,,,,6.5991,8.8857,9.7648,6.821,4.4473,4.9012,9.4,10.9936,,,,,,,,0.3079
2014/1/30,5.46,3.6329,9.5092,6.9411,12.6632,3.9847,3.0124,3.3983,3.5305,2.921,8.4188,5.6958,,,,6.5287,8.8857,9.3943,6.8003,4.4473,4.9012,9.29,10.9639,,,,,,,,0.3079
2014/2/7,6.01,3.6579,9.6985,7.2688,12.865,4.1788,3.0493,3.5012,3.5779,3.0314,8.6255,5.9212,,,,6.4583,8.8857,9.6989,6.9503,4.4723,4.9012,9.32,11.0134,,,,,,,,0.3079
2014/2/10,6.01,3.9182,10.0574,7.8348,14.1525,4.5979,3.275,3.5454,3.7151,3.1448,9.057,6.5133,,,,6.513,9.6649,9.9953,7.6433,4.6656,4.9012,9.52,11.3205,,,,,,,,0.3079
2014/2/11,6.01,3.8531,10.1371,7.7057,14.1813,4.5174,3.2273,3.4914,3.7151,3.1854,8.8098,6.4461,,,,6.3722,10.2493,9.312,8.2431,4.6157,4.9012,9.64,11.3403,,,,,,,,0.3079
2014/2/12,6.01,3.8781,10.167,7.8546,14.4119,4.5529,3.2902,3.5257,3.7388,3.2349,8.9671,6.3922,,,,6.5326,10.8187,9.4355,8.3776,4.7093,4.9012,9.62,11.6671,,,,,,,,0.3079
2014/2/13,6.01,3.8331,10.0773,7.9539,14.2197,4.5292,3.1405,3.4179,3.7577,3.2087,8.648,6.3855,,,,6.2627,10.534,8.8921,8.1604,4.5845,4.9012,9.76,11.3205,,,,,,,,0.3079
2014/2/14,6.01,3.8431,10.0973,7.9341,14.2389,4.5577,3.3423,3.4718,3.8003,3.2261,8.7559,6.3687,,,,6.6304,10.6888,9.0485,8.3879,4.6469,4.9012,9.87,11.4987,,,,,,,,0.3079
2014/2/17,6.01,3.9432,10.2667,8.1029,14.508,4.6879,3.6766,3.6042,3.8192,3.3656,9.2143,6.6748,,,,6.8416,10.8686,9.279,8.4448,4.6594,4.9012,9.97,11.6176,,,,,,,,0.3079
2014/2/18,6.01,3.8831,10.1172,8.0234,14.1237,4.7849,3.7634,3.9671,3.7388,3.4616,9.2818,6.5268,,,,6.8377,11.0784,9.1061,8.2793,4.7904,4.9012,10,11.578,,,,,,,,0.3079
2014/2/19,6.01,3.9082,10.167,7.8944,14.2678,4.6311,3.6896,3.8641,3.7577,3.4151,9.2458,6.5403,,,,6.7125,10.7088,9.2379,8.269,4.7405,4.9012,10.21,11.469,,,,,,,,0.3079
2014/2/20,6.01,3.9782,10.0275,7.5667,14.0852,4.4274,3.6028,3.7611,3.7293,3.2755,9.6099,6.2846,,,,6.4817,11.403,8.6862,7.9432,4.6282,4.9012,9.9,11.1521,,,,,,,,0.3079
2014/2/21,6.01,4.0583,9.9378,7.6461,13.6048,4.6121,3.7113,3.7219,3.6867,3.3046,9.6009,6.1836,,,,6.4348,11.9525,8.8097,7.8087,4.6532,4.9012,9.81,11.053,,,,,,,,0.3079
2014/2/24,6.01,3.9532,9.6288,7.6461,13.3742,4.74,3.7829,3.8151,3.7577,3.354,10.3156,6.2408,,,,6.7673,11.8126,8.818,7.9535,4.5346,4.9012,9.98,11.0332,,,,,,,,0.3079
2014/2/25,6.01,3.753,9.3397,7.7752,12.596,4.3493,3.5029,3.5307,3.6394,3.1825,9.3492,5.6184,,,,6.3605,11.6378,8.5051,7.4416,4.3101,4.9012,9.84,10.5876,,,,,,,,0.3079
2014/2/26,6.01,3.9132,9.6088,8.3313,13.3646,4.534,3.5767,3.5993,3.6962,3.1854,10.2841,5.827,,,,6.6421,12.0524,8.3569,8.0466,4.3413,4.9012,9.83,10.7361,,,,,,,,0.3079
2014/2/27,6.01,3.9031,9.4194,8.1227,13.624,4.4985,3.4942,3.5797,3.6252,3.1448,10.0549,5.7967,,,,6.4152,11.6828,8.3898,8.2121,4.3351,4.9012,9.76,10.746,,,,,,,,0.3079
2014/2/28,6.01,3.9382,9.6587,8.3809,13.9603,4.6524,3.5311,3.6385,3.7151,3.2814,10.329,5.9078,,,,6.4504,11.3831,8.5463,8.419,4.3538,4.9012,9.95,10.746,,,,,,,,0.3079
2014/3/3,6.01,3.9632,9.8381,8.3909,14.1429,5.0075,3.618,3.7366,3.753,3.3715,10.3605,5.9582,,,,6.5756,11.7127,8.6286,8.5896,4.4224,4.9012,10.15,10.9639,,,,,,,,0.3079
2014/3/4,6.01,4.0633,10.8249,8.2022,14.2101,5.0667,3.5724,3.8053,3.7908,3.3337,10.9448,6.1534,,,,6.6226,11.3381,8.9332,8.4965,4.491,4.9012,10.07,11.2214,,,,,,,,0.3079
2014/3/5,6.01,4.0232,11.0143,8.4206,13.8835,4.8939,3.5333,3.8053,3.7435,3.3685,10.7516,6.0995,,,,6.5169,11.0334,9.7154,8.2845,4.4161,4.9012,10.02,11.1323,,,,,,,,0.3079
2014/3/6,6.01,4.0933,10.5857,8.3213,14.1525,4.7992,3.6483,3.7366,3.7009,3.3656,11.273,6.1904,,,,6.5013,11.1933,9.3861,8.0777,4.4037,4.9012,10.28,11.4789,,,,,,,,0.3079
2014/3/7,6.01,4.0633,10.6455,8.1426,13.576,4.7305,3.6028,3.8004,3.7009,3.2349,10.7516,6.0894,,,,6.3331,10.484,9.1144,7.907,4.36,4.9012,10.05,11.677,,,,,,,,0.3079
2014/3/10,6.01,3.8831,9.9976,7.6262,12.9323,4.5292,3.3597,3.5454,3.5069,3.1186,10.5043,5.8068,,,,6.0475,9.8896,8.4722,7.5605,4.1791,4.9012,9.51,11.8652,,,,,,,,0.3079
2014/3/11,6.01,3.8831,10.177,7.6362,12.8746,4.489,3.3553,3.6287,3.5069,3.1215,10.3021,5.7698,,,,5.9185,9.6049,8.5463,7.3847,4.2477,4.9012,9.53,11.9741,,,,,,,,0.3079
2014/3/12,6.01,3.9632,10.0374,7.5865,12.7881,4.3801,3.2881,3.565,3.5069,3.075,10.4144,5.753,,,,5.7737,9.8047,9.0567,7.5191,4.6407,4.9012,9.64,12.2614,,,,,,,,0.3079
2014/3/13,6.01,4.0232,10.0374,7.7454,12.9131,4.3896,3.3054,3.7415,3.5447,3.0808,10.6527,5.8169,,,,5.9145,10.2493,9.065,7.5347,4.5534,4.9012,9.64,12.2118,,,,,,,,0.3079
2014/3/14,6.01,4.0633,10.0474,7.666,12.4999,4.3304,3.351,3.8004,3.5022,3.0663,10.5088,5.8438,,,,5.8324,10.3342,9.3778,7.3692,4.7841,4.9012,9.85,12.5783,,,,,,,,0.3079
2014/3/17,6.01,4.1033,10.2268,7.9241,12.9323,4.5127,3.4161,3.8494,3.5684,3.1418,10.8954,6.2711,,,,6.0749,10.5789,9.7566,7.6381,4.8216,4.9012,10.09,12.7368,,,,,,,,0.3079
2014/3/18,6.01,4.1383,10.1172,7.8944,13.2493,4.5458,3.4226,4.0652,3.5637,3.1302,10.8325,6.2913,,,,6.1649,10.6638,9.6084,8.15,4.7841,4.9012,10.15,12.7368,,,,,,,,0.3079
2014/3/19,6.01,4.0733,9.9677,7.9341,13.0572,4.605,3.3988,4.0946,3.5589,3.1389,10.6302,6.3216,,,,6.028,10.8736,9.6578,8.1966,4.9588,4.9012,10.14,12.7368,,,,,,,,0.3079
2014/3/20,6.01,3.9532,9.6786,7.656,12.5864,4.2617,3.2859,3.9131,3.4832,3.0111,10.0773,6.0154,,,,5.8559,10.0145,8.9579,7.8915,4.7155,4.9012,9.94,12.7368,,,,,,,,0.3079
2014/3/21,6.01,4.0333,9.8879,7.8745,12.8266,4.3327,3.3532,4.3054,3.5495,3.0866,10.2976,6.1231,,,,6.1062,10.1893,9.3367,8.0104,4.8652,4.9012,10.24,12.7368,,,,,,,,0.3079
2014/3/24,6.01,4.0433,9.9677,7.944,12.8938,4.2783,3.3553,4.428,3.5731,3.0866,10.3515,6.0827,,,,6.0045,9.9945,9.1885,8.0466,4.9526,4.9012,10.37,12.7368,,,,,,,,0.3079
2014/3/25,6.01,4.0282,9.7384,8.1327,12.7881,4.2806,3.3532,4.3152,3.6489,3.1012,10.2886,6.0154,,,,5.9458,10.5839,8.925,8.15,4.859,4.9012,10.45,12.7368,,,,,,,,0.3079
2014/3/26,6.01,4.1083,9.9079,8.093,13.1148,4.463,3.4161,4.2466,3.6299,3.1041,11.0033,6.2913,,,,5.981,10.7887,9.0238,8.2224,4.8029,4.9012,10.3,12.6476,,,,,,,,0.3079
2014/3/27,6.01,4.0483,9.6886,7.9937,12.6056,4.3138,3.2989,4.1681,3.5684,2.9762,10.6437,5.9885,,,,6.0632,10.6488,8.5133,7.7984,4.6843,4.9012,10.41,12.2316,,,,,,,,0.3079
2014/3/28,6.01,3.9532,9.559,8.0036,12.5287,4.1907,3.2381,4.0652,3.469,2.8919,10.6167,5.7362,,,,5.8793,10.444,7.7476,7.6277,4.5721,4.9012,9.93,11.8949,,,,,,,,0.3079
2014/3/31,6.01,3.9682,9.4892,7.7057,12.5383,4.1907,3.1513,4.0897,3.4832,2.9297,10.2841,5.6891,,,,5.7502,10.3442,7.9782,7.6381,4.622,4.9012,9.76,12.6773,,,,,,,,0.3079
2014/4/1,6.01,3.9832,9.559,7.805,12.596,4.3114,3.2099,4.1338,3.5258,2.9994,10.374,5.8203,,,,5.8559,10.454,8.2499,7.726,4.6656,4.9012,9.94,11.9642,,,,,,,,0.3079
2014/4/2,6.01,3.9932,9.569,7.7553,12.5672,4.302,3.2121,4.0357,3.5495,2.9849,9.938,5.8708,,,,5.7894,10.7387,8.3734,7.7001,4.6407,4.9012,10.28,11.7067,,,,,,,,0.3079
2014/4/3,6.01,3.9432,9.4194,7.9937,12.5768,4.3327,3.2099,4.0603,3.5968,2.9936,10.0998,5.8809,,,,5.8167,10.519,8.1511,7.6329,4.7779,4.9012,10.14,11.984,,,,,,,,0.3079
2014/4/4,6.01,4.0433,9.5789,8.093,12.9131,4.4487,3.2902,4.1045,3.6157,3.0082,10.3605,6.0726,,,,6.1101,10.6388,8.3569,8.057,4.7592,4.9012,10.53,13.1824,,,,,,,,0.3079
2014/4/8,6.01,4.0433,9.7284,8.1327,12.9995,4.5103,3.4074,4.2817,3.6773,3.1738,10.6077,6.0894,,,,6.1649,10.8037,8.3404,8.0621,4.8091,4.9012,10.58,14.4997,,,,,,,,0.3079
2014/4/9,6.01,4.0983,9.7284,8.083,13.1244,4.5174,3.4443,4.3162,3.6583,3.1651,11.6685,6.621,,,,6.4426,10.9435,8.7192,8.1759,4.8465,4.9012,10.59,14.9553,,,,,,,,0.3079
2014/4/10,6.01,4.0833,9.7783,8.5199,12.9803,4.4748,3.4118,4.2473,3.6536,3.1651,12.1584,6.2106,,,,6.5326,10.9086,9.1061,8.1966,4.753,4.9012,10.54,14.2323,,,,,,,,0.3079
2014/4/11,6.01,4.0333,9.6886,8.4604,12.9227,4.5387,3.3988,4.1439,3.6394,3.2232,12.3157,6.2206,,,,6.4544,10.6488,8.8838,8.088,4.6781,4.9012,11,13.9352,,,,,,,,0.3079
2014/4/14,6.01,4.0082,9.7484,8.4703,13.0572,4.5506,3.44,4.2916,3.7009,3.2494,12.0885,6.2577,,,,6.4465,10.7088,8.9168,8.2586,4.753,5.3933,11.22,14.0144,,,,,,,,0.339
2014/4/15,6.01,4.0433,9.5889,8.2916,12.8458,4.4748,3.4074,4.2571,3.6489,3.1767,11.6068,6.0827,,,,6.4113,10.5839,8.7768,8.0983,4.7155,5.9351,11.04,13.9054,,,,,,,,0.335
2014/4/16,6.01,4.0282,9.549,8.6788,12.6344,4.5695,3.4552,4.3063,3.6536,3.1971,11.725,6.2947,,,,6.4152,10.5889,8.4392,7.8708,4.6532,5.5921,11.03,13.9352,,,,,,,,0.3202
2014/4/17,6.01,4.0533,9.4793,8.5398,12.6536,4.515,3.4552,4.4343,3.7009,3.1825,11.6613,6.3115,,,,6.4035,10.5489,8.431,7.907,4.6095,5.443,10.88,14.0936,,,,,,,,0.3207
2014/4/18,6.01,4.0783,9.549,8.7384,12.644,4.5221,3.4139,4.4786,3.7009,3.2668,11.934,6.4797,,,,6.5287,10.7088,8.7933,7.907,4.6532,5.4877,11,13.7866,,,,,,,,0.3217
2014/4/21,6.01,4.0383,9.2699,8.4107,12.3366,4.328,3.3402,4.5573,3.6252,3.2349,11.3341,6.5201,,,,6.3761,10.7587,8.8427,7.8553,4.5845,5.4181,10.43,12.7764,,,,,,,,0.3158
2014/4/22,6.01,3.9632,9.0706,8.6192,11.9715,4.302,3.2859,4.4983,3.7009,3.2872,10.7706,6.2509,,,,6.1414,11.0634,8.6615,7.6381,4.4972,5.3187,10.59,12.5882,,,,,,,,0.3163
2014/4/23,6.01,3.9882,9.0307,8.4405,12.0868,4.3114,3.2599,4.6311,3.7151,3.2872,10.607,6.2408,,,,6.1884,11.0085,8.4969,7.395,4.491,5.1696,10.44,12.3109,,,,,,,,0.3153
2014/4/24,6.01,3.9031,8.9809,8.1525,11.9138,4.2759,3.2186,4.4638,3.6157,3.1854,10.9342,5.9919,,,,6.118,10.9985,8.3898,7.3485,4.4536,5.1795,10.24,12.3802,,,,,,,,0.3163
2014/4/25,6.61,3.7831,8.5822,7.8944,11.7121,4.2309,3.2056,4.0849,3.4832,3.0953,11.9885,5.9616,,,,6.0906,9.8996,7.9041,7.2813,4.2976,5.0205,10.01,12.1029,,,,,,,,0.3143
2014/4/28,6.21,3.778,8.2732,7.805,11.5295,4.1102,3.0406,4.1144,3.417,3.0314,10.7888,5.7194,,,,5.6603,9.6898,7.7723,7.0175,4.3163,4.9211,9.57,11.7265,,,,,,,,0.3099
2014/4/29,5.87,3.9082,8.4426,7.8944,11.3758,4.1528,3.0949,4.1882,3.4643,3.0779,11.0433,5.8001,,,,5.7072,9.8896,8.1264,7.1571,4.3912,4.9409,9.87,12.3604,,,,,,,,0.3074
2014/4/30,5.7,3.9132,8.4327,7.9539,11.4046,4.1907,3.1361,4.1538,3.4785,3.0837,10.7524,5.938,,,,5.9561,9.4401,8.1922,7.2037,4.4099,4.9161,10.03,12.2515,,,,,,,,0.3069
2014/5/5,5.75,4.0182,8.5024,8.0632,11.5295,4.2144,3.1991,4.2473,3.4974,3.1506,11.016,5.9986,,,,5.8376,10.3841,8.4557,7.2813,4.3725,4.9559,10.06,12.4,,,,,,,,0.3045
2014/5/6,6.33,4.0132,8.4825,8.2419,11.5776,4.2404,3.1795,4.326,3.6915,3.2,10.9433,6.0894,,,,6.0687,10.8187,8.6204,7.2864,4.4411,4.9907,10.08,12.3109,,,,,,,,0.3055
2014/5/7,6.47,3.9882,8.2632,8.1426,11.3374,4.1788,3.1318,4.139,3.753,3.2378,10.6433,6.0457,,,,5.9917,10.9935,8.4063,7.121,4.3912,4.926,10.08,11.6572,,,,,,,,0.3015
2014/5/8,6.22,3.9632,8.3529,8.1029,11.1932,4.1954,3.1318,4.0898,3.7246,3.3191,10.4616,6.0222,,,,6.0035,10.9086,8.1593,7.1778,4.3725,4.9459,10.08,11.6176,,,,,,,,0.3025
2014/5/9,6.18,4.0182,8.6619,7.8844,11.3181,4.1836,3.1861,4.0996,3.7151,3.3162,10.3252,6.0423,,,,5.8613,10.479,8.2087,7.2295,4.385,4.9211,10.08,11.8157,,,,,,,,0.2991
2014/5/12,6.16,4.1584,9.5291,8.3412,11.885,4.4274,3.3271,4.2325,3.9092,3.6476,10.8433,6.2577,,,,5.9976,11.458,8.6039,7.5657,4.5658,5.0105,10.08,12.4297,,,,,,,,0.3055
2014/5/13,5.97,4.0633,9.0606,8.2717,11.6448,4.3919,3.2772,4.2473,3.7702,3.4528,10.6797,6.3115,,,,6.0035,10.8786,8.6286,7.4054,4.5284,5.0304,10.08,12.1722,,,,,,,,0.305
2014/5/14,6.02,4.0733,8.9709,8.4802,11.5199,4.3706,3.2664,4.4244,3.7415,3.3744,10.4161,6.2069,,,,6.0095,10.7188,8.9744,7.4261,4.5471,4.9608,10.08,12.0831,,,,,,,,0.303
2014/5/15,6.16,3.9932,8.7416,8.3412,11.2893,4.2167,3.1687,4.3063,3.593,3.2494,10.0707,6.0214,,,,5.808,10.2293,8.5627,7.1727,4.4224,4.9161,10.08,11.6473,,,,,,,,0.3005
2014/5/16,5.94,3.9182,8.8812,8.5398,11.3277,4.2286,3.1209,4.4589,3.6169,3.2581,9.8072,5.8595,,,,5.6776,10.5789,8.7686,7.1882,4.4473,4.8863,10.08,11.6275,,,,,,,,0.2981
