ÈÕÆÚ,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH
2014/1/2,5.4969,7.8459,6.8875,5.16,,8.0316,12.6122,3.9419,9.77,3.1974,,2.0161
2014/1/3,5.4573,7.8754,6.8137,5.14,,7.8841,12.6191,3.9042,9.79,3.1724,,1.9902
2014/1/6,5.5562,7.5215,6.7449,5.03,,7.5336,12.2139,3.7878,9.83,3.0473,,1.9642
2014/1/7,5.4573,7.5411,6.8629,5.04,,7.5613,12.123,3.7775,10.11,3.0823,,1.9642
2014/1/8,5.3914,7.3248,6.7056,4.88,,7.3861,11.6479,3.7638,10.34,3.0173,,1.9383
2014/1/9,5.3914,7.0987,6.6122,4.83,,7.3031,11.5012,4.0686,10.51,2.9923,,1.9123
2014/1/10,5.4705,7.2757,6.6957,4.87,,7.3953,11.5221,4.0755,10.7,3.0173,,1.9037
2014/1/13,5.5364,7.3937,6.8236,4.91,,7.3953,11.5082,4.0241,11.01,3.0773,,1.9383
2014/1/14,5.5694,7.4035,6.8727,4.9,,7.3031,11.3544,4.0515,10.82,3.0498,,1.9296
2014/1/15,5.4969,7.1774,6.7695,4.85,,7.174,11.061,4.0446,11.3,2.9497,,1.921
2014/1/16,5.5694,7.2658,6.8727,4.88,,7.2109,11.1029,4.0207,11.37,2.9723,,1.9296
2014/1/17,5.4376,7.1479,6.8137,4.75,,7.0449,10.7116,3.9761,11.2,2.8747,,1.9123
2014/1/20,5.4046,7.197,6.9465,4.75,,7.0449,10.8024,4.0755,11.26,2.8722,,1.9123
2014/1/21,5.4507,7.2462,6.9465,4.78,,7.0726,10.8164,4.0344,11.34,2.8472,,1.921
2014/1/22,5.5166,7.4035,7.03,4.93,,7.2201,11.0819,4.1302,11.37,2.8922,,1.9469
2014/1/23,5.5101,7.3248,6.9661,4.91,,7.2017,11.0749,4.1063,11.38,2.8847,,1.9296
2014/1/24,5.5957,7.8066,7.089,5.01,,7.3769,11.3964,4.185,11.96,2.9623,,1.9642
2014/1/27,5.6616,7.7476,7.2169,5.01,,7.4414,11.6898,4.0549,11.96,2.9447,,1.9556
2014/1/28,5.4969,7.7378,7.1284,4.96,,7.3677,11.4453,4.0138,11.96,2.8947,,1.9469
