ÈÕÆÚ,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH
2014/1/2,8.2497,12.0549,,,,,7.7278,2.7334,10.1212,5.4604,6.8617,3.2125,10.9246,4.2132,13.2577,9.0427,,,,,,,,,,,,,,,,,
2014/1/3,8.2064,12.615,,,,,7.7971,3.0069,9.6347,5.447,6.8617,3.3947,10.9246,4.6357,13.0101,9.238,,,,,,,,,,,,,,,,,
2014/1/6,7.7685,12.4105,,,,,7.4852,2.9066,9.513,5.1022,6.8617,3.3062,10.9246,4.5391,12.4324,8.7285,,,,,,,,,,,,,,,,,
2014/1/7,7.8767,12.1377,,,,,7.906,3.1968,9.5514,5.1658,7.5476,3.6375,10.9246,4.3774,12.499,8.7904,,,,,,,,,,,,,,,,,
2014/1/8,7.9524,12.4933,,,,,7.9159,3.2059,9.6091,5.6814,8.301,3.6601,10.9246,4.3677,13.0128,8.9666,,,,,,,,,,,,,,,,,
2014/1/9,7.8172,12.4592,,,,,7.604,2.8945,8.6936,5.5843,8.7583,3.4433,12.0012,4.8047,12.5922,8.3285,,,,,,,,,,,,,,,,,
2014/1/10,7.682,11.6847,,,,,7.9258,2.82,8.4887,5.3265,8.8001,3.3617,11.2659,4.4788,13.0075,7.8666,,,,,,,,,,,,,,,,,
2014/1/13,7.6658,10.7155,,,,,8.1882,3.0662,8.6616,5.3533,8.7744,3.5681,11.1986,4.6599,13.1752,7.9189,,,,,,,,,,,,,,,,,
2014/1/14,7.7415,11.2707,,,,,8.4209,3.1148,9.2826,5.6178,8.7583,3.5681,11.1121,4.8627,13.295,8.257,,,,,,,,,,,,,,,,,
2014/1/15,8.001,11.3974,,,,,8.4209,3.3472,8.9369,5.7818,9.6341,3.5994,11.1649,5.0462,13.6491,8.4189,,,,,,,,,,,,,,,,,
2014/1/16,8.0551,11.2999,,,,,8.4209,3.2333,9.6027,5.6914,9.032,3.5074,10.9583,4.8723,13.3749,8.3666,,,,,,,,,,,,,,,,,
2014/1/17,7.9902,11.4461,,,,,8.4209,3.2272,9.3594,5.8823,9.0932,3.3947,10.6795,4.9399,13.3775,8.3951,,,,,,,,,,,,,,,,,
2014/1/20,8.0551,11.412,,,,,8.4209,3.1087,8.4823,5.7082,8.8388,3.2871,10.4776,4.5271,13.1459,8.3475,,,,,,,,,,,,,,,,,
2014/1/21,8.1686,11.3535,,,,,8.4209,3.1892,9.3338,5.8756,8.6617,3.4675,10.9823,4.6261,13.2604,8.5142,,,,,,,,,,,,,,,,,
2014/1/22,8.2551,11.6165,,,,,8.4209,3.1634,9.6155,5.899,9.061,3.3947,11.3284,4.585,13.4121,8.738,,,,,,,,,,,,,,,,,
2014/1/23,8.4281,11.9136,,,,,8.4209,3.1999,9.7947,6.0095,9.2252,3.4936,11.2563,4.655,13.9898,8.9427,3.155,15.9182,,,,,,,,,,,,,,,
2014/1/24,8.3848,12.0208,,,,,8.4209,3.1528,9.8011,5.9358,9.4989,3.5387,11.487,4.6985,13.8674,9.357,3.4707,16.5172,,,,,,,,,,,,,,,
2014/1/27,8.2983,11.787,,,,,8.4209,3.174,9.7947,5.966,9.193,3.5387,11.064,4.7033,14.067,9.057,3.2878,14.8822,,,,,,,,,,,,,,,
2014/1/28,8.1145,11.9331,,,,,8.4209,3.0844,10.4989,5.7651,8.784,3.4363,10.7997,4.4088,14.304,8.8189,3.3526,14.3162,,,,,,,,,,,,,,,
2014/1/29,8.374,12.4445,,,,,8.4209,3.0692,10.1468,5.8722,8.8678,3.471,11.1986,4.4546,14.5888,9.1427,3.092,13.882,,,,,,,,,,,,,,,
2014/1/30,8.5578,12.5761,,,,,8.4209,2.9294,9.5258,5.8923,8.0724,3.3825,10.8141,4.3894,14.5649,8.8666,3.0156,13.2638,,,,,,,,,,,,,,,
2014/2/7,8.8444,13.1313,,,,,8.4209,3.051,9.7435,6.4815,8.4524,3.5317,11.3428,4.5198,14.7219,9.2666,3.0584,13.6457,,,,,,,,,,,,,,,
2014/2/10,8.9579,13.2677,,,,,8.4209,3.2059,10.1724,7.131,9.2992,3.6219,11.8138,4.6357,14.4584,9.3904,3.207,14.3739,,,,,,,,,,,,,,,
2014/2/11,8.7579,13.1021,,,,,8.4209,3.1148,9.9548,7.1645,9.7017,3.5525,11.7369,4.6961,14.107,9.3332,3.2077,14.2914,,,,,,,,,,,,,,,
2014/2/12,8.8119,13.3602,,,,,8.4209,3.1209,10.2748,7.131,9.75,3.6046,12.6693,4.8578,14.4344,9.638,3.5019,15.7203,,,,,,,,,,,,,,,
2014/2/13,8.4443,12.7124,,,,,8.4209,3.0646,9.481,6.6958,9.2348,3.6583,12.0156,4.5729,13.8913,9.4808,3.2388,15.6131,,,,,,,,,,,,,,,
2014/2/14,8.5903,13.1946,,,,,8.4209,3.2546,9.4554,6.7962,9.267,4.0087,12.2896,5.0293,14.4531,9.7618,3.3532,16.5007,,,,,,,,,,,,,,,
2014/2/17,8.9687,13.7986,,,,,8.4209,3.3123,9.9227,7.0306,9.7468,4.0417,12.4963,5.4277,14.8817,10.0951,3.5783,16.7205,,,,,,,,,,,,,,,
2014/2/18,9.0011,13.3895,,,,,8.4209,3.3321,10.0124,7.0975,9.7726,4.1007,12.3184,5.5339,14.8817,9.9665,3.4964,16.3523,,,,,,,,,,,,,,,
2014/2/19,8.8011,13.9106,,,,,8.4209,3.2272,10.4861,6.7895,9.4635,3.981,12.0349,5.3166,14.6101,10.1951,3.404,15.7313,,,,,,,,,,,,,,,
2014/2/20,8.7308,13.5404,,,,,8.4209,3.057,10.883,6.5786,9.4184,3.8526,11.5879,5.1041,14.6288,9.9189,3.6199,15.9676,,,,,,,,,,,,,,,
2014/2/21,8.5795,13.0193,,,,,8.4209,2.975,11.0751,6.7192,10.0302,3.7954,11.7801,5.0582,14.6021,10.1523,3.8511,16.0171,,,,,,,,,,,,,,,
2014/2/24,8.6443,13.4674,,,,,8.4209,3.095,11.2223,6.9904,11.0348,3.9949,12.155,5.2828,14.6394,10.1523,3.7759,16.0665,,,,,,,,,,,,,,,
2014/2/25,8.1902,12.5322,,,,,8.4209,2.8261,10.102,6.2907,9.9303,3.5994,11.3908,4.754,13.9446,9.3761,3.4432,14.6597,,,,,,,,,,,,,,,
2014/2/26,8.2281,12.7027,,,,,8.4209,2.8063,9.3658,6.12,9.3347,3.5178,11.4389,4.5102,13.5772,9.4285,3.4132,14.3986,,,,,,,,,,,,,,,
2014/2/27,8.2118,12.5663,,,,,8.4209,2.6741,8.9625,5.9593,8.5071,3.3444,10.891,4.2929,13.5665,9.4285,3.2089,14.2859,,,,,,,,,,,,,,,
2014/2/28,8.3146,12.8342,,,,,8.4209,2.7076,9.1097,6.14,8.7003,3.4519,11.4341,4.4281,13.8381,9.2142,3.3275,14.8493,,,,,,,,,,,,,,,
2014/3/3,8.5957,13.1508,,,,,8.4209,2.7942,9.2057,6.3577,9.0932,3.5803,11.7946,4.4933,13.8088,9.4285,3.5178,15.7176,,,,,,,,,,,,,,,
2014/3/4,8.72,13.443,,,,,8.4209,2.7729,9.225,6.3108,8.5651,3.5595,11.9436,4.4474,13.6304,9.3523,3.4847,16.2012,,,,,,,,,,,,,,,
2014/3/5,8.5362,13.443,,,,,8.4209,2.8413,9.225,6.294,8.6681,3.7295,11.8474,4.4546,13.6411,9.4094,3.3997,15.5774,,,,,,,,,,,,,,,
2014/3/6,8.3254,13.1946,,,,,8.4209,2.8033,9.0393,6.5083,8.5973,3.8335,11.7032,4.4522,13.886,9.4427,3.5141,15.9649,,,,,,,,,,,,,,,
2014/3/7,8.3686,13.3846,,,,,8.4209,2.7759,8.828,6.3811,8.6263,3.6878,11.4533,4.6478,14.4557,9.5808,3.4419,15.0608,,,,,,,,,,,,,,,
2014/3/10,7.8496,13.0583,,,,,8.4209,2.6134,8.015,6.0296,8.0982,3.4866,11.0784,4.5826,14.3519,9.0475,3.2236,14.6047,,,,,,,,,,,,,,,
2014/3/11,7.6929,12.7124,,,,,8.4209,2.6741,8.1174,6.1066,7.8181,3.608,10.8573,4.5995,15.0414,8.9808,3.248,14.9509,,,,,,,,,,,,,,,
2014/3/12,7.7685,12.7076,,,,,8.4209,2.7045,8.2199,6.1869,8.0885,3.5213,11.1457,4.4353,14.0511,9.0475,3.1343,14.7421,,,,,,,,,,,,,,,
2014/3/13,7.9253,13.0339,,,,,8.4209,2.8231,8.2903,6.361,8.2334,3.5907,11.535,4.486,14.1389,9.1523,3.1563,14.8932,,,,,,,,,,,,,,,
2014/3/14,7.8604,12.6589,,,,,8.4209,2.817,8.3031,6.3777,8.14,3.5716,11.535,4.5343,13.894,9.1713,3.1563,14.9729,,,,,,,,,,,,,,,
2014/3/17,8.0334,13.672,,,,,8.4209,2.8869,8.6936,6.6255,8.4202,3.7156,12.0253,4.9882,14.0058,9.6999,3.1893,14.9894,,,,,,,,,,,,,,,
