ÈÕÆÚ,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH
2014/1/2,2.0409,7.3889,3.39,8.6397,,4.5756,4.7996,4.5047,,,,,,
2014/1/3,2.0296,7.4604,3.41,9.0731,,4.5075,4.7526,4.4326,,,,,,
2014/1/6,1.9298,7.3532,3.3,8.898,,4.4157,4.5549,4.2614,,,,,,
2014/1/7,1.9026,7.489,3.32,8.8386,,4.4667,4.5361,4.1984,,,,,,
2014/1/8,1.8663,7.3961,3.27,8.9811,,4.3918,4.4326,4.1083,,,,,,
2014/1/9,1.8323,7.2817,3.2,8.6545,,4.2626,4.3949,4.1533,,,,,,
2014/1/10,1.8436,7.2532,3.06,8.4318,,4.1265,4.1691,4.0722,,,,,,
2014/1/13,1.9162,7.4247,3.02,8.1379,,4.1673,4.2255,4.0632,,,,,,
2014/1/14,1.9366,7.4675,3.08,8.6545,,4.2354,4.2444,4.1173,,,,,,
2014/1/15,1.9502,7.4175,3.06,8.5268,,4.2047,4.2161,4.0632,,,,,,
2014/1/16,1.9298,7.5033,3.09,8.803,,4.2149,4.2255,3.9911,,,,,,
2014/1/17,1.8754,7.539,3.04,8.4111,,4.0993,4.1314,3.892,,,,,,
2014/1/20,1.9185,7.4747,3.05,8.0756,,4.1673,4.1503,3.856,,,,,,
2014/1/21,1.9457,7.3032,3.08,8.034,,4.232,4.2067,3.9191,,,,,,
2014/1/22,1.9888,7.3032,3.16,8.3517,,4.3646,4.3385,4.1083,,,,,,
2014/1/23,1.9706,7.8892,3.14,8.4853,,4.317,4.3197,4.1443,,,,,,
2014/1/24,1.9661,8.2179,3.17,8.4912,,4.3816,4.3385,4.1533,,,,,,
2014/1/27,1.9253,8.2536,3.11,8.4853,,4.3408,4.3008,4.0092,,,,,,
2014/1/28,1.9434,8.1178,3.09,9.2661,,4.3408,4.2538,4.0002,,,,,,
2014/1/29,1.9411,8.418,3.08,9.3968,,4.3987,4.2632,3.9371,,,,,,
2014/1/30,1.9434,8.4608,3.07,9.4591,,4.3238,4.235,3.82,,,,,,
2014/2/7,1.9729,8.5251,3.17,9.8273,,4.3884,4.2726,3.811,,,,,,
2014/2/10,2.0046,8.5609,3.24,10.0974,,4.5347,4.4044,4.0452,,,,,,
2014/2/11,2.0024,8.6895,3.27,9.7827,,4.4905,4.4138,4.0272,,,,,,
2014/2/12,2.0341,8.7967,3.28,9.854,,4.5177,4.4702,4.0452,,,,,,
2014/2/13,2.0024,8.6681,3.24,9.3641,,4.4565,4.3949,3.9281,,,,,,
2014/2/14,2.0409,8.7895,3.29,9.5897,,4.596,4.5079,4.0002,,,,,,
2014/2/17,2.1248,8.8324,3.32,9.5422,,4.596,4.4985,4.0002,,,,,,
2014/2/18,2.0931,8.861,3.43,9.6313,,4.4871,4.4232,3.9281,,,,,,
2014/2/19,2.1271,9.6471,3.47,9.569,,4.5619,4.4702,3.9551,,,,,,
2014/2/20,2.1157,9.2612,3.58,9.1949,,4.7456,4.602,4.0002,,,,,,
2014/2/21,2.2382,9.3255,3.51,9.2038,,4.7014,4.5173,3.9641,,,,,,
2014/2/24,2.1883,9.204,3.41,9.4621,,4.5177,4.4232,3.8019,,,,,,
2014/2/25,2.1044,9.104,3.28,8.515,,4.2762,4.4138,3.7479,,,,,,
2014/2/26,2.0908,9.0754,3.35,8.1528,,4.3408,4.3385,3.7119,,,,,,
2014/2/27,2.1997,8.6395,3.32,7.8084,,4.2626,4.3385,3.7839,,,,,,
2014/2/28,2.1792,8.8467,3.36,7.9479,,4.2422,4.3385,3.7569,,,,,,
2014/3/3,2.2019,9.254,3.46,8.2804,,4.351,4.3761,3.82,,,,,,
2014/3/4,2.1997,9.2183,3.42,8.2685,,4.2796,4.3761,3.7749,,,,,,
2014/3/5,2.1974,9.1111,3.46,8.3398,,4.3238,4.4514,3.7659,,,,,,
2014/3/6,2.2042,9.0111,3.45,8.1617,,4.2762,4.3761,3.7659,,,,,,
2014/3/7,2.2155,8.811,3.45,8.1735,,4.283,4.3102,3.7749,,,,,,
2014/3/10,2.1112,8.7324,3.44,7.8974,,4.1027,4.1503,3.7119,,,,,,
2014/3/11,2.1271,8.7109,3.41,7.8054,,4.0585,4.1785,3.7299,,,,,,
2014/3/12,2.152,8.7109,3.36,8.0132,,4.0551,4.1597,3.7209,,,,,,
2014/3/13,2.1906,8.8253,3.36,8.224,,4.1843,4.2726,3.7659,,,,,,
2014/3/14,2.2019,9.0539,3.39,8.2478,,4.0823,4.1879,3.7299,,,,,,
2014/3/17,2.3198,9.3898,3.42,8.4348,,4.1367,4.2255,3.8019,,,,,,
2014/3/18,2.3289,9.5041,3.46,8.699,,4.1605,4.235,3.9821,,,,,,
2014/3/19,2.3221,9.3898,3.52,9.0197,,4.249,4.2726,3.9551,,,,,,
2014/3/20,2.2813,9.0611,3.44,8.8356,,4.2115,4.3008,4.0452,,,,,,
2014/3/21,2.3244,9.1254,3.62,8.6664,,4.3374,4.3949,4.0272,,,,,,
2014/3/24,2.2949,9.5756,3.61,8.6753,,4.351,4.4514,4.1443,,,,,,
2014/3/25,2.245,9.5041,3.6,8.5417,,4.3,4.4138,4.1083,,,,,,
2014/3/26,2.2654,9.5756,3.58,8.6308,,4.2524,4.3855,4.0542,,,,,,
2014/3/27,2.2178,9.5756,3.56,8.5179,,4.266,4.3479,4.0272,,,,,,
2014/3/28,2.1815,9.5756,3.62,8.1142,,4.2422,4.4138,4.0452,,,,,,
2014/3/31,2.1543,9.5756,3.62,8.4615,,4.4701,4.6396,4.0632,,,,,,
2014/4/1,2.186,9.5756,3.6,9.0197,,4.5824,4.7902,4.1263,,,,,,
2014/4/2,2.1883,9.5756,3.59,8.9188,,4.5313,4.7337,4.1893,,,,,,
