ÈÕÆÚ,000410.SZ,000530.SZ,000570.SZ,000595.SZ,000777.SZ,000811.SZ,000816.SZ,000837.SZ,000880.SZ,002026.SZ,002046.SZ,002122.SZ,002158.SZ,002164.SZ,002248.SZ,002272.SZ,002282.SZ,002347.SZ,002426.SZ,002438.SZ,002444.SZ,002480.SZ,002514.SZ,002520.SZ,002532.SZ,002552.SZ,002559.SZ,002598.SZ,002633.SZ,002639.SZ,002685.SZ,002686.SZ,002747.SZ,002760.SZ,002793.SZ,002795.SZ,002871.SZ,002877.SZ,002884.SZ,002896.SZ,002903.SZ,002931.SZ,002943.SZ,200530.SZ,200570.SZ,300024.SZ,300064.SZ,300080.SZ,300091.SZ,300092.SZ,300095.SZ,300126.SZ,300145.SZ,300154.SZ,300161.SZ,300179.SZ,300193.SZ,300222.SZ,300257.SZ,300260.SZ,300278.SZ,300345.SZ,300391.SZ,300400.SZ,300420.SZ,300421.SZ,300430.SZ,300435.SZ,300441.SZ,300464.SZ,300470.SZ,300488.SZ,300503.SZ,300554.SZ,300606.SZ,300607.SZ,300629.SZ,300700.SZ,300718.SZ,300780.SZ,600172.SH,600218.SH,600243.SH,600421.SH,600481.SH,600592.SH,600841.SH,601002.SH,601100.SH,601177.SH,601369.SH,601882.SH,603088.SH,603090.SH,603131.SH,603187.SH,603269.SH,603277.SH,603308.SH,603315.SH,603331.SH,603339.SH,603486.SH,603617.SH,603666.SH,603667.SH,603699.SH,603757.SH,603915.SH,603985.SH,688003.SH,688028.SH,688333.SH,900920.SH
2014/1/2,5.9468,4.4344,6.2535,2.665,9.4151,6.6439,4.4046,7.38,7.5853,6.3522,7.1305,4.1918,8.4439,3.723,7.26,4.51,5.3998,3.8758,2.8578,6.216,7.865,8.1054,5.0197,7.9223,6.8425,5.6964,5.3649,6.2444,7.71,4.1965,3.0869,5.6007,,,,,,,,,,,,3.1577,4.3881,10.047,4.9034,7.6538,3.5431,4.1573,4.5503,6.2118,3.4925,5.7376,14.2056,3.374,6.9721,4.6421,19.0698,7.3531,3.6766,3.808,,,,,,,,,,,,,,,,,,,3.5937,8.7636,6.495,6.51,4.9293,7.0049,11.0951,8.3309,8.209,6.7685,5.5588,,,,,,,,,,,,,,,,,,,,,,,0.7412
2014/1/3,5.9268,4.3586,6.2437,2.63,9.4043,6.3248,4.3353,7.13,7.5059,6.4191,6.9696,4.093,8.1822,3.6936,7.19,4.6,5.3414,3.701,2.8324,6.339,8.1462,8.205,5.1511,7.6976,6.9032,5.6268,5.1626,6.2172,7.78,4.2692,3.0028,5.5814,,,,,,,,,,,,3.0565,4.3691,10.1516,4.9133,7.8128,3.5452,4.1653,4.6516,6.1029,3.4103,5.5581,13.437,3.3953,6.8173,4.7884,19.3577,7.279,3.6766,3.8531,,,,,,,,,,,,,,,,,,,3.5663,8.4824,6.495,6.59,4.7925,6.892,10.8609,8.119,7.922,6.6499,5.4084,,,,,,,,,,,,,,,,,,,,,,,0.7318
2014/1/6,5.667,4.3141,5.9987,2.55,9.0516,6.2546,4.1473,6.9,7.3371,6.2949,6.773,3.9645,7.7276,3.5855,6.95,4.57,5.1207,3.5712,2.7639,6.3341,7.9231,8.0457,4.8586,7.7062,6.7355,5.4877,4.8154,6.0354,7.66,4.147,2.9327,5.4556,,,,,,,,,,,,2.9554,4.3214,10.0224,4.7061,7.4748,3.4407,4.0536,4.6614,5.7664,3.3404,5.5144,12.5823,3.2414,6.6108,4.8544,19.2617,6.8982,3.6766,3.5806,,,,,,,,,,,,,,,,,,,3.4077,8.0947,6.495,6.32,4.5873,6.751,10.5389,7.7049,7.6691,6.4325,5.2078,,,,,,,,,,,,,,,,,,,,,,,0.7215
2014/1/7,5.7769,4.216,6.0281,2.55,9.1113,6.2354,4.0582,6.94,7.1386,6.2376,6.7194,3.9447,7.8745,3.6052,7.43,4.63,5.1207,3.6111,2.7835,6.4325,8.0492,8.0656,4.7619,8.307,6.6344,5.5473,4.8758,6.0899,7.89,4.1106,2.9958,5.4039,,,,,,,,,,,,2.9638,4.3404,10.0368,4.7653,7.5941,3.449,4.1813,4.5568,5.8852,3.2657,5.615,12.5889,3.3355,6.6925,5.0438,19.6023,6.9229,3.6766,3.6469,,,,,,,,,,,,,,,,,,,3.4077,8.1044,6.495,6.4,4.7027,6.7416,10.4511,7.6375,7.6075,6.4721,5.2328,,,,,,,,,,,,,,,,,,,,,,,0.7234
2014/1/8,5.7269,4.2294,6.0183,2.53,8.8671,6.1907,4.0384,6.97,6.9102,6.2663,6.8177,3.9249,7.8424,3.556,7.75,4.59,5.1726,3.5961,2.7659,6.2898,8.0783,7.9909,4.7842,8.5836,6.5852,5.597,4.8336,6.3535,8.21,4.071,3.0448,5.4943,,,,,,,,,,,,3.0017,4.3309,10.1864,5.2389,7.8227,3.5536,4.1932,4.8345,6.1772,3.3252,5.7901,12.7546,3.4809,6.9549,5.0868,20.5043,7.2443,3.6766,3.7725,,,,,,,,,,,,,,,,,,,3.4515,7.9396,6.495,6.38,4.6258,6.7416,10.1583,7.4641,7.5802,6.561,5.1075,,,,,,,,,,,,,,,,,,,,,,,0.7215
2014/1/9,5.597,4.3185,6.0281,2.515,8.7151,6.395,4.1275,6.87,6.9599,6.209,6.6211,3.8359,7.8608,3.4971,7.39,4.41,5.0753,3.5262,2.76,6.0339,8.0492,7.7071,4.7793,8.3848,6.4233,5.5871,4.583,6.2081,8.02,3.8496,2.9187,5.4459,,,,,,,,,,,,3.0565,4.3309,9.7456,5.0415,7.5047,3.4637,4.0337,4.6712,5.7713,3.2893,5.6325,11.9263,3.3654,6.4517,4.8487,20.1684,6.9378,3.6766,3.5711,,,,,,,,,,,,,,,,,,,3.3475,7.988,6.495,6.3,4.3137,6.5818,9.8851,7.4063,7.4708,6.4128,4.9821,,,,,,,,,,,,,,,,,,,,,,,0.7158
2014/1/10,5.517,4.1804,5.8909,2.505,8.9919,6.2609,4.1671,6.51,7.0492,6.1899,6.4246,3.7865,7.3741,3.4283,7.4,4.39,4.8871,3.3414,2.7581,6.216,8.0007,7.503,4.5388,8.8126,6.4696,5.4529,4.6252,5.9626,8.24,3.8661,2.7961,5.2265,,,,,,,,,,,,2.9975,4.3214,9.5303,5.3277,7.2562,3.4657,4.0017,4.6581,5.5585,3.3026,5.4093,11.933,3.2842,6.3527,4.6737,19.5832,6.6015,3.6766,3.545,,,,,,,,,,,,,,,,,,,3.2764,8.2595,6.495,6.2,4.3051,6.4501,9.9534,7.387,7.7032,6.2349,4.7898,,,,,,,,,,,,,,,,,,,,,,,0.713
2014/1/13,5.3671,4.0021,5.9105,2.475,8.6988,5.8078,4.0087,6.6,7.3173,6.3714,6.4424,3.8162,7.3557,3.4185,7.59,4.38,4.9195,3.2465,2.7072,6.1914,7.7486,7.4184,4.4496,9.3356,6.4927,5.3883,5.0872,5.9172,8.25,3.7405,2.8381,5.1684,,,,,,,,,,,,2.9301,4.3118,9.7538,5.4658,7.1071,3.6603,3.9618,4.6222,5.7664,3.2941,5.51,12.3371,3.3782,6.4904,4.7253,19.2857,6.6905,3.6766,3.5829,,,,,,,,,,,,,,,,,,,3.2819,8.211,6.495,6.25,4.2111,6.3655,9.8656,7.4641,7.628,6.314,4.84,,,,,,,,,,,,,,,,,,,,,,,0.7149
2014/1/14,5.537,4.0868,6.0183,2.495,8.8291,5.9737,4.1077,7.09,7.5258,6.2758,6.6301,3.8952,7.6679,3.5266,7.64,4.44,5.0493,3.3414,2.7678,6.3193,8.3305,7.4681,4.4917,9.5085,6.6459,5.5573,5.5159,6.0535,8.47,3.8661,2.8696,5.22,,,,,,,,,,,,2.9174,4.3214,10.7298,5.5546,7.276,3.6603,4.2172,4.73,6.0485,3.4462,5.9652,12.7214,3.4851,7.1398,5.1987,19.6167,6.8586,3.6766,3.6659,,,,,,,,,,,,,,,,,,,3.3421,8.2885,6.495,6.37,4.2966,6.4689,9.8949,7.57,7.9425,6.3831,5.0406,,,,,,,,,,,,,,,,,,,,,,,0.7187
2014/1/15,5.517,4.1135,6.0379,2.465,8.943,6.0312,4.1374,7.06,7.9229,6.2185,6.7016,3.8656,7.9847,3.4971,7.54,4.39,5.0948,3.4063,2.8265,6.4473,8.3983,7.5827,4.6306,9.314,6.6893,5.5771,5.5853,6.0808,8.46,3.8859,2.8661,5.2362,,,,,,,,,,,,2.9427,4.2737,10.6785,5.4362,7.3655,3.5975,4.281,5.0403,6.197,3.4481,5.9564,12.8473,3.4937,7.0882,5.718,19.7271,7.1504,3.6766,3.7085,,,,,,,,,,,,,,,,,,,3.3366,8.3079,6.495,6.41,4.288,6.5629,10.0217,7.57,7.922,6.393,5.0322,,,,,,,,,,,,,,,,,,,,,,,0.7149
