ÈÕÆÚ,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH
2014/1/2,11.5027,2.0955,4.5591,5.8917,3.9243,,26.0711,,2.4279,8.39,6.8197,5.5013,,,,
2014/1/3,11.681,2.0847,4.538,6.051,3.8452,,26.0711,,2.4844,8.24,6.8295,5.4133,,,,
2014/1/6,11.2946,2.0251,4.39,6.0012,3.7265,,25.6239,,2.501,7.89,6.7214,5.2152,,,,
2014/1/7,11.6364,2.0305,4.6789,5.7922,3.7397,,26.1519,,2.5209,7.77,6.9278,5.1932,,,,
2014/1/8,11.5844,2.0251,4.7283,5.7723,3.7528,,26.2575,,2.5176,7.75,6.8492,5.2681,,,,
2014/1/9,11.7925,1.9926,4.5451,5.6827,3.6803,,26.1736,,2.5375,7.91,6.6527,5.4749,,,,
2014/1/10,11.4284,1.9385,4.4182,5.215,3.5616,,24.6271,,2.4545,7.61,6.3087,5.2328,,,,
2014/1/13,11.4061,1.9277,4.8058,5.3443,3.6011,,24.5494,,2.4778,7.31,6.2792,5.1492,,,,
2014/1/14,11.8593,1.9601,4.9115,5.4936,3.6473,,26.568,,2.5375,7.41,6.407,5.3473,,,,
2014/1/15,11.9262,1.9493,4.9115,5.3344,3.7067,,27.0183,,2.5309,7.33,6.3677,5.3165,,,,
2014/1/16,12.2755,1.9601,5.0031,5.4339,3.6935,,27.0804,,2.511,7.37,6.4856,5.2505,,,,
2014/1/17,12.112,1.9277,5.0454,5.3742,3.6737,,26.4376,,2.4545,7.25,6.466,5.1404,,,,
2014/1/20,12.1343,1.9114,4.8481,5.2747,3.6077,,26.0867,,2.398,7.13,6.4758,5.0568,,,,
2014/1/21,12.595,1.9331,5.0242,5.3742,3.7265,,26.2419,,2.4246,7.32,6.5347,5.0964,,,,
2014/1/22,12.5578,1.9818,5.0101,5.6031,3.8782,,26.0246,,2.4645,7.56,6.8295,5.4441,,,,
2014/1/23,12.4835,2.0739,4.996,5.6429,3.9243,,26.0867,,2.4545,7.74,6.9278,5.6509,,,,
2014/1/24,12.4166,2.0901,4.9749,5.6628,3.9177,,27.6394,,2.501,7.68,7.6255,5.6818,,,,
2014/1/27,11.8668,2.0576,4.834,5.8121,3.9375,,27.5866,,2.4711,7.86,7.3307,5.6333,,,,
2014/1/28,11.9782,2.0522,4.9185,5.7623,3.9111,,27.5773,,2.4678,7.94,7.144,5.5497,,,,
2014/1/29,11.681,2.0955,4.8974,5.7126,3.9441,,26.3972,,2.4545,7.15,7.1145,5.6994,,,,
2014/1/30,11.7033,2.0955,4.9467,5.7325,3.9177,,24.3972,,2.4877,6.9,7.0556,5.6554,,,,
2014/2/7,11.8593,2.1442,5.0735,5.8619,4.1222,,24.7451,,2.4778,7.06,7.085,5.6509,,,,
2014/2/10,11.8222,2.1821,5.2497,6.041,4.1881,,24.8165,,2.5608,7.22,7.3012,6.2143,,,,
2014/2/11,11.7182,2.1767,5.2145,6.0012,4.1354,,24.9066,,2.5442,7.22,7.3405,6.2583,,,,
2014/2/12,12.164,2.2038,5.1863,6.0709,4.2871,,24.5184,,2.604,7.09,7.2521,6.3111,,,,
2014/2/13,11.9336,2.1659,4.989,6.0609,4.1552,,23.2917,,2.5442,6.95,7.37,6.7072,,,,
2014/2/14,11.9857,2.2201,5.0876,6.0709,4.2871,,23.5805,,2.5541,6.99,7.4879,7.0417,,,,
2014/2/17,12.0154,2.2255,5.2215,6.1803,4.7158,,23.9066,,2.594,7.17,7.5174,7.1077,,,,
2014/2/18,11.7033,2.1984,5.3554,5.9713,4.696,,23.8196,,2.6837,7.33,7.2717,6.8656,,,,
2014/2/19,11.4952,2.2092,5.2356,5.9514,4.9202,,24.0028,,2.8132,7.18,7.2816,6.9537,,,,
2014/2/20,11.5101,2.1767,5.1088,5.8519,4.729,,22.919,,2.687,7.05,7.0556,7.0329,,,,
2014/2/21,11.4061,2.1876,5.1792,5.8818,4.5641,,22.6706,,2.7368,7.01,6.9475,7.0065,,,,
2014/2/24,11.0791,2.193,5.3625,5.9116,4.663,,22.4532,,2.7833,6.83,7.0457,7.0813,,,,
2014/2/25,10.663,2.1063,4.9678,5.5334,4.3662,,21.6644,,2.6936,6.59,6.9376,7.1165,,,,
2014/2/26,10.8042,2.1118,4.9326,5.4339,4.3794,,21.8786,,2.6737,6.49,7.0064,6.9537,,,,
2014/2/27,10.5144,2.0847,4.7283,5.2946,4.3398,,20.801,,2.8796,6.37,6.918,6.5576,,,,
2014/2/28,10.9379,2.128,4.8269,5.3643,4.2739,,21.5774,,2.8796,6.35,6.8099,6.5708,,,,
2014/3/3,11.2723,2.193,4.9115,5.5434,4.4454,,21.9407,,2.9361,6.51,7.0261,6.7864,,,,
2014/3/4,11.1088,2.1767,4.8833,5.4837,4.4652,,21.4842,,3.0291,6.36,6.9868,6.9096,,,,
2014/3/5,11.1237,2.1984,4.8551,5.4339,4.3728,,21.4221,,3.0059,6.34,7.0261,7.0505,,,,
2014/3/6,11.2649,2.1821,4.8692,5.3045,4.3464,,20.9625,,2.9627,6.27,6.9671,7.1077,,,,
2014/3/7,11.0345,2.2904,4.8058,5.2747,4.5707,,19.6582,,2.9029,6.31,6.9475,6.9361,,,,
2014/3/10,10.4549,2.3229,4.4394,5.1154,4.3926,,18.9439,,2.8232,6,6.6723,6.4299,,,,
2014/3/11,10.4772,2.3013,4.4816,5.205,4.6366,,19.0743,,2.8398,6.19,6.7018,6.4827,,,,
2014/3/12,10.2246,2.258,4.5028,5.2349,4.7422,,19.0992,,2.8497,6.05,6.6821,6.4255,,,,
2014/3/13,10.3955,2.2688,4.5662,5.7623,4.762,,19.7762,,2.883,6,6.7313,6.4431,,,,
2014/3/14,10.2469,2.2255,4.5873,5.9216,4.6234,,20.6054,,2.7734,6.04,6.7608,6.3375,,,,
2014/3/17,10.507,2.2688,4.6155,5.9315,4.7356,,20.5588,,2.8863,5.97,7.0949,6.7204,,,,
2014/3/18,10.7002,2.2471,4.686,6.0311,4.6234,,20.4501,,2.8763,6.33,7.1735,6.8436,,,,
2014/3/19,10.7299,2.2742,4.686,6.6381,4.6103,,19.6737,,2.8365,6.16,7.2521,6.6852,,,,
2014/3/20,10.3509,2.258,4.7071,6.867,4.3267,,19.2482,,2.7169,5.93,6.9671,6.4827,,,,
2014/3/21,10.6407,2.3121,4.7917,6.5187,4.4256,,19.5929,,2.7501,5.96,7.1931,6.4035,,,,
2014/3/24,10.5887,2.3663,4.8692,7.1756,4.4454,,19.1799,,2.7734,6.11,7.2914,6.3331,,,,
2014/3/25,11.0271,2.3554,4.8128,7.0362,4.4586,,19.0526,,2.8099,6.05,7.2521,6.3331,,,,
2014/3/26,10.8785,2.3987,4.8058,6.8471,4.4783,,19.683,,2.8032,5.91,7.3209,6.3331,,,,
2014/3/27,11.146,2.3554,4.7635,6.6481,4.353,,19.4066,,2.7169,5.93,7.1833,6.2319,,,,
2014/3/28,10.9231,2.2904,4.5591,6.469,4.3662,,19.0774,,2.6305,5.93,6.9966,6.1219,,,,
2014/3/31,10.9156,2.258,4.5873,6.2799,4.386,,18.8973,,2.5973,5.63,6.9376,6.1659,,,,
2014/4/1,11.2426,2.3013,4.8199,6.3893,4.4718,,19.4718,,2.6804,5.35,7.1342,6.0162,,,,
2014/4/2,11.2277,2.2796,4.7776,6.3794,4.386,,18.9936,,2.687,5.2,7.1243,5.9062,,,,
2014/4/3,10.8636,2.2688,4.686,6.2799,4.5509,,19.1923,,2.6471,5.3,7.1243,5.915,,,,
2014/4/4,10.9231,2.3229,4.7424,6.5983,4.63,,19.6157,,2.6704,5.29,7.1637,5.981,,,,
2014/4/8,11.0717,2.3229,4.7917,6.6083,4.6432,,20.0298,,2.7102,5.36,7.37,6.0602,,,,
2014/4/9,10.9231,2.3338,4.8058,6.5983,4.6234,,20.0173,,2.8199,5.46,7.3897,6.1087,,,,
2014/4/10,11.0048,2.3338,4.7565,6.5784,4.6037,,19.8305,,2.8298,5.44,7.3504,6.069,,,,
2014/4/11,10.9825,2.2796,5.0313,6.459,4.7356,,19.3169,,2.8232,5.3,7.4683,5.9062,,,,
2014/4/14,10.8934,2.3392,5.0172,6.6282,4.7488,,19.1394,,2.8132,5.39,7.4093,5.9458,,,,
2014/4/15,10.6853,2.3013,5.0524,6.4789,4.7092,,19.0803,,2.7966,5.34,7.3897,6.1131,,,,
2014/4/16,10.715,2.3067,5.0242,6.4391,4.7224,,19.1456,,2.7734,5.31,7.3798,6.1087,,,,
2014/4/17,10.6481,2.3229,4.996,6.3097,4.729,,19.1238,,2.78,5.35,7.4978,6.4431,,,,
2014/4/18,10.6407,2.35,4.989,6.2699,4.7818,,19.541,,2.8265,5.41,7.4879,6.2847,,,,
2014/4/21,10.3955,2.3392,4.8762,6.0609,5.0922,,19.3013,,2.7966,5.42,7.3012,6.025,,,,
2014/4/22,10.1652,2.3121,4.7353,6.0012,5.2838,,19.0242,,2.7269,5.52,7.1833,6.025,,,,
2014/4/23,10.1726,2.2959,4.7212,5.6429,5.1187,,19.0616,,2.7269,5.54,7.2324,5.9942,,,,
2014/4/24,10.2023,2.2471,4.6719,5.5135,5.1913,,17.34,,2.7401,5.63,6.9966,5.849,,,,
2014/4/25,9.9794,2.2092,4.5239,5.3742,4.9073,,16.9758,,2.6936,5.46,6.9671,5.4661,,,,
2014/4/28,9.0283,2.1334,4.1927,5.1752,4.4978,,16.3438,,2.5309,5.2,6.7509,5.158,,,,
2014/4/29,9.1769,2.1551,4.2984,5.3742,4.4912,,16.5431,,2.5076,5.28,6.859,5.224,,,,
2014/4/30,9.4369,2.1713,4.3971,5.3244,4.445,,16.7174,,2.5176,5.35,6.9082,5.2593,,,,
2014/5/5,9.3255,2.2092,4.5732,5.414,4.5308,,16.733,,2.5674,5.48,6.9573,5.2417,,,,
2014/5/6,9.4592,2.2092,4.7142,5.3543,4.511,,17.34,,2.5608,5.41,6.9671,5.4045,,,,
2014/5/7,9.1843,2.1497,4.4957,5.2249,4.3723,,16.817,,2.5143,5.34,6.8394,5.3649,,,,
2014/5/8,9.214,2.1821,4.4323,5.4538,4.3591,,16.6458,,2.511,5.35,6.8885,5.3781,,,,
2014/5/9,9.1843,2.1659,4.3759,5.3344,4.3063,,16.4839,,2.4047,5.41,6.8983,5.5057,,,,
2014/5/12,9.4369,2.2201,4.4887,5.4339,4.4053,,16.7952,,2.4811,5.45,7.0457,5.7038,,,,
2014/5/13,9.4147,2.2201,4.5521,5.3842,4.445,,16.7952,,2.4977,5.41,7.0261,5.8578,,,,
2014/5/14,9.4072,2.2959,4.5451,5.3344,4.445,,16.4715,,2.4944,5.39,7.0064,6.0558,,,,
2014/5/15,9.2883,2.2688,4.4605,5.215,4.2072,,15.6745,,2.4479,5.35,6.918,6.2451,,,,
2014/5/16,9.2958,2.3229,4.4323,5.0557,4.194,,15.192,,2.4445,5.34,6.859,6.2363,,,,
2014/5/19,9.1026,2.3663,4.5239,5.0457,4.0817,,15.2325,,2.4412,5.37,6.9278,6.3771,,,,
2014/5/20,9.1249,2.3608,4.5521,5.1157,4.1147,,15.5157,,2.4479,5.36,6.9475,6.3683,,,,
2014/5/21,9.2066,2.3283,4.5521,5.1656,4.1808,,15.6185,,2.4545,5.38,7.0163,5.915,,,,
2014/5/22,9.2363,2.3392,4.5451,5.1856,4.1478,,16.2224,,2.4379,5.52,6.9475,6.507,,,,
2014/5/23,9.3181,2.3392,4.5873,5.1656,4.2138,,16.2442,,2.4611,5.47,7.0163,6.6639,,,,
2014/5/26,9.3626,2.3283,4.6296,5.2156,4.3063,,16.375,,2.5043,5.5,7.0261,6.3949,,,,
2014/5/27,9.2883,2.3338,4.6719,5.1157,4.26,,16.6396,,2.491,5.45,7.0261,6.1482,,,,
2014/5/28,9.3775,2.3338,4.6789,5.1856,4.3723,,16.8233,,2.5076,5.51,7.085,6.1617,,,,
2014/5/29,9.3552,2.3121,4.6085,5.0957,4.3261,,16.3438,,2.4811,5.49,7.085,5.9464,,,,
2014/5/30,9.3775,2.3933,4.6437,5.0957,4.2931,,16.129,,2.4744,5.51,7.1047,5.9374,,,,
