ÈÕÆÚ,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH
2014/1/2,4.62,5.1377,3.7184,1.72,5.51,5.1587,12.4,3.32,,3.2564,,,0.62
2014/1/3,4.69,5.0383,3.6184,1.81,5.44,5.0696,11.92,3.23,,3.1454,,,0.612
2014/1/6,4.92,4.8992,3.5471,1.9,5.36,4.9111,11.05,3.11,,3.076,,,0.596
2014/1/7,5.17,4.8594,3.5471,2,5.4,4.9507,11.24,3.13,,3.1211,,,0.595
2014/1/8,5.43,4.8197,3.5756,2.1,5.41,4.9507,11.01,3.14,,3.2529,,,0.594
2014/1/9,5.43,4.77,3.5185,2.1,5.41,4.9408,11.16,3.09,,3.135,,,0.595
2014/1/10,5.43,4.7601,3.4115,2.1,5.38,4.8913,11.01,3.13,,3.0726,,,0.589
2014/1/13,5.7,4.8296,3.3187,2.21,5.33,4.8121,11.11,3.07,,3.083,,,0.596
2014/1/14,5.46,5.0383,3.4115,2.28,5.36,4.8616,11.25,3.32,,3.1627,,,0.6
2014/1/15,5.42,4.9886,3.4471,2.3,5.44,4.8616,11.18,3.31,,3.1697,,,0.596
2014/1/16,5.69,5.0284,3.4329,2.42,5.45,4.8616,11.47,3.25,,3.2147,,,0.594
2014/1/17,5.97,4.9389,3.3972,2.54,5.4,4.7824,11.11,3.15,,3.1835,,,0.593
2014/1/20,5.99,5.088,3.3758,2.67,5.41,4.8022,10.91,3.25,,3.1662,,,0.591
2014/1/21,6.05,5.1874,3.4329,2.8,5.51,4.8517,11.04,3.23,,3.239,,,0.597
2014/1/22,5.84,5.1973,3.5257,2.82,5.52,4.9705,11.45,3.29,,3.3014,,,0.609
2014/1/23,5.73,5.2371,3.6327,2.95,5.51,4.9408,12.6,3.27,,3.2633,,,0.628
2014/1/24,6.02,5.2669,3.6613,3.09,5.5,5.0002,12.89,3.29,,3.4332,,,0.625
2014/1/27,5.81,5.1178,3.6541,3.07,5.47,5.0399,12.93,3.21,,3.3327,,,0.624
2014/1/28,5.64,5.3166,3.5828,2.92,5.49,5.0498,13.07,3.23,,3.3223,,,0.625
2014/1/29,5.67,5.3762,3.647,2.93,5.5,5.0795,13.57,3.23,,3.3188,,,0.627
2014/1/30,5.71,5.3961,3.6327,2.94,5.47,5.0498,12.92,3.3,,3.3361,,,0.619
2014/2/7,5.93,5.4656,3.754,3.09,5.49,5.0894,12.94,3.36,,3.3465,,,0.624
2014/2/10,5.93,5.5948,3.8896,3.13,5.52,5.1686,13.34,3.45,,3.4679,,,0.628
2014/2/11,5.85,5.5451,3.9039,3.13,5.51,5.1884,13.81,3.42,,3.5338,,,0.632
2014/2/12,5.67,5.6147,3.9824,2.97,5.51,5.2478,13.58,3.44,,3.617,,,0.629
2014/2/13,5.63,5.7936,3.854,2.87,5.5,5.228,13.25,3.78,,3.5199,,,0.622
