ÈÕÆÚ,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH
2014/1/2,18.9192,3.7334,9.6914,11.6492,3.9385,3.55,6.0513,4.8667,37.2563,18.6369,11.9182,2.7883,9.1397,9.7718,2.4265,5.88,4.1865,7.9692,8.3161,4.94,,5.087,12.344,5.9376,0.54
2014/1/3,18.6527,3.6839,9.7761,11.5208,3.8986,3.59,5.8887,4.5871,37.688,17.8636,12.6037,2.7594,9.2075,9.4895,2.3836,5.79,4.0987,7.7008,8.3161,4.9525,,4.9978,12.0923,5.8352,0.544
2014/1/6,17.9675,3.4462,9.5052,10.8192,3.779,3.44,5.5691,4.3407,37.2857,17.9416,12.3311,2.6825,9.0197,9.2003,2.331,5.7,4.0109,7.275,8.3161,4.705,,5.0934,11.7205,5.463,0.526
2014/1/7,17.9675,3.4462,9.2682,10.5426,3.769,3.44,5.6124,4.4781,37.7567,17.8051,12.4168,2.6921,9.0354,9.2708,2.3501,5.73,4.1377,7.2102,8.3161,4.705,,4.9659,11.5833,5.5095,0.536
2014/1/8,17.9599,3.4462,9.0651,10.2363,3.7191,3.34,5.5203,4.4212,38.7968,18.3315,12.5726,2.6729,8.931,9.4543,2.3836,5.66,4.0304,7.0992,8.3161,4.665,,4.883,11.6662,5.3978,0.53
2014/1/9,18.0665,3.268,8.9043,10.3944,3.7491,3.33,5.4608,4.3502,37.8352,18.3185,12.2999,2.6537,8.8789,9.2144,2.374,5.61,4.0499,7.1547,8.3161,4.595,,4.7555,11.2972,5.342,0.525
2014/1/10,18.0132,3.3175,9.0143,10.2067,3.5995,3.31,5.4608,4.4734,36.3143,18.0066,11.9027,2.6152,8.8528,9.2144,2.3644,5.61,4.0109,7.0714,8.3161,4.4075,,4.6599,11.3687,5.3327,0.521
2014/1/13,18.3406,3.2581,9.1751,9.7324,3.4599,3.2,5.5583,4.6534,37.1385,18.4094,12.0039,2.596,8.9832,9.1791,2.331,5.55,3.7864,7.0159,8.3161,4.3425,,4.5579,11.1399,5.3699,0.511
2014/1/14,19.4141,3.3769,9.3529,10.2264,3.5297,3.3,5.6612,4.7482,37.4623,18.8123,12.2298,2.7787,9.291,9.2497,2.374,5.61,3.845,7.3121,8.3161,4.4725,,4.7173,11.0684,5.4816,0.517
2014/1/15,19.4674,3.4462,9.2344,10.1375,3.5496,3.51,5.6016,4.5492,38.2669,18.8448,12.0351,2.8075,9.4892,9.3132,2.3836,5.59,3.8547,7.4324,8.3161,4.435,,4.6982,10.668,5.4537,0.517
2014/1/16,19.2237,3.466,9.1328,9.9695,3.5297,3.38,5.5854,4.317,37.2857,18.7084,11.8793,2.7402,9.5988,9.2426,2.3549,5.58,3.884,7.2935,8.3161,4.545,,4.7428,10.259,5.7236,0.52
2014/1/17,19.5968,3.4066,9.0312,9.5447,3.4798,3.28,5.5258,4.2269,36.697,18.9618,11.9961,2.6921,9.5362,8.911,2.3167,5.6,3.9035,6.8678,8.3161,4.5975,,4.6344,10.322,5.5654,0.519
2014/1/20,19.6577,3.3472,8.7773,9.4854,3.44,3.25,5.5854,4.2791,36.3143,19.2997,11.9182,2.6825,9.1762,8.8052,2.288,5.58,3.9621,6.766,8.3161,4.5275,,4.5834,10.0874,5.4816,0.518
2014/1/21,19.7719,3.4264,8.9043,9.7917,3.4898,3.28,5.6883,4.2791,36.4615,18.9878,11.4664,2.7114,9.2284,8.9463,2.3167,5.6,3.9816,6.9233,8.3161,4.5275,,4.6344,10.2962,5.5281,0.527
2014/1/22,19.8937,3.5056,9.3359,10.1177,3.5596,3.37,5.7858,4.4118,37.325,18.8513,11.63,2.7594,9.4371,9.2355,2.374,5.72,4.0792,7.164,8.3161,4.5675,,4.8384,10.5908,5.6863,0.535
2014/1/23,18.8202,3.7532,9.3867,10.1177,3.5696,3.37,5.7479,4.3975,36.7559,18.5849,11.1938,2.7691,9.6405,9.2214,2.3501,5.72,4.0597,7.1547,8.3161,4.63,,4.8703,10.4621,5.6584,0.532
2014/1/24,18.9497,3.7928,9.5137,10.2659,3.6493,3.39,5.8779,4.4544,37.8744,18.364,10.9835,2.7787,9.4892,9.299,2.3692,5.95,4.0792,7.2195,8.3161,4.705,,4.8894,10.4192,5.7422,0.531
2014/1/27,18.6451,4.1394,9.3275,10.1078,3.5895,3.35,5.8508,4.3928,37.8548,18.0001,10.8822,2.7787,9.3745,9.2214,2.4982,6.25,4.0597,7.0344,8.3161,4.7075,,4.8256,10.2676,5.7236,0.531
2014/1/28,18.9497,4.0998,9.3783,9.9695,3.6493,3.34,5.7262,4.6203,39.4444,17.8246,10.4382,2.7787,9.484,9.2355,2.4265,6.08,4.0597,7.3491,8.3161,4.6775,,4.9021,10.6366,5.7608,0.531
2014/1/29,18.8431,4.1196,9.3613,9.9596,3.6693,3.43,5.8021,4.6534,39.0126,18.2145,10.8355,2.7787,9.4736,9.2355,2.4552,6.1,3.9913,7.2288,8.3161,4.6875,,4.883,10.7338,5.8166,0.532
2014/1/30,18.6527,4.0899,9.1497,9.8114,3.6095,3.39,5.71,4.5871,37.9235,18.078,10.9056,2.7498,9.3588,9.1579,2.4457,6.08,3.9718,7.0622,8.3161,4.6275,,4.781,10.4535,5.7236,0.532
2014/2/7,18.371,4.08,8.8027,9.762,3.6394,3.42,5.7695,4.6913,38.7575,16.8759,10.1266,2.7787,9.3953,9.1368,2.4552,6.29,4.1084,7.0344,8.3161,4.525,,4.7619,10.3363,5.798,0.529
2014/2/10,19.9546,4.3078,9.4629,10.7402,4.0083,3.59,6.0242,5.1605,42.6333,18.5654,10.6096,2.8844,10.1204,9.5107,2.6463,6.55,4.5183,7.7378,8.3161,4.5925,,5.1061,10.8025,6.0214,0.534
2014/2/11,19.7719,4.2384,9.3275,10.9773,4.4071,3.5,6.0404,5.677,43.4575,18.6824,11.2172,2.846,10.0631,9.5389,2.6033,6.49,4.4988,7.7378,8.3161,4.6025,,5.0615,10.7939,6.0772,0.534
2014/2/12,19.7947,4.2285,9.5137,11.1453,4.3074,3.52,6.035,5.7149,44.4093,18.2795,11.0614,2.8748,9.8753,9.4401,2.5698,6.4,4.4793,7.997,8.3161,4.825,,5.0743,10.7453,6.0586,0.532
2014/2/13,19.3988,4.1394,9.3698,11.4714,4.2576,3.52,6.1488,6.222,48.079,18.4744,10.9367,2.971,10.1465,9.4613,2.5651,6.34,4.411,8.1081,8.3161,4.8575,,5.0806,10.7281,6.0586,0.529
2014/2/14,19.6425,4.0998,9.2936,11.3133,4.3274,3.53,6.2246,6.2172,47.5197,18.351,10.6563,2.9517,10.2196,9.5248,2.589,6.43,4.4012,8.2747,8.3161,4.8625,,5.0551,10.7796,6.2075,0.522
2014/2/17,19.6425,4.2781,9.1497,11.3824,4.3772,3.64,6.2842,6.1888,49.2073,18.143,10.6563,2.9998,10.3187,9.6659,2.8469,6.45,4.5378,8.6079,8.3161,4.9075,,5.5587,10.7739,6.2168,0.516
2014/2/18,19.8709,4.2384,8.8619,11.086,4.3174,3.68,6.1759,5.9092,47.0389,18.143,10.7108,2.9614,9.9952,9.4966,2.8564,6.34,4.4207,8.5246,8.3161,4.88,,5.4695,10.4449,6.0865,0.513
2014/2/19,19.5511,4.2583,8.9297,11.1157,4.2975,3.68,6.1542,5.9092,47.1566,18.117,10.7342,3.0287,9.8231,9.6095,2.8135,6.38,4.411,8.3302,8.3161,4.835,,5.3866,10.2104,6.1237,0.514
2014/2/20,18.3939,4.0701,8.7858,10.9378,4.118,3.69,5.9971,5.9945,47.0879,17.9416,11.0536,3.1152,9.6092,9.6236,2.7179,6.33,4.3134,8.1543,8.3161,4.8975,,5.1826,10.0789,6.0493,0.515
2014/2/21,18.3025,4.1097,8.8112,11.2738,4.1279,4.06,6.1,5.8144,45.8222,17.8506,11.2405,3.019,9.6301,9.5671,2.7705,6.39,4.3524,8.0525,8.3161,4.985,,5.2528,10.1075,6.0028,0.515
2014/2/24,17.8153,4.0503,8.4811,10.9082,4.1479,3.89,6.2354,5.6912,47.7944,17.6751,11.373,2.9325,9.1397,9.2708,2.6654,6.67,4.411,7.9322,8.3161,5.03,,5.0551,9.5126,5.9283,0.507
2014/2/25,17.3737,3.8423,8.0071,10.1078,4.098,3.9,6.0242,5.9755,47.6472,17.3177,11.0224,2.8941,8.9154,8.9674,2.6128,6.51,4.1865,7.4324,8.3161,4.8175,,4.8703,9.1293,5.6491,0.493
