ÈÕÆÚ,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH
2014/1/2,6.0678,2.3174,9.8715,4.1719,2.855,2.8482,7.9166,2.5,2.57,7.6044,
2014/1/3,6.0816,2.2888,9.6652,4.165,2.8501,2.7629,7.9539,2.47,2.545,7.5086,
2014/1/6,5.792,2.2087,9.1859,3.9651,2.7867,2.6322,7.8421,2.36,2.47,7.4786,
2014/1/7,5.6886,2.2087,9.1127,3.9306,2.8355,2.6549,7.7614,2.34,2.48,7.7363,
2014/1/8,5.6472,2.1687,9.2325,3.9099,2.8452,2.5639,7.6745,2.31,2.465,7.2629,
2014/1/9,5.6265,2.1286,9.1593,3.9375,2.8062,2.49,7.6372,2.28,2.43,7.3408,
2014/1/10,5.7024,2.0714,8.8597,4.0202,2.7185,2.4673,7.3268,2.24,2.43,7.2749,
2014/1/13,5.6679,2.0943,8.913,4.0202,2.6893,2.473,7.0287,2.23,2.395,7.4606,
2014/1/14,5.8334,2.14,9.0728,4.1237,2.7429,2.5241,7.5068,2.34,2.48,7.8082,
2014/1/15,5.9299,2.1629,9.339,4.1237,2.7478,2.5241,7.4634,2.32,2.455,7.8441,
2014/1/16,5.7851,2.1629,9.319,4.1099,2.777,2.5241,7.6683,2.32,2.47,7.9101,
2014/1/17,5.7093,2.14,9.1859,4.0547,2.738,2.473,7.7428,2.28,2.415,7.8501,
2014/1/20,5.6403,2.14,8.8997,3.972,2.816,2.49,7.6248,2.25,2.39,7.8501,
2014/1/21,5.7093,2.14,9.0195,3.9995,2.8306,2.5355,7.7303,2.29,2.425,7.7483,
2014/1/22,5.9024,2.14,9.3523,4.0961,2.8744,2.6037,8.0284,2.35,2.49,8.5213,
2014/1/23,5.9575,2.14,9.3523,4.1719,2.8744,2.5924,8.4754,2.35,2.5,8.8928,
2014/1/24,5.9644,2.14,9.5187,4.1788,2.8988,2.6549,9.0032,2.37,2.5,8.8629,
2014/1/27,5.9644,2.243,9.2991,4.165,2.8793,2.672,9.4068,2.35,2.5,8.731,
2014/1/28,5.9989,2.2259,9.5853,4.1719,2.8842,2.7572,9.4813,2.34,2.49,8.6891,
2014/1/29,6.0058,2.2316,9.7051,4.1857,2.8696,2.7913,9.5248,2.34,2.49,8.725,
2014/1/30,6.6057,2.2202,9.339,4.3236,2.8744,2.7402,9.3199,2.39,2.425,8.6591,
2014/2/7,6.6746,2.2373,9.3457,4.4271,2.9085,2.7516,9.4441,2.41,2.485,9.0546,
2014/2/10,6.7712,2.2831,9.5853,4.5167,2.967,2.8539,10.245,2.52,2.615,9.1984,
2014/2/11,6.9229,2.3174,9.9048,4.434,3.0011,2.8596,10.0029,2.52,2.595,9.0366,
2014/2/12,6.7229,2.3346,9.8582,4.3374,3.0303,2.9107,9.7421,2.53,2.59,9.7138,
2014/2/13,6.5229,2.3232,9.785,4.2823,2.9573,2.8482,10.4313,2.53,2.58,9.552,
2014/2/14,6.6953,2.3518,10.7635,4.3305,3.006,2.9164,11.4744,2.54,2.59,9.5879,
2014/2/17,6.8401,2.3804,10.9765,4.3788,3.0986,2.9619,12.412,2.56,2.64,10.0374,
2014/2/18,6.6884,2.3518,11.4225,4.2064,3.0791,2.905,13.6538,2.59,2.755,10.0014,
2014/2/19,6.4747,2.3747,11.316,4.2409,3.1473,2.979,14.2934,2.71,2.7,9.8276,
2014/2/20,6.2264,2.3403,10.7568,4.1719,3.0693,3.0642,12.8715,2.72,2.615,9.3662,
2014/2/21,6.1782,2.3117,10.8767,4.1237,3.045,3.0301,12.4058,2.65,2.68,9.3183,
2014/2/24,6.3092,2.306,10.6903,4.1995,3.0986,2.9221,12.3313,2.56,2.58,9.522,
2014/2/25,5.7093,2.2373,10.1511,4.0478,3.2204,2.7686,11.0957,2.54,2.43,8.6771,
2014/2/26,5.923,2.2488,10.0379,4.103,3.2106,2.8084,11.7787,2.58,2.475,9.0187,
2014/2/27,5.792,2.2488,9.978,4.0892,3.3519,2.7516,11.5986,2.54,2.44,8.731,
2014/2/28,5.8541,2.2774,10.4506,4.0892,3.3957,2.8255,11.8097,2.55,2.465,8.9408,
2014/3/3,6.1437,2.3289,10.7036,4.2547,3.5273,2.9619,12.2071,2.64,2.515,9.2943,
2014/3/4,6.1299,2.3518,10.5904,4.2064,3.4152,2.9676,11.6793,2.62,2.51,9.6539,
2014/3/5,6.0678,2.3289,10.6304,4.2133,3.3568,2.9903,11.7725,2.65,2.525,9.516,
2014/3/6,6.2057,2.3403,10.4174,4.2202,3.386,2.9846,11.164,2.62,2.52,9.4441,
2014/3/7,6.2126,2.3403,10.2376,4.2409,3.2788,3.0642,10.8597,2.56,2.47,8.8629,
2014/3/10,6.2747,2.2888,9.6585,4.103,3.2593,2.979,9.9284,2.53,2.39,8.755,
2014/3/11,6.585,2.2888,9.6053,4.2064,3.235,3.1268,9.9718,2.58,2.375,8.9587,
2014/3/12,6.1644,2.2831,9.7184,4.034,3.3811,3.3883,10.2761,2.57,2.42,8.731,
2014/3/13,5.9713,2.3747,9.8715,4.0271,3.3227,3.2518,10.2761,2.59,2.415,9.1984,
2014/3/14,6.0954,2.3403,9.6452,4.0271,3.2837,3.1381,10.2761,2.66,2.38,9.0726,
2014/3/17,6.2057,2.4261,9.805,4.0271,3.4639,3.2461,10.2761,2.69,2.415,9.3602,
2014/3/18,6.2747,2.4376,10.1844,4.0547,3.5273,3.1438,10.2761,2.65,2.43,9.522,
2014/3/19,6.2195,2.4776,10.0779,3.9858,3.8781,3.0756,10.2761,2.63,2.51,9.6479,
2014/3/20,6.0747,2.4204,9.6785,3.972,3.9804,3.0244,10.928,2.67,2.45,9.1085,
2014/3/21,6.1368,2.4891,9.9847,3.9995,3.9999,3.1097,10.7231,2.71,2.5,9.4142,
2014/3/24,6.516,2.5234,10.1711,4.0823,4.1899,3.1893,10.6921,2.69,2.75,9.534,
2014/3/25,6.3988,2.4948,10.404,4.034,4.0047,3.1552,10.4561,2.74,2.84,9.7677,
2014/3/26,6.4195,2.4719,10.5239,4.0478,3.995,3.1779,10.8846,2.78,2.77,10.3849,
2014/3/27,6.5022,2.3975,10.6237,4.1306,3.9122,3.1666,10.3816,2.71,2.77,10.0853,
2014/3/28,7.1504,2.3804,10.1711,4.2547,3.7904,2.9903,9.9408,2.66,2.58,9.6059,
2014/3/31,7.1504,2.4319,10.1511,4.2547,3.8245,2.9505,9.6365,2.64,2.6,8.9587,
2014/4/1,7.1504,2.4433,10.4174,4.2547,4.0437,3.0017,9.9905,2.67,2.6,9.1685,
2014/4/2,7.1504,2.4376,10.3109,4.2547,3.9268,2.9676,9.829,2.73,2.66,9.4321,
2014/4/3,7.1504,2.4261,10.6903,4.2547,3.8634,2.9619,9.7235,2.67,2.61,9.3243,
2014/4/4,7.1504,2.4204,10.7102,4.2547,4.0193,2.9846,9.8104,2.94,2.63,9.3422,
2014/4/8,7.1504,2.4376,10.7768,4.2547,4.034,3.0131,9.9905,3.02,2.62,9.2943,
2014/4/9,7.1504,2.449,10.8034,4.2547,4.0388,3.0585,10.1457,2.95,2.65,9.4441,
2014/4/10,7.1504,2.5349,11.0897,4.2547,3.9852,3.0472,11.1578,2.89,2.61,9.6958,
2014/4/11,7.1504,2.5578,10.7036,4.2547,3.8099,3.0131,11.4248,2.91,2.57,9.4441,
2014/4/14,7.1504,2.6035,10.7435,4.2547,3.9219,3.1211,11.1205,2.87,2.61,9.3482,
2014/4/15,7.1504,2.5234,10.4706,4.2547,3.8391,3.1211,11.1019,2.86,2.565,9.3482,
2014/4/16,7.1504,2.6665,10.6237,4.2547,3.8732,3.1552,10.9839,3,2.575,9.3063,
2014/4/17,7.1504,2.6321,10.637,4.2547,3.9219,3.0983,11.1702,2.94,2.565,9.4981,
2014/4/18,7.1504,2.5749,10.5971,4.2547,3.9365,3.1154,11.0771,2.89,2.525,9.3602,
2014/4/21,7.1504,2.5063,10.3774,4.2547,3.8293,3.1097,10.3692,2.79,2.475,8.5692,
2014/4/22,6.4333,2.512,10.464,3.8478,3.7465,3.0699,9.9656,2.83,2.435,8.0479,
2014/4/23,5.9506,2.5234,10.4839,3.8547,3.6491,3.0301,9.6179,2.8,2.455,8.1378,
2014/4/24,6.5436,2.4605,10.404,4.1582,3.6442,3.0415,9.6241,2.73,2.46,8.0599,
2014/4/25,6.9642,2.4033,9.3723,4.1719,3.654,3.0415,8.8852,2.75,2.415,7.6943,
2014/4/28,6.2678,2.2831,8.9995,3.9168,3.4591,2.78,8.8666,2.75,2.385,7.4307,
2014/4/29,6.323,2.3232,9.1859,3.9168,3.4688,2.8709,9.0032,2.75,2.43,7.5505,
2014/4/30,6.0885,2.346,9.2059,3.8754,3.5809,2.9221,9.0591,2.75,2.415,7.982,
2014/5/5,6.6953,2.3575,9.2192,4.103,3.5955,2.9448,8.9846,2.75,2.415,8.1258,
2014/5/6,6.9642,2.3689,9.339,4.1168,3.5857,2.9392,9.1833,2.75,2.415,8.1378,
2014/5/7,6.8953,2.3346,9.1992,4.0616,3.5857,2.8994,9.1895,2.75,2.425,7.8501,
2014/5/8,7.4745,2.3289,9.2259,4.2202,3.6004,2.9335,9.0777,2.75,2.445,7.7902,
2014/5/9,7.2262,2.3117,9.359,4.1099,3.5322,2.8937,8.7424,2.75,2.425,7.4846,
2014/5/12,7.3366,2.3632,9.7317,4.1719,3.5857,2.9562,9.1088,2.75,2.475,6.9632,
2014/5/13,8.0123,2.3518,9.6519,4.3236,3.5809,2.9562,9.0529,2.75,2.455,6.9632,
2014/5/14,7.8606,2.3575,9.6452,4.2271,3.5273,2.9676,8.9039,2.75,2.445,6.9632,
2014/5/15,7.3848,2.306,9.4455,4.1237,3.5175,2.8937,8.5748,2.75,2.375,6.9632,
