ÈÕÆÚ,000030.SZ,000338.SZ,000559.SZ,000581.SZ,000622.SZ,000678.SZ,000700.SZ,000757.SZ,000760.SZ,000887.SZ,000903.SZ,000980.SZ,001696.SZ,002048.SZ,002085.SZ,002101.SZ,002126.SZ,002213.SZ,002239.SZ,002265.SZ,002283.SZ,002284.SZ,002328.SZ,002355.SZ,002363.SZ,002406.SZ,002434.SZ,002448.SZ,002454.SZ,002472.SZ,002488.SZ,002510.SZ,002516.SZ,002536.SZ,002553.SZ,002590.SZ,002592.SZ,002611.SZ,002625.SZ,002662.SZ,002684.SZ,002703.SZ,002708.SZ,002715.SZ,002725.SZ,002765.SZ,002813.SZ,002863.SZ,002865.SZ,002906.SZ,002921.SZ,200030.SZ,200581.SZ,300100.SZ,300258.SZ,300304.SZ,300375.SZ,300428.SZ,300432.SZ,300473.SZ,300507.SZ,300547.SZ,300580.SZ,300585.SZ,300611.SZ,300643.SZ,300652.SZ,300680.SZ,300681.SZ,300694.SZ,300695.SZ,300707.SZ,300733.SZ,300742.SZ,600081.SH,600148.SH,600178.SH,600480.SH,600523.SH,600609.SH,600626.SH,600660.SH,600676.SH,600698.SH,600699.SH,600741.SH,600742.SH,600933.SH,600960.SH,601311.SH,601689.SH,601717.SH,601799.SH,603006.SH,603009.SH,603013.SH,603023.SH,603035.SH,603037.SH,603040.SH,603085.SH,603089.SH,603121.SH,603158.SH,603161.SH,603166.SH,603178.SH,603179.SH,603197.SH,603239.SH,603286.SH,603305.SH,603306.SH,603319.SH,603335.SH,603348.SH,603358.SH,603586.SH,603596.SH,603655.SH,603701.SH,603730.SH,603758.SH,603767.SH,603768.SH,603788.SH,603809.SH,603917.SH,603922.SH,603926.SH,603982.SH,603997.SH,900946.SH
2014/1/2,3.8826,3.9294,2.8528,25.3317,3.98,4.31,4.1251,4.97,9.1407,7.7175,2.1914,4.5663,4.3169,8.0968,3.571,5.5748,5.2836,8.4149,2.1706,6.0865,2.8092,4.3414,5.5932,7.1724,7.306,3.9152,2.9964,4.5211,5.1252,3.3852,2.5308,2.6772,1.9866,4.4639,6.2332,3.9835,11.1006,1.9816,2.5898,3.3437,4.5446,7.9048,,,,,,,,,,3.1821,20.4148,7.0289,5.5876,4.7374,,,,,,,,,,,,,,,,,,,7.9018,9.4115,5.1681,6.4704,8.333,2.94,8.5832,6.2691,5.5411,3.73,12.0103,7.6691,6.348,,4.7752,10.5513,,5.7675,13.6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309
2014/1/3,3.8004,3.8434,2.8372,24.917,3.92,4.28,4.157,4.89,9.1264,7.604,2.1914,4.5165,4.3169,8.0302,3.6436,5.4737,5.1664,8.9613,2.3052,6.0965,2.7896,4.2983,5.4626,7.1127,6.938,3.8146,2.9252,4.5025,5.0387,3.4043,2.4764,2.6485,1.9565,4.5546,5.8156,3.902,10.9686,2.0106,2.5669,3.4062,4.4538,8.0115,,,,,,,,,,3.1173,20.0375,6.933,5.5029,4.7804,,,,,,,,,,,,,,,,,,,7.9486,9.2833,5.1283,6.2871,8.2793,2.89,8.6114,6.1467,5.3148,3.71,12.2697,7.2594,6.1883,,4.5729,10.4281,,5.6186,13.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308
2014/1/6,3.6297,3.7134,2.7539,24.1622,3.84,4.13,3.8568,4.72,8.7622,7.6418,2.2194,4.3275,4.3169,7.8015,3.7162,5.4471,5.2787,8.5539,2.1336,5.8867,2.775,4.2935,5.6499,6.9436,6.3795,3.7052,2.8447,4.2753,4.8223,3.3422,2.37,2.5219,2.02,4.1374,5.261,3.6314,10.2047,1.9662,2.4821,3.2857,4.2602,7.7942,,,,,,,,,,3.0407,19.3582,6.7317,5.3885,4.3027,,,,,,,,,,,,,,,,,,,7.5465,8.8492,4.9693,6.0213,7.8432,2.8,7.9071,6.0318,5.0069,3.58,12.4786,7.2439,5.9577,,4.5362,10.0303,,5.4791,12.7597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307
2014/1/7,3.6297,3.7218,2.6758,24.4442,3.84,4.14,3.8022,4.75,8.7907,7.5945,2.0888,4.2579,4.3169,7.7825,3.7214,5.4737,5.4203,8.5539,2.068,5.8467,2.814,4.4756,5.7351,6.9635,6.6376,3.7183,2.8973,4.2679,4.8608,3.4138,2.3597,2.4957,2.045,4.1515,5.2408,3.6954,10.2801,2.0318,2.4867,3.3035,4.2723,7.8811,,,,,,,,,,3.0289,19.7431,7.0577,5.4733,4.3293,,,,,,,,,,,,,,,,,,,7.5558,8.8196,4.9793,5.948,7.8499,2.83,8.0292,5.9323,5.0341,3.58,12.2769,7.2207,5.9967,,4.4503,9.8883,,5.507,12.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306
2014/1/8,3.617,3.726,2.6394,24.3944,3.77,4.07,3.8613,4.59,9.3335,7.4148,2.0562,4.3076,4.3169,8.0492,3.7681,5.5057,5.4447,8.5539,2.0747,5.9266,2.7994,4.466,5.6272,7.0033,6.7137,3.7271,2.9376,4.3088,4.88,3.4186,2.3363,2.5005,2.0166,4.1596,5.3553,3.7449,10.2424,2.0511,2.5119,3.3437,4.4448,7.9957,,,,,,,,,,3.0171,19.9847,7.2495,5.6215,4.7627,,,,,,,,,,,,,,,,,,,7.5932,8.7703,4.86,5.948,7.8835,2.76,7.6911,6.0165,4.853,3.53,12.3129,7.0738,6.0109,,4.53,9.8409,,5.414,12.7951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308
2014/1/9,3.4906,3.6673,2.6134,23.6313,3.66,3.99,3.7658,4.4,9.4049,7.273,2.0236,4.2778,3.9679,7.973,3.6471,5.3514,5.347,8.5539,1.9468,5.6968,2.6872,4.1689,5.5648,6.9734,6.6418,3.6396,2.8695,4.2306,4.7694,3.4043,2.3104,2.4909,1.9248,4.0064,5.0342,3.7158,9.884,1.9874,2.411,3.183,4.2935,7.6678,,,,,,,,,,3.0171,19.5394,6.9043,5.3885,4.4556,,,,,,,,,,,,,,,,,,,7.294,8.4842,4.7209,5.7097,7.6755,2.73,7.6066,5.8328,4.8439,3.44,12.9758,6.927,5.9577,,4.4626,9.9925,,5.3303,12.7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306
2014/1/10,3.4716,3.6044,2.6029,22.6857,3.5,3.94,3.7658,4.35,9.2406,7.254,1.9816,4.2678,3.7658,8.0968,3.5088,5.1014,5.3226,8.246,1.9553,5.6168,2.6238,4.0203,5.5761,6.7645,6.4726,3.4734,2.7704,4.0817,4.7742,3.3183,2.256,2.4646,1.7896,3.8895,5.1285,3.4946,9.5162,1.997,2.4637,3.0714,4.1452,7.6717,,,,,,,,,,2.97,19.3356,7.1728,5.2403,4.4872,,,,,,,,,,,,,,,,,,,7.2285,8.0699,4.6513,5.728,7.3736,2.64,8.0385,5.8252,4.7806,3.38,12.3706,6.9501,5.8441,,4.4871,9.7841,,5.1721,12.3615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305
2014/1/13,3.4969,3.6065,2.6446,22.0056,3.52,3.9,3.6976,4.28,9.3549,7.1122,1.9956,4.2081,3.7382,8.2683,3.3861,5.1014,4.9954,8.0671,1.9822,5.5768,2.6043,4.0395,5.7635,6.6352,6.4684,3.4252,2.7302,4.0221,4.7983,3.2945,2.2974,2.4384,1.823,3.9601,5.1218,3.4335,9.6954,2.1437,2.3721,3.116,4.1845,7.7152,,,,,,,,,,3.0171,19.0186,7.2878,5.325,4.5896,,,,,,,,,,,,,,,,,,,7.3033,8.1093,4.6811,5.7555,7.293,2.6,8.0667,5.8711,4.7534,3.38,11.8806,6.9579,5.8193,,4.3277,9.5852,,5.2372,12.2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307
2014/1/14,3.5854,3.7092,2.7383,22.9014,3.84,3.96,3.825,4.4,9.4763,7.1027,2.0329,4.2778,3.7658,8.2874,3.3325,5.229,5.1078,8.246,2.031,5.6168,2.6726,4.1018,5.9623,6.7944,6.6545,3.539,2.8138,4.1524,4.8848,3.4329,2.3597,2.5291,1.8764,4.1152,5.2273,3.579,9.9217,2.1572,2.4339,3.1741,4.2814,7.8297,,,,,,,,,,2.9994,19.245,7.3837,5.5495,4.673,,,,,,,,,,,,,,,,,,,7.6493,8.3658,4.7706,5.8563,7.4474,2.86,8.1606,6.0395,4.8621,3.43,13.0694,7.0275,6.0464,,4.4136,9.6704,,5.2558,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308
2014/1/15,3.5728,3.7029,2.7279,23.2581,3.69,3.97,3.8295,4.4,9.6048,7.3013,2.0189,4.2479,3.7291,8.3064,3.5434,5.2716,5.4252,8.6434,2.0427,5.6468,2.6628,4.1258,6.002,6.864,6.6884,3.5783,2.8354,4.1897,4.9329,3.4568,2.3649,2.5506,1.8948,4.0689,5.2992,3.7216,10.1009,2.1726,2.4683,3.1785,4.705,7.9364,,,,,,,,,,2.97,18.9507,7.3166,5.6681,4.7134,,,,,,,,,,,,,,,,,,,7.5558,8.3362,4.8004,5.8746,7.6218,2.98,8.1888,5.8941,4.8349,3.41,14.006,6.9115,6.1315,,4.432,9.5852,,5.2,12.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308
