ÈÕÆÚ,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH
2014/1/2,13.6057,5.3309,11.4625,8.6633,7.9218,6.61,8.3166,12.74,5.0442,3.8405,6.8835,3.0403,2.8187,5.9834,4.5465,12.3782,3.4239,,,,,,,,,,,2.7806,5.2712,20.7877,2.7381,,,,,,,,,,
2014/1/3,13.4778,5.3888,11.3751,8.5547,7.9218,6.48,8.3497,13.56,5.0955,3.8953,7.099,3.0805,2.7559,5.9319,4.5465,12.345,3.3743,,,,,,,,,,,2.7469,5.6706,20.4774,2.6887,,,,,,,,,,
2014/1/6,12.9072,5.196,10.851,8.1206,7.7214,6.3,8.1982,12.68,5.1212,3.7457,7.026,3.0757,2.6696,5.6682,4.5465,11.9628,3.0807,,,,,,,,,,,2.6739,5.421,19.9861,2.5899,,,,,,,,,,
2014/1/7,12.9072,5.2153,10.919,8.0022,7.8741,6.35,8.3119,12.61,5.1533,3.9003,7.1056,3.0452,2.6774,5.7456,4.5465,11.913,3.0731,,,,,,,,,,,2.7301,5.3511,20.0551,2.5899,,,,,,,,,,
2014/1/8,12.6711,5.1671,10.7443,8.0219,8.0841,6.44,8.3119,13.12,5.1661,4.0101,7.5828,3.0709,2.6853,5.9347,4.5465,12.0957,3.1036,,,,,,,,,,,2.6907,5.4809,19.8052,2.6195,,,,,,,,,,
2014/1/9,12.7399,5.0707,10.5696,7.8344,7.8169,6.28,8.2171,13.27,4.9479,3.8754,7.5563,2.9406,2.6539,5.7284,4.5465,11.8831,2.9778,,,,,,,,,,,2.7132,5.3611,19.4001,2.5997,,,,,,,,,,
2014/1/10,12.0513,5.1767,10.2978,7.6963,7.7596,6.14,7.9566,12.55,4.7362,3.8056,7.6823,2.7765,2.5832,5.4791,4.5465,11.5175,2.8901,,,,,,,,,,,2.657,5.1714,18.814,2.5503,,,,,,,,,,
2014/1/13,11.9529,5.1092,10.2299,7.5384,7.8073,5.98,8.0893,12.17,4.7105,3.8604,7.6823,2.8875,2.5753,5.5765,4.5465,11.3979,2.9206,,,,,,,,,,,2.629,5.1614,18.7451,2.5207,,,,,,,,,,
2014/1/14,12.0611,5.1863,10.6278,7.6963,8.065,6.12,8.274,12.94,5.0121,4.0599,7.4933,2.8956,2.6303,5.9089,4.5465,11.697,2.993,,,,,,,,,,,2.6233,5.2812,19.4173,2.5899,,,,,,,,,,
2014/1/15,12.1398,5.196,10.6375,7.8048,8.0268,6.07,8.3592,13.02,5.134,4.0749,7.4967,2.9309,2.6539,6.0064,4.5465,11.9263,3.0312,,,,,,,,,,,2.6458,5.2912,19.7276,2.5997,,,,,,,,,,
2014/1/16,12.2382,5.1478,10.6375,7.8048,8.2464,6.11,8.3308,13.8,5.134,4.035,7.606,2.9535,2.646,6.0178,4.5465,11.5574,3.0197,,,,,,,,,,,2.7188,5.411,19.469,2.5899,,,,,,,,,,
2014/1/17,12.0415,5.0225,10.3755,7.9035,8.2464,6.02,8.1934,13.38,5.2431,4.1347,7.7518,2.8441,2.6146,6.1411,4.5465,11.1553,2.9778,,,,,,,,,,,2.6627,5.2513,19.831,2.5899,,,,,,,,,,
2014/1/20,11.6775,5.0321,10.3172,7.864,8.1605,5.99,7.9993,13.94,5.1918,4.0051,7.5828,2.8763,2.5753,5.9319,4.5465,11.1553,3.0312,,,,,,,,,,,2.6795,5.3711,19.2277,2.6393,,,,,,,,,,
