ÈÕÆÚ,000045.SZ,000050.SZ,000100.SZ,000413.SZ,000536.SZ,000541.SZ,000725.SZ,000727.SZ,002005.SZ,002036.SZ,002076.SZ,002106.SZ,002189.SZ,002217.SZ,002273.SZ,002289.SZ,002387.SZ,002449.SZ,002456.SZ,002587.SZ,002745.SZ,002808.SZ,002841.SZ,002845.SZ,002876.SZ,002952.SZ,002955.SZ,002962.SZ,200045.SZ,200413.SZ,200541.SZ,200725.SZ,300032.SZ,300076.SZ,300088.SZ,300102.SZ,300120.SZ,300128.SZ,300162.SZ,300219.SZ,300232.SZ,300241.SZ,300296.SZ,300301.SZ,300303.SZ,300319.SZ,300323.SZ,300331.SZ,300389.SZ,300545.SZ,300566.SZ,300582.SZ,300625.SZ,300632.SZ,300650.SZ,300691.SZ,300701.SZ,300708.SZ,300752.SZ,300790.SZ,600261.SH,600363.SH,600552.SH,600651.SH,600666.SH,600703.SH,600707.SH,603297.SH,603303.SH,603515.SH,603679.SH,603685.SH,603773.SH,688007.SH,688010.SH
2014/1/2,8,11.2459,2.0197,5.3906,13.6434,4.3836,2.0394,2.64,8.4184,5.3697,2.6838,11.4547,7.7452,2.5125,6.6865,11.3096,5.3403,6.2027,9.5495,3.4966,,,,,,,,,6,3.04,3.1134,1.7971,8.2696,6.7584,3.6992,5.6974,5.1189,5.4889,6.1451,3.3774,2.9042,6.0304,1.4968,5.1136,4.0157,3.6456,5.1823,13.9081,,,,,,,,,,,,,5.8867,7.9475,6.3779,5.6811,4.3172,10.3836,8.33,,,,,,,,
2014/1/3,7.92,11.2557,1.9935,5.5742,12.9483,4.4871,2.0394,2.64,8.8667,5.237,2.6772,11.8447,7.6162,2.5518,6.6712,11.6764,5.327,6.1323,9.5298,3.408,,,,,,,,,5.94,3.1312,3.1188,1.7876,8.2696,6.0823,3.7274,5.6584,5.6296,5.3601,6.3974,3.404,2.9178,6.2667,1.4619,5.6249,4.2201,3.6562,5.418,13.8358,,,,,,,,,,,,,6.2373,7.8984,6.3019,5.5451,4.2985,10.8699,8.33,,,,,,,,
2014/1/6,7.53,10.8179,1.9761,5.5331,12.2266,4.9377,2.0297,2.64,8.9763,4.9848,2.7363,11.6354,7.7352,2.6058,6.7782,11.423,5.3869,6.0055,9.2323,3.3452,,,,,,,,,5.75,3.119,3.3516,1.7591,8.2696,5.7703,3.5769,5.517,5.3682,5.2729,6.5023,3.3509,2.7818,6.055,1.5658,5.6928,4.1963,3.3358,5.7324,13.4612,,,,,,,,,,,,,6.2527,7.8396,6.3052,5.448,4.1114,10.5664,8.18,,,,,,,,
2014/1/7,7.46,11.4794,1.9761,5.6565,12.2053,4.9499,2.0201,2.64,9.0659,5.0445,2.7363,12.2729,7.5468,2.5763,6.9158,11.5563,5.4202,6.1534,9.1653,3.3526,,,,,,,,,5.83,3.2041,3.33,1.7591,8.2696,5.7925,3.7039,5.5609,5.4229,5.4141,6.3509,3.404,2.843,6.1042,1.5901,5.7652,4.3788,3.3903,5.9812,13.3988,,,,,,,,,,,,,6.3876,8.0554,6.3019,5.4383,4.1301,10.6442,7.94,,,,,,,,
2014/1/8,7.44,11.8005,1.9848,5.9477,12.1788,5.1629,2.0297,2.64,9.5142,4.9715,2.7888,12.368,7.7253,2.596,7.0802,11.6297,5.3803,6.3435,9.4589,3.371,,,,,,,,,5.8,3.2376,3.4653,1.7686,8.2696,5.9684,3.8497,5.634,5.4108,5.4765,6.4906,3.7451,2.9994,6.311,1.6145,5.9281,4.8148,3.5299,6.5444,13.7996,,,,,,,,,,,,,6.4993,8.1732,6.3118,5.5937,4.0864,10.9516,8.28,,,,,,,,
2014/1/9,7.33,11.9561,2.0023,5.7926,12.667,4.9925,2.049,2.64,9.1954,4.852,2.628,12.1777,7.3286,2.6303,6.7629,11.523,5.2271,6.0337,9.4727,3.299,,,,,,,,,5.84,3.2072,3.4383,1.7876,8.2696,5.8297,3.6803,5.21,5.1311,5.4765,5.9238,3.4191,2.8158,5.9467,1.526,5.9915,4.6178,3.3903,6.0991,13.3955,,,,,,,,,,,,,6.218,7.8003,6.216,5.4966,4.0926,10.4108,8.11,,,,,,,,
2014/1/10,7.12,11.7421,2.0197,5.7261,12.7466,4.9194,2.0201,2.64,9.0659,4.7724,2.4607,12.1777,6.8526,2.6303,6.9694,11.3696,5.1006,5.9774,9.1042,3.1475,,,,,,,,,5.75,3.1707,3.3625,1.7876,8.2696,5.4879,3.5839,4.9273,5.0399,5.1108,5.9433,3.4798,2.741,5.9467,1.5496,5.5525,4.5248,3.4409,5.9376,13.1261,,,,,,,,,,,,,6.2258,7.2803,6.0971,5.2926,4.0178,10.0412,8.19,,,,,,,,
2014/1/13,7.42,11.8686,1.9848,5.6059,12.5396,4.9559,1.9816,2.64,9.0759,4.7856,2.4246,12.349,6.9022,2.6303,7.0458,11.423,5.1272,6.0689,8.6115,3.1106,,,,,,,,,5.83,3.1616,3.4545,1.7686,8.2696,5.5845,3.6215,4.9419,5.0946,4.8532,5.9083,3.6466,2.7206,5.9467,1.6064,5.4213,4.5248,3.518,6.0424,13.1688,,,,,,,,,,,,,6.4762,7.3097,6.1368,5.1664,4.0802,10.368,7.98,,,,,,,,
2014/1/14,7.39,12.3161,2.0458,5.761,12.5821,5.2482,2.0201,2.64,9.3947,4.925,2.5099,12.368,7.1006,2.6303,7.3517,11.743,5.3936,6.2872,8.7101,3.2251,,,,,,,,,5.78,3.1676,3.487,1.7876,8.2696,5.8049,3.7673,5.1076,5.2892,5.0277,6.3819,3.7338,2.9246,5.9467,1.6469,5.7471,4.8897,3.6828,6.2214,13.7044,,,,,,,,,,,,,6.7381,7.5354,6.15,5.312,4.1363,10.6831,7.59,,,,,,,,
2014/1/15,7.55,12.4523,2.0371,5.8401,12.598,5.4004,2.0105,2.64,9.7234,4.9383,2.5657,12.9103,7.2096,2.6303,7.3287,11.7897,5.3403,6.7166,8.7574,3.3008,,,,,,,,,5.76,3.2193,3.6278,1.7876,8.2696,5.9312,3.8802,5.3611,5.4229,5.1898,6.4634,4.109,3.1191,5.9467,1.6721,6.0051,4.9115,3.7068,6.8457,14.9989,,,,,,,,,,,,,6.7497,7.8592,6.1467,5.516,4.1363,10.9399,7.94,,,,,,,,
