ÈÕÆÚ,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH
2014/1/2,7.6877,6.9713,13.6018,1.9987,8.3654,7.2863,4.4467,15.276,,,,8.5569,4.985,2.4022,12.8595,8.5229,,,,,,,5.96,3.06,6.0043,4.4888,7.2399,3.2404,6.11,6.0001,,,,0.34
2014/1/3,7.9852,6.8327,13.7071,2.0072,8.2061,7.1046,4.4567,15.1234,,,,8.8734,4.9999,2.4277,12.8595,8.3638,,,,,,,6,3.06,5.9349,4.4292,7.2992,3.1778,5.92,5.7664,,,,0.334
2014/1/6,7.7136,6.5752,13.5252,1.9535,7.738,6.8884,4.5065,15.1898,,,,8.4851,4.7526,2.3309,12.8595,8.4132,,,,,,,5.78,3.06,5.6371,4.2703,6.9135,3.0237,5.51,5.5277,,,,0.321
2014/1/7,7.6877,6.6643,13.7358,1.9705,7.7978,6.8294,4.7305,15.3224,,,,8.8264,4.8187,2.3748,12.8595,8.638,,,,,,,5.97,3.06,5.6669,4.3001,6.963,3.0526,5.7,5.5618,,,,0.325
2014/1/8,8.0304,6.5752,13.5061,2.01,7.8277,6.8785,4.5114,15.9526,,,,9.7068,5.1129,2.4424,12.8595,8.8629,,,,,,,5.93,3.06,5.5577,4.2703,6.864,3.0333,5.6,5.5813,,,,0.322
2014/1/9,7.8946,6.2583,12.97,2.01,7.6185,6.9621,4.1728,16.5761,,,,9.5238,4.8976,2.3236,12.8595,8.309,,,,,,,5.76,3.06,5.389,4.1611,6.9036,2.9226,5.68,5.4157,,,,0.324
2014/1/10,7.83,6.0999,12.5297,2.0835,7.2799,6.5936,4.1728,16.5827,,,,9.5461,4.808,2.2487,12.8595,8.0896,,,,,,,5.81,3.06,4.9424,4.032,6.7552,2.8359,5.61,5.4742,,,,0.322
2014/1/13,7.0476,6.1296,12.5584,1.9902,7.031,6.4658,4.1728,16.5761,,,,9.9987,4.6908,2.225,12.8595,8.7477,,,,,,,5.67,3.06,4.9325,3.9922,6.5475,2.8552,5.43,5.479,,,,0.314
2014/1/14,6.983,6.3078,13.4295,1.9931,7.3895,6.5837,4.1728,16.4036,,,,10.0283,4.889,2.4478,12.8595,8.8629,,,,,,,5.76,3.06,4.992,4.0518,6.6563,2.9418,5.53,5.5569,,,,0.318
2014/1/15,7.3386,6.3772,14.1378,1.9733,7.3397,6.7311,4.1728,15.7138,,,,10.0135,4.9573,2.6835,12.8595,8.9561,,,,,,,5.84,3.06,4.9623,4.0618,6.6959,2.9563,5.4,5.8102,,,,0.316
2014/1/16,7.2933,6.3078,13.7836,1.962,7.2999,6.7115,4.1728,16.0521,,,,10.1619,4.9679,2.6049,12.8595,9.0987,,,,,,,5.81,3.06,4.9424,4.0419,6.7058,2.9611,5.63,5.9125,,,,0.32
2014/1/17,7.1705,6.4366,14.291,1.9818,7.2202,6.5199,4.1728,15.3158,,,,10.152,5.0106,2.6652,12.8595,9.4827,,,,,,,5.78,3.06,4.8531,4.0419,6.597,2.8937,5.39,5.854,,,,0.315
2014/1/20,7.1511,6.3772,14.358,1.9281,7.2202,6.3381,3.8342,14.8714,,,,10.152,5.2217,2.5848,12.8595,9.0494,,,,,,,5.85,3.06,4.6745,4.1213,6.6563,2.9322,5.31,5.6543,,,,0.314
2014/1/21,7.8688,6.4366,14.2431,1.9309,7.3198,6.6132,3.8691,14.8847,,,,10.152,5.2302,2.6469,12.8595,9.2907,,,,,,,5.87,3.06,4.6943,4.2008,6.8047,2.9996,5.37,5.7566,,,,0.318
2014/1/22,8.3408,6.6049,14.5398,1.9874,7.5787,6.7311,3.9985,15.0571,,,,10.152,5.3283,2.6853,12.8595,9.373,,,,,,,5.93,3.06,4.8332,4.2604,6.9036,3.0574,5.56,5.8589,,,,0.322
2014/1/23,8.7934,6.6544,14.1761,2.0072,7.5687,6.9817,4.2973,15.0637,,,,10.152,5.4477,2.6908,12.8595,9.3894,,,,,,,6.04,3.06,5.0218,4.2902,6.8838,3.0526,5.56,6.0537,,,,0.32
2014/1/24,8.955,6.6841,15.2194,2.0779,7.7679,7.6794,4.3123,16.1516,,,,10.152,5.7035,2.8132,12.8595,9.521,,,,,,,6.1,3.06,5.0417,4.3299,6.9531,3.12,5.69,6.3167,,,,0.323
2014/1/27,9.0843,6.8129,15.028,2.1316,7.6584,7.532,4.3272,16.0388,,,,10.152,5.5863,2.7949,12.8595,9.3401,,,,,,,6.09,3.06,5.0218,4.31,6.9728,3.1104,5.57,6.3849,,,,0.319
2014/1/28,8.8904,6.9317,14.9897,2.1401,7.5389,7.4141,4.4168,15.8531,,,,10.152,5.2217,2.6926,12.8595,9,,,,,,,6.02,3.06,5.0417,4.31,7.052,3.0574,5.6,6.3313,,,,0.319
2014/1/29,9.2912,6.9614,15.1812,2.2701,7.7878,7.5467,4.4118,15.1765,,,,10.152,5.6971,2.6652,12.8595,9.0933,,,,,,,6.08,3.06,5.0218,4.3299,7.0717,3.1344,5.53,6.4336,,,,0.316
2014/1/30,8.9356,6.8228,14.7408,2.2758,7.8476,7.3699,4.3471,15.4551,,,,10.152,5.5991,2.625,12.8595,8.8903,,,,,,,6.11,3.06,5.4089,4.3001,6.9926,3.1441,5.27,6.3605,,,,0.298
2014/2/7,9.44,7.506,15.4013,2.273,8.0268,7.4681,4.4816,15.8398,,,,10.152,5.7035,2.7273,12.8595,9.1371,,,,,,,6.14,3.06,5.3394,4.3696,7.1311,3.2356,5.36,6.7891,,,,0.307
2014/2/10,9.6663,8.0507,16.2436,2.321,8.236,8.0479,4.5612,16.3771,,,,10.152,5.8357,2.7821,12.8595,9.5265,,,,,,,6.34,3.06,5.4783,4.7569,7.3882,3.3656,5.52,7.3687,,,,0.307
2014/2/11,9.3042,8.2883,15.9661,2.2956,8.2161,8.1118,4.621,16.2113,,,,10.152,6.4199,2.6451,12.8595,9.4443,,,,,,,6.3,3.06,5.4783,5.0449,7.4674,3.3704,6.07,7.2372,,,,0.317
2014/2/12,9.0132,8.1992,16.0618,2.3012,8.5945,8.549,4.6558,15.8531,,,,10.152,6.7056,2.731,12.8595,9.9817,,,,,,,6.53,3.06,5.5081,5.035,7.5168,3.4185,6.68,7.2664,,,,0.332
2014/2/13,8.7287,8.2883,16.0713,2.4058,8.1762,8.7554,4.6758,15.4219,,,,10.152,6.7014,2.5921,12.8595,9.532,,,,,,,6.39,3.06,5.4089,5.3826,7.3981,3.3222,6.34,7.2226,,,,0.324
2014/2/14,9.0843,8.5656,16.3106,2.4341,8.3356,8.9421,4.6758,15.3622,,,,10.152,6.6331,2.6031,12.8595,9.6253,,,,,,,6.5,3.06,5.4089,5.323,7.6058,3.3944,6.49,7.3687,,,,0.324
2014/2/17,9.2783,9.0211,16.2724,2.4369,8.9032,9.1632,4.6758,16.722,,,,10.152,6.6523,2.7675,12.8595,9.9269,,,,,,,6.59,3.06,5.4883,5.3727,7.8036,3.4907,6.5,7.4369,,,,0.323
2014/2/18,8.9744,8.9023,15.8608,2.4115,9.0427,8.9323,4.6758,16.9409,,,,10.152,6.5734,2.7237,12.8595,10.064,,,,,,,6.91,3.06,5.5081,5.6408,7.7641,3.4474,7.15,7.3054,,,,0.333
2014/2/19,9.0649,8.6547,15.698,2.3549,8.8734,8.7456,4.8351,16.7817,,,,10.152,7.0788,2.868,12.8595,9.7624,,,,,,,7.08,3.06,5.5081,5.6011,7.8531,3.4089,6.94,7.3151,,,,0.329
2014/2/20,8.7934,8.526,15.162,2.3493,8.6244,8.4508,5.0642,16.3174,,,,10.152,6.6566,2.9538,12.8595,9.4223,,,,,,,7.36,3.06,5.2699,5.4918,7.5959,3.2933,6.67,7.0083,,,,0.327
2014/2/21,8.5477,8.4666,15.3152,2.273,8.714,8.6178,4.9795,16.2511,,,,10.152,6.7632,2.8844,12.8595,9.5265,,,,,,,7.19,3.06,5.1608,5.6011,7.5663,3.2789,6.83,6.945,,,,0.327
2014/2/24,8.677,8.8033,15.9373,2.2899,8.9032,8.5638,5.3032,16.9807,,,,10.152,6.6822,3.0598,12.8595,9.7624,,,,,,,7.3,3.06,5.0317,5.8891,7.9718,3.3511,6.61,7.0813,,,,0.32
2014/2/25,7.9916,8.8033,15.2194,2.1768,8.4252,8.3673,4.9496,15.3556,,,,10.152,6.0148,2.7566,12.8595,8.9013,,,,,,,7.69,3.06,4.9126,5.5911,7.4674,3.433,6.65,6.7794,,,,0.314
2014/2/26,8.1403,9.0607,14.9514,2.2419,8.5248,8.5196,5.4426,14.5795,,,,10.152,5.6971,2.7401,12.8595,8.9945,,,,,,,7.69,3.06,5.1508,5.3925,7.6553,3.4907,6.73,7.4563,,,,0.317
2014/2/27,7.5196,8.7637,14.4154,2.2051,8.3654,8.0135,5.9256,13.2595,,,,10.152,5.6289,2.5428,12.8595,8.8026,,,,,,,7.69,3.06,5.1111,5.4124,7.5564,3.4378,6.78,7.9726,,,,0.315
2014/2/28,7.649,8.5656,14.5494,2.2447,8.1663,7.8121,5.826,13.4585,,,,10.152,5.8187,2.7036,12.0943,8.841,,,,,,,7.69,3.06,5.1409,5.4322,7.7245,3.5244,6.64,8.7713,,,,0.315
2014/3/3,7.8365,8.6943,14.6068,2.2588,8.2957,8.2837,6.1646,13.1401,,,,10.152,5.8869,2.7401,12.4048,9.1975,,,,,,,7.69,3.06,5.1905,5.5018,7.9619,3.587,6.77,8.7421,,,,0.314
2014/3/4,7.8171,9.0409,14.8461,2.2503,8.2758,8.4606,6.0152,12.8019,,,,11.1684,5.6033,2.689,12.9871,9.1152,,,,,,,7.69,3.06,5.4089,5.75,8.0015,3.5293,7.13,9.6187,,,,0.322
2014/3/5,8.0434,9.4172,15.1907,2.2362,8.2061,8.6277,5.7912,13.0009,,,,12.2863,5.5436,2.7456,12.9261,9.0494,,,,,,,7.69,3.06,5.3195,5.7302,7.9124,3.4522,6.82,9.4775,,,,0.317
2014/3/6,8.8451,9.2093,15.296,2.2305,8.3455,8.3771,5.9903,13.0937,,,,12.2962,5.8741,2.9045,12.6765,9.3949,,,,,,,7.69,3.06,5.2997,5.6011,7.8036,3.5004,6.92,8.8346,,,,0.321
2014/3/7,8.8451,9.8133,14.492,2.2334,8.1862,9.2172,5.8061,12.7621,,,,11.7397,5.744,2.9794,12.3161,9.1646,,,,,,,7.69,3.06,5.2302,5.5613,7.8432,3.3944,6.67,8.9515,,,,0.316
2014/3/10,9.0326,9.2192,13.6496,2.1231,7.5687,9.1092,5.2285,11.4885,,,,11.0646,5.4605,2.7858,11.2847,8.7258,,,,,,,7.69,3.06,4.9623,5.1641,7.9817,3.2018,6.66,8.3866,,,,0.312
2014/3/11,9.3042,9.0904,13.6879,2.092,7.499,8.9372,5.1737,11.7804,,,,10.1396,5.211,2.6908,11.0296,8.7258,,,,,,,7.69,3.06,5.0119,5.1244,7.8927,3.2211,6.5,8.1479,,,,0.312
2014/3/12,8.9938,9.3083,13.5922,2.0948,7.5488,9.2222,5.0791,11.4752,,,,9.8132,5.2835,2.583,10.5915,8.3967,,,,,,,7.69,3.06,4.8729,4.9655,7.497,3.197,6.31,8.2356,,,,0.309
2014/3/13,9.7309,9.5756,14.0325,2.0892,7.6285,9.1386,5.2086,11.8931,,,,10.0011,5.3453,2.8406,10.9852,8.5009,,,,,,,7.69,3.06,4.9027,4.9853,7.6058,3.2548,6.36,8.4596,,,,0.313
2014/3/14,9.1555,9.2291,14.1282,2.092,7.6683,9.0797,5.0393,12.1054,,,,9.9418,5.2451,3.1256,10.647,8.3254,,,,,,,7.69,3.06,5.0417,5.1343,7.3784,3.2259,6.58,8.2453,,,,0.314
2014/3/17,9.427,9.6153,14.4058,2.2673,7.7679,9.3843,5.1438,12.9345,,,,10.4512,5.3304,3.2059,11.024,8.6216,,,,,,,7.69,3.06,5.0615,5.184,7.6058,3.2981,6.61,8.9856,,,,0.315
2014/3/18,9.1555,9.9717,14.0612,2.2956,7.7181,9.8658,5.099,13.034,,,,10.4414,5.486,3.1073,11.1017,8.6655,,,,,,,7.69,3.06,5.0913,5.1244,7.5959,3.2933,6.49,8.9223,,,,0.313
2014/3/19,8.9033,9.8232,13.6401,2.3295,7.5787,9.969,4.9944,13.0009,,,,9.8923,5.5223,3.0141,11.2847,8.7916,,,,,,,7.69,3.06,5.0317,5.5315,7.8432,3.303,6.55,9.0684,,,,0.313
2014/3/20,8.3666,9.2588,13.3529,2.3238,7.26,9.6693,4.7654,12.059,,,,9.3705,5.1577,2.9465,10.536,8.4242,,,,,,,7.69,3.06,4.9623,5.2435,7.6553,3.1778,6.42,8.3768,,,,0.31
2014/3/21,8.6317,9.4073,13.2955,2.5274,7.4492,10.3915,4.87,12.1983,,,,9.1504,5.1854,2.8972,10.6747,8.5777,,,,,,,7.69,3.06,5.1508,5.2932,7.8036,3.2741,6.48,8.669,,,,0.311
2014/3/24,8.5671,9.2291,13.1902,2.5274,7.499,10.8877,4.9496,11.787,,,,8.9031,5.0447,2.8406,10.6747,8.6655,,,,,,,7.69,3.06,5.1508,5.2833,7.8234,3.2981,6.79,8.7859,,,,0.317
2014/3/25,8.6964,8.7637,13.305,2.5274,7.5986,10.7551,4.9297,11.5084,,,,9.007,5.0852,3.1256,10.8688,8.7916,,,,,,,7.69,3.06,5.1508,5.2237,7.8432,3.2837,6.62,8.82,,,,0.317
2014/3/26,8.7611,8.9815,13.5252,2.5274,7.5986,10.8976,5.0542,11.8069,,,,9.3037,5.1577,3.1383,11.2348,8.7752,,,,,,,7.69,3.06,5.131,5.2535,7.863,3.2981,6.46,8.8687,,,,0.314
