ÈÕÆÚ,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH
2014/1/2,5.0733,25.6489,5.8187,6.2231,3.9359,4.5339,3.8319,21.7269,8.0088,4.4375,12.7487,10.7,21.4196,9.8513,9.1531,,,,,,,,,,,,9.1393,13.47,3.538,4.7368,6.5454,3.4676,,,,,,,,,,,
2014/1/3,5.0733,25.0546,5.799,6.2526,3.9629,4.5111,3.7779,21.3301,7.6228,4.4812,12.3952,10.5133,20.8762,9.34,9.083,,,,,,,,,,,,8.9227,13.68,3.5031,4.7672,6.5354,3.4388,,,,,,,,,,,
2014/1/6,5.0733,24.6634,5.6014,5.9875,3.8765,4.5035,3.7813,20.7348,6.8813,4.3302,11.8974,10.1477,18.7907,8.4228,8.9186,,,,,,,,,,,,8.6666,12.97,3.3899,4.7064,6.4756,3.6687,,,,,,,,,,,
2014/1/7,5.0733,24.807,5.631,6.3802,4.0385,4.7317,3.9163,20.6356,7.0468,4.4852,12.0268,10.2192,18.9925,8.7286,9.0951,,,,,,,,,,,,8.8537,13.16,3.4509,4.828,6.7546,3.5921,,,,,,,,,,,
2014/1/8,5.0733,24.7624,5.6211,6.39,3.9899,4.7165,3.9974,20.834,7.2,4.5448,12.5147,10.4298,19.5514,9.1871,9.4506,,,,,,,,,,,,9.1984,13.5,3.5206,4.7976,6.8144,3.525,,,,,,,,,,,
2014/1/9,5.0733,24.9605,6.0756,6.174,3.8549,4.4122,4.0176,20.4571,6.7588,4.3938,11.8825,9.9411,20.8607,9.3242,9.1652,,,,,,,,,,,,8.8734,13.83,3.416,4.6151,6.5155,3.5155,,,,,,,,,,,
2014/1/10,5.0733,23.663,6.0953,5.9974,3.7578,4.3133,3.8826,20.0503,6.722,4.2309,11.9372,9.4842,19.4065,8.834,9.2499,,,,,,,,,,,,8.6765,13.48,3.355,4.4935,5.8779,3.4292,,,,,,,,,,,
2014/1/13,5.0733,23.8165,5.7002,6.0562,3.9845,4.4198,3.842,20.2388,6.8568,4.2905,11.6983,9.4882,18.7958,8.5757,8.9476,,,,,,,,,,,,7.8098,13.84,3.3463,4.5163,6.0273,3.3047,,,,,,,,,,,
2014/1/14,5.0733,24.4653,5.799,6.5078,4.0493,4.61,4.021,20.6356,7.3777,4.5249,12.2957,9.6868,20.0275,9.4349,9.1169,,,,,,,,,,,,8.2628,14.3,3.4247,4.5771,6.2764,3.3526,,,,,,,,,,,
2014/1/15,5.0733,24.7426,5.8088,6.4979,4.0655,4.61,4.0379,20.9333,7.5554,4.6758,12.4251,9.802,19.8671,10.1464,9.6199,,,,,,,,,,,,8.2234,14.35,3.4683,4.8356,6.386,3.3909,,,,,,,,,,,
2014/1/16,5.0733,24.812,5.7496,6.5078,4.1465,4.6252,3.9096,20.7448,7.5064,4.5964,12.0268,9.6391,19.2202,10.4258,9.6368,,,,,,,,,,,,8.0166,13.94,3.4421,4.866,6.3262,3.5921,,,,,,,,,,,
2014/1/17,5.0733,23.5986,5.6211,6.7728,4.0925,4.7546,3.7914,20.6356,7.5615,4.7394,12.1762,9.5716,20.5554,10.0832,9.4554,,,,,,,,,,,,8.0068,14.01,3.477,4.9193,6.107,3.5825,,,,,,,,,,,
2014/1/20,5.0733,23.2222,5.631,6.6746,4.1411,4.7926,3.6901,20.0404,7.0223,4.7394,11.8875,9.3928,19.8826,9.9409,9.3031,,,,,,,,,,,,8.0757,14.33,3.4509,4.904,6.2266,3.6017,,,,,,,,,,,
2014/1/21,5.0733,22.4199,5.7002,6.8219,4.2005,4.8002,3.8488,20.586,7.727,4.7394,12.2309,9.6391,20.4829,10.9371,9.4627,,,,,,,,,,,,8.381,14.37,3.5206,5.0941,6.655,3.5825,,,,,,,,,,,
2014/1/22,5.0733,23.7175,5.8088,6.7335,4.1951,4.8382,4.0885,21.211,8.0272,4.7394,12.7735,9.7981,19.6911,10.8527,9.4603,,,,,,,,,,,,8.6863,15.36,3.5554,5.0789,6.6848,3.8124,,,,,,,,,,,
2014/1/23,5.0733,24.0691,5.8286,6.7139,4.2599,4.9752,4.1459,21.8261,8.0211,4.7394,12.8632,10.0126,19.5876,10.7051,9.6731,5.4645,,,,,,,,,,,9.1492,15.39,3.6861,5.1321,6.8442,3.9369,,,,,,,,,,,
2014/1/24,5.0733,24.1384,5.9471,6.9004,4.2059,5.036,4.1054,22.2428,8.3458,4.7394,12.9677,10.0921,19.9758,10.9634,9.8254,6.0108,,,,,,,,,,,9.484,16.07,3.7646,5.1093,7.0036,3.9273,,,,,,,,,,,
2014/1/27,5.0733,24.5396,5.8681,6.7924,4.1465,5.0132,4.2067,22.0345,7.9475,4.7394,13.3361,9.8855,20.545,11.1742,9.6731,6.6111,,,,,,,,,,,9.5628,15.74,3.7471,5.2994,7.2427,4.0231,,,,,,,,,,,
2014/1/28,5.0733,23.6333,5.8977,6.5568,4.2977,4.9219,4.1527,23.0067,7.8373,4.5646,13.0473,9.7226,19.2564,10.8106,9.5521,7.2732,,,,,,,,,,,9.5234,17.18,3.6338,5.193,7.173,4.0327,,,,,,,,,,,
2014/1/29,5.0733,23.3015,5.9965,6.6452,4.2761,5.0436,4.156,22.6397,7.9047,5.0215,13.3162,9.7742,19.1478,10.9054,9.6005,7.2732,,,,,,,,,,,9.6318,16.95,3.6687,5.2158,7.2328,4.0806,,,,,,,,,,,
2014/1/30,5.0733,22.93,5.9175,6.3115,4.2329,4.8915,4.0986,22.719,7.5921,5.375,13.7393,9.7186,18.6354,10.3151,9.3877,7.1824,,,,,,,,,,,9.7992,16.85,3.599,5.0257,7.1232,3.9561,,,,,,,,,,,
2014/2/7,5.0733,24.3662,6.0756,6.7041,4.3463,5.0588,4.3518,22.5206,8.352,5.7445,14.8344,9.9848,18.9615,10.7526,9.3829,7.6129,,,,,,,,,,,10.0552,17.33,3.6948,5.383,7.4021,4.1572,,,,,,,,,,,
2014/2/10,5.0733,25.8767,6.2731,7.0574,4.4272,5.249,4.47,24.604,9.1853,5.7564,15.0983,10.1557,19.3806,11.0636,9.5812,8.3734,,,,,,,,,,,10.1636,17.91,3.8256,5.6035,7.97,4.2339,27.0726,,,,,,,,,,
2014/2/11,5.0733,25.8866,6.3324,7.1458,4.4488,5.3479,4.3654,24.9016,9.4182,5.9352,14.5905,10.0126,19.0339,10.7368,9.141,8.6957,,,,,,,,,,,10.8628,17.58,3.7994,5.748,8.4881,4.2818,29.7808,,,,,,,,,,
