ÈÕÆÚ,000020.SZ,000021.SZ,000049.SZ,002045.SZ,002055.SZ,002139.SZ,002236.SZ,002241.SZ,002351.SZ,002369.SZ,002402.SZ,002415.SZ,002475.SZ,002547.SZ,002600.SZ,002635.SZ,002655.SZ,002660.SZ,002681.SZ,002782.SZ,002850.SZ,002855.SZ,002859.SZ,002861.SZ,002866.SZ,002881.SZ,002885.SZ,002888.SZ,002922.SZ,002925.SZ,002937.SZ,002947.SZ,200020.SZ,300083.SZ,300115.SZ,300131.SZ,300136.SZ,300207.SZ,300227.SZ,300256.SZ,300279.SZ,300322.SZ,300433.SZ,300543.SZ,300602.SZ,300647.SZ,300679.SZ,300686.SZ,300709.SZ,300735.SZ,300787.SZ,600203.SH,600478.SH,600745.SH,601138.SH,601231.SH,603327.SH,603380.SH,603629.SH,603633.SH,603890.SH,688036.SH
2014/1/2,6.62,5.1372,46.9176,5.3428,10.9825,2.6866,16.6192,18.0277,5.9823,8.8399,2.5124,9.2619,4.509,3.4865,2.1398,12.1397,7.4455,7.6214,4.8581,,,,,,,,,,,,,,3.58,4.5014,11.6562,2.2427,3.0851,4.4138,10.2763,4.4699,4.4145,8.5934,,,,,,,,,,8.1731,6.2781,15.8896,,10.9399,,,,,,
2014/1/3,6.59,5.0989,45.9901,5.3806,10.8939,2.8177,16.7007,18.3467,6.0659,8.8399,2.4995,9.4025,4.4349,3.5162,2.1447,12.5428,7.2596,7.4452,4.9719,,,,,,,,,,,,,,3.58,4.6426,11.7889,2.4673,3.0929,4.5235,10.7248,4.5097,4.8545,8.1582,,,,,,,,,,8.1929,6.3373,15.4499,,12.0358,,,,,,
2014/1/6,6.3,5.1372,45.3202,5.2861,10.5003,2.6168,16.2583,17.5782,5.6432,8.8399,2.4009,9.2418,4.362,3.4402,2.3586,12.3861,6.788,7.1465,4.6849,,,,,,,,,,,,,,3.49,4.5683,11.3336,2.6314,3.1053,4.4061,10.362,4.271,4.7172,7.857,,,,,,,,,,8.3613,6.3077,15.4898,,12.0358,,,,,,
2014/1/7,6.35,5.3769,49.8548,5.2861,10.7365,2.6866,16.0372,17.8875,5.7686,9.0276,2.4139,9.065,4.5955,3.5525,2.451,12.6772,7.4655,7.3073,4.8143,,,,,,,,,,,,,,3.54,4.7466,11.3064,2.5276,3.082,4.6004,10.1839,4.324,4.6292,8.3662,,,,,,,,,,8.609,6.4929,15.3699,,12.8955,,,,,,
2014/1/8,6.35,5.4727,49.4554,5.3144,11.0219,2.7172,15.8897,17.757,5.8708,9.1758,2.4087,8.84,4.6264,3.5327,2.4291,13.0228,8.2094,8.035,5.2958,,,,,,,,,,,,,,3.55,4.8258,11.5446,2.5469,3.0773,4.6178,10.5994,4.3373,4.6363,8.2978,,,,,,,,,,8.5496,6.5003,15.4898,,12.6168,,,,,,
2014/1/9,6.2,5.3098,49.1205,5.1348,10.766,2.4829,15.7927,17.1094,5.685,8.7214,2.4178,8.5989,4.4349,3.4204,2.4656,12.3829,8.3688,7.7975,5.4505,,,,,,,,,,,,,,3.55,4.5584,11.0652,2.4141,3.2623,4.6043,9.9597,4.1881,4.2842,8.6318,,,,,,,,,,8.0047,6.5941,15.4898,,12.8105,,,,,,
2014/1/10,6,5.4919,44.2059,4.9551,11.1006,2.243,15.5211,16.1669,5.3877,8.7412,2.4515,8.4582,4.5066,3.3972,2.4048,11.8709,8.5946,8.1346,5.7355,,,,,,,,,,,,,,3.53,4.6054,10.619,2.4383,3.1861,4.3484,9.986,4.0322,4.2103,8.8289,,,,,,,,,,8.7477,6.6089,15.4199,,11.9791,,,,,,
2014/1/13,6.03,5.6356,45.5392,4.9078,10.9825,2.2179,15.1719,15.7513,5.3227,9.3338,2.4074,8.4783,4.4843,3.4865,2.4559,11.5509,8.6145,8.2265,5.6422,,,,,,,,,,,,,,3.53,4.6054,10.3024,2.3731,3.1737,4.2272,10.0652,4.0223,4.2173,8.6756,,,,,,,,,,9.144,6.5373,13.8809,,12.0263,,,,,,
2014/1/14,6.16,5.6548,45.0883,5.0213,11.5533,2.3713,14.9856,15.7609,5.6293,9.4721,2.6486,8.6029,4.5646,3.5492,2.4924,12.0341,9.3983,8.5942,5.7443,,,,,,,,,,,,,,3.55,4.8035,10.8964,2.6097,3.211,4.3291,10.7907,4.0853,4.6398,8.8344,,,,,,,,,,9.2629,6.4311,12.4918,,12.4751,,,,,,
2014/1/15,6.18,5.7219,47.1366,5.0591,11.4746,2.469,15.2766,16.1476,5.5642,9.6202,2.8523,9.0168,4.9698,3.5658,2.5288,12.962,9.0994,9.452,5.5595,,,,,,,,,,,,,,3.52,4.8506,11.2823,2.7618,3.1504,4.4061,11.048,4.2179,5.1045,8.7988,,,,,,,,,,9.1143,6.3299,12.4918,,12.8719,,,,,,
