ÈÕÆÚ,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH
2014/1/2,6.231,4.9522,5.0937,4.9131,7.4413,,,,,,6.0065,,,,
2014/1/3,6.221,4.8573,5.0937,4.669,7.4611,,,,,,6.0537,,,,
2014/1/6,6.0717,4.794,5.0937,4.5079,7.2137,,,,,,5.8176,,,,
2014/1/7,6.0916,4.776,5.0937,4.5125,7.4512,,,,,,5.8271,,,,
2014/1/8,6.0618,4.7534,5.0937,4.4987,7.471,,,,,,5.8649,,,,
2014/1/9,5.8527,4.7172,5.0937,4.3789,7.1346,,,,,,5.8838,,,,
2014/1/10,5.7134,4.7263,5.0937,4.3651,7.0158,,,,,,5.8365,,,,
2014/1/13,5.7432,4.6404,5.0937,4.4066,6.8773,,,,,,5.7988,,,,
2014/1/14,5.7731,4.7263,5.0937,4.5585,7.0653,,,,,,5.846,,,,
2014/1/15,5.7632,4.8166,5.0937,4.5585,7.0752,,,,,,5.8743,,,,
2014/1/16,5.8826,4.8799,5.0937,4.5171,7.2038,,,,,,5.846,,,,
2014/1/17,5.8428,4.8031,5.0937,4.5723,7.1939,,,,,,5.7232,,,,
2014/1/20,5.8229,4.7443,5.0937,4.4894,7.2038,,,,,,5.6949,,,,
2014/1/21,5.8428,4.785,5.0937,4.494,7.3325,,,,,,5.9971,,,,
2014/1/22,5.9622,4.8528,5.0937,4.6092,7.4413,,,,,,6.2615,,,,
2014/1/23,6.012,4.8347,5.0937,4.6736,7.4512,,,,,,6.3276,,,,
2014/1/24,6.1613,4.9386,5.0937,4.7151,7.5205,,,,,,6.3654,,,,
2014/1/27,6.231,4.8799,5.6037,4.6506,7.5304,,,,,,6.3087,,,,
2014/1/28,6.5495,4.8031,6.1652,4.646,7.5996,,,,,,6.2993,,,,
2014/1/29,6.6689,4.9703,6.784,4.692,7.5996,,,,,,6.356,,,,
2014/1/30,6.6988,4.9522,7.4601,4.6828,7.4809,,,,,,6.1954,,,,
2014/2/7,6.7287,5.1736,7.9528,4.7657,7.6788,,,,,,6.5165,,,,
2014/2/10,6.8083,5.5125,8.1362,5.1157,7.9064,,,,,,7.1682,,,,
2014/2/11,6.8381,5.5215,7.9643,5.1847,7.847,,,,,,7.4609,,,,
2014/2/12,6.9377,5.7474,7.9872,5.3321,8.3418,,,,,,7.6404,,,,
2014/2/13,6.8581,5.6254,7.6205,5.3091,8.0746,,,,,,7.4893,,,,
2014/2/14,6.868,5.6525,7.7638,5.3183,8.4111,,,,,,7.6404,,,,
2014/2/17,6.9178,5.8288,7.9987,5.8524,9.0246,,,,,,7.7537,,,,
2014/2/18,7.1467,5.7429,8.8008,5.9905,8.9553,,,,,,7.6309,,,,
2014/2/19,6.9875,5.7158,8.2966,5.9905,8.8069,,,,,,7.3854,,,,
2014/2/20,6.6888,5.7791,8.0789,6.5569,8.4408,,,,,,7.4232,,,,
2014/2/21,6.7884,5.8468,8.0789,6.1747,8.6288,,,,,,7.4137,,,,
2014/2/24,6.7685,5.9824,7.5976,6.2484,9.084,,,,,,7.3948,,,,
2014/2/25,6.3902,5.4899,6.9158,5.6222,8.7475,,,,,,7.0454,,,,
2014/2/26,6.649,5.6616,7.2767,5.9215,8.51,,,,,,7.2721,,,,
2014/2/27,6.5694,5.6706,7.3569,6.5155,8.8465,,,,,,7.2626,,,,
2014/2/28,6.6391,5.8785,7.2137,6.5707,8.8168,,,,,,7.4326,,,,
