ÈÕÆÚ,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH
2014/1/2,20.3439,2.8419,7.1521,5.8965,3.0091,2.9136,7.7315,12.1316,6.5956,6.6593,7.0345,3.6367,,3.6372,6.1852,2.8502,13.628,2.2801,16.8396,5.9505,,,,,,,,,4.8381,13.349,7.1951,5.0085,8.6847,5.4939,3.3826,,,,,,,,
2014/1/3,20.5255,2.8022,7.1919,6.0779,3.0526,3.009,7.6052,11.9713,6.7423,7.1762,7.0345,3.5851,,3.7712,6.5815,2.7978,13.4138,2.316,16.4676,6.1569,,,,,,,,,4.8857,13.3945,6.955,4.897,8.5823,5.7156,3.3521,,,,,,,,
2014/1/6,19.7797,2.7425,7.0128,5.6867,3.0843,3.3094,7.7315,11.7132,6.2596,6.944,7.0345,3.4518,,3.6946,6.3689,2.8118,12.7782,2.1807,15.6575,5.8473,,,,,,,,,4.7714,13.4672,6.8349,4.7187,8.1683,5.7182,3.2807,,,,,,,,
2014/1/7,21.4334,2.7525,7.0427,6.18,3.1436,3.3857,7.5275,12.0871,6.624,7.6331,7.0345,3.5679,,3.9196,7.0067,3.0598,13.0389,2.3,15.8088,5.9267,,,,,,,,,4.8857,14.0947,6.8029,4.7187,8.1906,5.6087,3.3555,,,,,,,,
2014/1/8,21.5955,2.6928,7.1919,6.2367,3.1554,3.2617,8.0423,12.4253,6.6382,7.6856,7.0345,3.5507,,3.8956,6.997,3.0738,13.8469,2.3359,16.723,5.9942,,,,,,,,,4.8762,14.2038,6.8989,4.7261,8.3152,5.4861,3.3826,,,,,,,,
2014/1/9,21.0767,2.6432,7.0327,6.3047,3.0447,3.1091,8.1589,12.096,6.5814,7.341,7.0345,3.3551,,3.7233,6.7361,3.0144,13.5605,2.2563,15.068,5.3947,,,,,,,,,4.7714,14.0128,6.7869,4.6518,8.0169,5.2982,3.3826,,,,,,,,
2014/1/10,20.506,2.5935,6.794,6.1403,3.1831,3.0281,8.1783,11.9179,6.2691,7.4159,7.0345,3.3422,,3.7568,6.4268,2.9899,13.8306,2.2762,14.9892,5.363,,,,,,,,,4.6952,13.54,6.5788,4.5032,7.9057,5.0452,3.369,,,,,,,,
2014/1/13,21.0508,2.5935,6.794,6.4011,3.2108,3.1473,8.6834,11.8734,6.4111,7.7155,7.0345,3.3573,,3.8813,6.6588,3.0668,14.0821,2.3916,15.1815,5.4146,,,,,,,,,4.5809,13.6309,6.2907,4.5255,8.0392,5.0713,3.3249,,,,,,,,
2014/1/14,21.401,2.6531,6.9631,6.4068,3.2266,3.2188,8.9748,12.3719,6.676,7.9403,7.0345,3.4368,,3.9243,6.8617,3.1785,14.3196,2.4433,15.585,5.5932,,,,,,,,,4.8095,13.6491,6.4828,4.5775,8.1817,5.113,3.3419,,,,,,,,
2014/1/15,22.043,2.6531,7.1123,6.4635,3.278,3.2665,8.8582,12.4787,6.6334,7.9103,7.0345,3.4927,,3.9435,6.8328,3.1436,14.436,2.4115,15.8403,5.6091,,,,,,,,,4.8381,13.7946,6.6668,4.6741,8.1638,5.2722,3.5287,,,,,,,,
2014/1/16,22.0884,2.6531,7.1023,6.3784,3.2385,3.1473,8.5765,11.2682,6.9173,7.7605,7.0345,3.512,,4.1254,6.2432,3.0563,14.5291,2.4194,17.0477,5.5972,,,,,,,,,4.7809,13.5127,6.6108,4.6592,8.146,5.2748,3.5287,,,,,,,,
2014/1/17,21.8484,2.6233,7.2913,6.2027,3.2424,3.0615,8.5765,10.7787,6.922,7.4983,7.0345,3.4583,,4.0201,6.3689,3.0598,14.0867,2.3796,16.2785,5.5892,,,,,,,,,4.7238,13.0308,6.5388,4.5626,8.0036,5.1391,3.5049,,,,,,,,
2014/1/20,21.8873,2.6034,7.2217,6.1006,3.112,3.0996,8.1103,10.8054,6.9552,7.3335,7.0345,3.3702,,4.0296,6.0499,2.9725,13.8539,2.3359,15.7268,5.359,,,,,,,,,4.7619,12.8216,6.2667,4.6295,7.8389,4.9878,3.5389,,,,,,,,
2014/1/21,21.2713,2.6432,7.4008,6.3501,3.3611,3.3237,8.4503,10.7342,6.9504,7.4609,7.0345,3.5099,,4.1828,6.1756,3.0423,14.599,2.3836,15.5409,5.5456,13.8059,,,,,,,,4.7619,12.9216,6.4988,4.6964,7.9057,5.0687,3.6136,,,,,,,,
2014/1/22,22.3154,2.7127,7.4107,6.6392,3.4204,3.2999,8.4988,10.9122,7.1586,7.6032,7.0345,3.5615,,4.2402,6.2336,3.0947,14.7294,2.4274,15.8656,5.7957,12.8412,,,,,,,,4.8286,13.2945,6.4508,4.8747,8.1906,5.2695,3.7664,,,,,,,,
2014/1/23,21.9717,2.7127,8.0573,6.6676,3.456,3.4668,8.6834,11.1525,7.135,7.7155,7.0345,3.5679,,4.3216,6.5042,3.1261,14.7224,2.4712,16.0011,5.879,13.0037,,,,,,,,4.8667,13.2217,6.4267,4.9044,8.0882,5.7965,3.763,,,,,,,,
