ÈÕÆÚ,000803.SZ,002074.SZ,002129.SZ,002202.SZ,002218.SZ,002227.SZ,002255.SZ,002266.SZ,002309.SZ,002335.SZ,002364.SZ,002506.SZ,002518.SZ,002531.SZ,002534.SZ,002580.SZ,002617.SZ,002630.SZ,002665.SZ,002733.SZ,002851.SZ,300011.SZ,300029.SZ,300068.SZ,300105.SZ,300111.SZ,300116.SZ,300118.SZ,300129.SZ,300141.SZ,300153.SZ,300185.SZ,300274.SZ,300316.SZ,300317.SZ,300376.SZ,300393.SZ,300443.SZ,300491.SZ,300569.SZ,300593.SZ,300693.SZ,300713.SZ,300750.SZ,300763.SZ,300772.SZ,600151.SH,600202.SH,600207.SH,600241.SH,600290.SH,600405.SH,600416.SH,600438.SH,600475.SH,600537.SH,600847.SH,600875.SH,601012.SH,601218.SH,601558.SH,601615.SH,601727.SH,601908.SH,603105.SH,603218.SH,603396.SH,603507.SH,603628.SH,603806.SH
2014/1/2,7.73,4.807,8.1606,5.3063,3.3378,14.5784,7.3318,7.0331,17.0785,12.422,6.1502,1.501,6.4976,2.5488,6.0479,4.7498,2.4105,4.4426,3.9135,,,8.5921,8.59,7.8482,11.4853,3.7,1.3287,6.3228,3.5588,6.0721,4.4057,1.487,8.3675,3.7975,4.6938,,,,,,,,,,,,8.3645,5.1445,5.2,6.2386,7.6816,5.585,6.7805,4.0379,11.5223,5.2277,15.97,11.9484,2.8948,3.8954,2.7302,,3.4949,3.9243,,,,,,
2014/1/3,7.7,4.7217,7.945,5.3439,3.3965,14.8157,7.228,7.0331,17.2922,12.7498,6.4253,1.4819,6.873,2.612,6.0277,4.6947,2.5233,4.3776,3.9135,,,8.5261,8.85,7.7442,11.6284,3.7,1.3287,6.3228,3.6242,6.0721,4.3866,1.4745,9.2046,3.8065,4.7887,,,,,,,,,,,,8.2165,5.0446,5.01,6.2088,7.6421,5.4682,6.544,3.9373,11.4186,5.4018,15.6,11.5927,2.8948,3.8261,2.7103,,3.4379,4.0049,,,,,,
2014/1/6,7.45,4.5683,7.6576,5.1121,3.3427,14.5981,6.961,7.0331,16.5442,12.36,6.1309,1.418,7.2999,2.4488,5.856,4.5708,2.3541,4.1911,3.9135,,,8.3171,8.65,7.3565,11.0288,3.61,1.3287,6.3907,3.5868,6.0721,4.2528,1.3781,8.8347,3.6711,4.8143,,,,,,,,,,,,7.8713,4.8548,4.85,6.0896,7.2965,5.141,6.2779,4.0242,11.0791,5.3218,15.28,11.2082,2.8948,3.717,2.6037,,3.3429,3.9006,,,,,,
2014/1/7,7.44,4.6877,7.7699,5.2625,3.4259,14.6773,6.8918,7.0331,16.6316,12.6878,6.2371,1.4052,7.7131,2.4962,5.745,4.5708,2.2568,4.1962,3.9135,,,8.9387,8.95,7.6118,10.8913,3.62,1.3287,6.4198,3.8487,5.8129,4.4678,1.3905,9.0453,3.6033,4.8691,,,,,,,,,,,,7.8516,4.8648,4.83,6.1194,7.3854,5.1644,6.3173,3.9602,11.1828,5.2841,15.29,11.2467,2.8948,3.6972,2.617,,3.3429,3.9196,,,,,,
2014/1/8,7.43,4.7132,7.7878,5.2875,3.421,15.3597,6.8423,7.0331,16.4179,12.5992,6.266,1.3861,7.7063,2.4804,5.7046,4.6981,2.3521,4.2458,3.9135,,,8.9002,8.93,7.7253,11.3478,3.74,1.3287,6.575,3.9376,5.8323,4.5012,1.4123,9.1047,3.662,5.0152,,,,,,,,,,,,7.822,4.8049,4.82,6.0896,7.2768,5.1469,6.1301,4.1568,11.4374,5.3594,15.29,11.0064,2.8948,3.5981,2.617,,3.3429,4.0238,,,,,,
2014/1/9,7.31,4.5513,7.8103,5.3063,3.2644,14.7119,6.6841,7.0331,16.3305,12.1916,6.1791,1.3158,7.8164,2.5014,5.7551,4.5605,2.2724,4.0542,3.9135,,,8.7351,8.56,7.4511,10.9463,3.61,1.3287,6.575,4.1527,5.5731,4.3053,1.3625,8.8401,3.5379,4.7449,,,,,,,,,,,,7.7924,4.665,4.71,6.0499,7.2472,5.0183,6.1202,4.1568,11.296,5.3688,15.28,10.7949,2.8948,3.5089,2.617,,3.3334,3.8959,,,,,,
2014/1/10,6.99,4.4575,7.725,5.1622,3.235,13.7773,6.5803,7.0331,16.1168,11.9878,6.1067,1.3797,7.9025,2.433,5.5481,4.4985,2.1556,4.0166,3.9135,,,8.9002,8.22,7.5551,10.3852,3.49,1.3287,6.4004,4.3397,5.2685,4.1237,1.3439,8.3432,3.443,4.7997,,,,,,,,,,,,7.5754,4.5452,4.77,5.8114,7.1978,5.03,6.0217,4.1202,11.1545,5.0771,14.87,10.8045,2.8948,3.4197,2.617,,3.3334,3.6684,,,,,,
2014/1/13,6.91,4.4575,7.4151,4.9806,3.2693,13.2877,6.6841,7.0331,15.5922,12.1385,5.9474,1.3925,7.937,2.3434,5.6238,4.5226,2.1907,3.9944,3.9135,,,8.8066,7.98,7.7064,10.1762,3.52,1.3287,6.1677,4.2088,5.1843,4.205,1.3781,8.1731,3.1834,4.7376,,,,,,,,,,,,7.457,4.5951,4.72,5.7816,7.1978,5.1469,6.002,3.9876,10.5794,5.0348,14.99,10.6507,2.8028,3.4197,2.3573,,3.3429,3.5452,,,,,,
2014/1/14,7.08,4.5513,7.4779,5.2875,3.3916,13.6289,6.7237,7.0331,15.4076,12.608,6.1164,1.3541,7.9921,2.404,5.7096,4.6259,2.2782,4.1791,3.9135,,,9.0707,8.19,7.8955,10.4402,3.71,1.3287,6.4392,4.1433,5.3398,4.4105,1.3999,8.3027,3.2963,4.8216,,,,,,,,,,,,7.5655,4.675,4.79,5.9605,7.2768,5.2812,6.1202,4.0699,10.7491,5.1571,15.28,10.7468,2.8817,3.5089,2.3174,,3.3904,3.6115,,,,,,
2014/1/15,7.1,4.5683,7.9495,5.4379,3.4601,14.0393,6.7089,7.0331,16.2139,12.7144,6.324,1.3669,8.3157,2.5541,5.7753,4.7498,2.3152,4.1672,3.9135,,,8.9882,8.35,7.9333,10.5502,3.72,1.3287,6.701,4.5595,5.6379,4.5156,1.403,9.1344,3.3324,5.0956,,,,,,,,,,,,7.7233,4.6151,4.83,6.0499,7.4052,5.3981,6.2878,4.2162,10.8151,5.3124,15.19,10.843,3.1146,3.5386,2.4173,,3.3904,3.6636,,,,,,
