ÈÕÆÚ,000533.SZ,000585.SZ,000806.SZ,002028.SZ,002112.SZ,002270.SZ,002276.SZ,002300.SZ,002346.SZ,002350.SZ,002358.SZ,002441.SZ,002451.SZ,002452.SZ,002471.SZ,002498.SZ,002533.SZ,002560.SZ,002606.SZ,002622.SZ,002692.SZ,002706.SZ,002879.SZ,002882.SZ,002927.SZ,002953.SZ,300001.SZ,300062.SZ,300069.SZ,300215.SZ,300265.SZ,300283.SZ,300423.SZ,300444.SZ,300447.SZ,300477.SZ,300510.SZ,300617.SZ,300670.SZ,600089.SH,600112.SH,600192.SH,600312.SH,600379.SH,600468.SH,600517.SH,600550.SH,600577.SH,600869.SH,600885.SH,600973.SH,601179.SH,601616.SH,601700.SH,601877.SH,603016.SH,603333.SH,603530.SH,603577.SH,603606.SH,603618.SH,603829.SH,603861.SH,603897.SH
2014/1/2,4.0029,2.33,3.02,8.7027,7.2732,5.8985,4.6043,3.3818,5.9973,4.8347,10.625,6.9178,5.06,4.443,3.7923,2.272,3.6095,6.2264,5.9511,2.4829,4.0019,,,,,,5.2295,5.0903,11.1378,11.9183,5.2199,3.0733,,,,,,,,8.6223,12.89,6.8216,8.9631,5.7233,4.6069,7.7359,5.3,1.8084,3.6052,12.3194,3.4556,2.9883,3.7483,4.5506,15.9323,,4.8759,,,,,,,
2014/1/3,3.945,2.32,2.97,8.821,7.1535,5.7955,4.5165,3.3818,5.9973,4.8798,10.5864,6.812,4.9562,4.5668,3.6869,2.2601,3.5586,6.0629,6.0197,2.4425,4.0108,,,,,,5.1421,5.0903,11.4659,12.1893,5.1846,3.0139,,,,,,,,8.767,12.91,6.7027,8.9369,5.7233,4.7547,7.6895,5.2,1.7808,3.5856,12.1073,3.4468,2.952,3.6909,4.5962,15.5577,,4.8162,,,,,,,
2014/1/6,3.8582,2.25,2.82,8.6971,6.8742,5.3576,4.4092,3.3083,5.9973,4.6792,9.979,6.5588,4.6544,4.3507,3.4525,2.1473,3.5303,5.7199,5.9805,2.3056,3.7587,,,,,,4.8641,5.0903,10.8394,11.7615,4.9096,2.8643,,,,,,,,8.5018,12.89,6.5839,8.9457,5.5759,4.6641,7.5193,4.96,1.8823,3.5365,11.8609,3.4468,2.8611,3.6049,4.6278,15.8225,,4.7167,,,,,,,
2014/1/7,3.8775,2.26,2.83,8.7253,6.934,5.5057,4.4482,3.3385,5.9973,4.8798,10.7021,6.6509,4.7435,4.4721,3.4916,2.2096,3.6831,5.7519,6.0932,2.3582,3.7764,,,,,,4.9964,5.0903,11.7543,12.0087,5.0589,2.9303,,,,,,,,8.8473,12.83,6.7225,9.365,5.5759,4.707,7.9989,4.98,1.8546,3.5659,11.9088,3.3716,2.9338,3.6527,4.6944,16.4037,,4.7466,,,,,,,
2014/1/8,3.8389,2.23,2.82,9.1534,7.0338,5.3963,4.4189,3.4337,5.9973,5.0102,10.9624,6.6233,4.6347,4.5523,3.4213,2.174,3.6887,5.8289,6.0883,2.3793,3.7278,,,,,,5.1578,5.0903,12.9277,12.6885,5.1649,2.9875,,,,,,,,8.8232,12.94,6.7324,9.2776,5.5548,4.6975,8.0299,4.94,1.8177,3.5709,12.4084,3.4644,2.9247,3.6527,4.7224,16.9914,,4.7764,,,,,,,
2014/1/9,3.7618,2.18,2.75,8.9618,7.0637,5.1516,4.2823,3.3601,5.9973,4.935,10.4756,6.4069,4.4022,4.3482,3.4369,2.168,3.6039,5.4698,6.0883,2.3266,3.4315,,,,,,4.9762,5.0903,12.7289,12.4033,5.0314,2.8819,,,,,,,,8.8071,12.94,6.8315,9.2514,5.3863,4.5067,8.262,4.73,1.7854,3.5463,12.2852,3.3274,2.8975,3.5379,4.9012,16.6685,,4.6471,,,,,,,
2014/1/10,3.7425,2.11,2.72,8.8436,6.5449,5.0228,4.3311,3.4293,5.9973,5.0854,10.3165,6.1538,4.3774,4.2851,3.6283,2.3848,3.5077,5.4538,6.0883,2.2476,3.4448,,,,,,4.7431,5.0903,12.6692,11.8518,5.1296,2.7609,,,,,,,,8.3973,12.87,6.7126,8.9107,5.0632,4.9598,8.1433,4.6,1.7623,3.674,11.635,3.6589,2.8884,3.4997,4.8311,16.3715,,4.7665,,,,,,,
2014/1/13,3.81,2.1,2.75,8.8999,6.4751,5.0936,4.3604,3.4596,5.9973,5.1205,9.7669,6.163,4.3725,4.3239,3.5775,2.5155,3.5246,5.6237,6.1423,2.3354,3.3917,,,,,,4.7274,5.0903,13.0869,11.828,5.3456,2.7609,,,,,,,,8.1884,12.94,6.6433,9.1466,5.0983,4.8596,8.2517,4.58,1.7346,3.453,11.4502,3.4689,2.8884,3.4136,4.796,16.0356,,4.7665,,,,,,,
2014/1/14,3.8389,2.15,2.8,9.052,6.6746,5.6023,4.3799,3.4769,5.9973,5.1556,10.302,6.3149,4.4912,4.3239,3.6556,2.5541,3.5642,5.7712,6.2158,2.3793,3.4536,,,,,,4.9426,5.0903,13.067,12.3985,5.3378,2.8863,,,,,,,,8.0678,12.85,6.6928,9.496,5.2388,4.8644,8.2104,4.64,1.7623,3.394,11.6624,3.5086,2.9156,3.4519,4.747,16.2681,,4.8262,,,,,,,
2014/1/15,3.8196,2.15,2.8,9.4575,6.6846,5.6667,4.3701,3.5547,5.9973,5.1105,10.5189,6.3839,4.6149,4.2705,3.7572,2.5809,3.5699,5.7712,6.1276,2.4057,3.489,,,,,,4.8977,5.0903,13.3752,12.3652,5.4595,2.9721,,,,,,,,8.1482,12.68,6.6433,9.4523,5.2669,4.936,8.4322,4.63,1.7946,3.4088,11.813,3.6191,2.9065,3.4614,4.7014,16.3521,,4.8262,,,,,,,
