ÈÕÆÚ,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH
2014/1/2,2.1495,7.3904,10.6498,6.4096,5.6899,8.3789,7.5306,,,0.8759
2014/1/3,2.1197,7.2918,10.4202,6.2619,5.6799,8.2008,7.5405,,,0.8578
2014/1/6,2.05,7.1539,10.0909,5.9567,5.5501,8.2102,7.2247,,,0.8523
2014/1/7,2.04,7.1933,10.0809,5.9567,5.5501,8.2008,7.1753,,,0.8541
2014/1/8,2.04,7.1539,10.001,5.9567,5.5102,8.3695,7.1062,,,0.8686
2014/1/9,1.9903,7.1144,9.7914,5.868,5.4203,8.9225,6.9582,,,0.8813
2014/1/10,1.9505,6.7499,9.5918,5.6613,5.1908,8.5757,6.7213,,,0.8487
2014/1/13,1.9604,6.7006,9.7814,5.6514,5.1708,8.0883,6.7904,,,0.8297
2014/1/14,1.9704,6.7203,9.8513,5.7499,5.2806,8.2196,6.899,,,0.8415
2014/1/15,1.9405,6.6809,9.9212,5.7893,5.2706,8.2008,6.8792,,,0.8541
2014/1/16,1.9505,6.7597,10.3703,5.7499,5.3205,7.7041,6.9779,,,0.8433
2014/1/17,1.9206,6.6612,10.0709,5.7105,5.2307,7.3948,6.8891,,,0.8342
2014/1/20,1.9007,6.602,9.8912,5.6317,5.2107,7.4698,6.7213,,,0.8288
2014/1/21,1.9107,6.6415,9.9811,5.6514,5.3006,7.4042,6.7904,,,0.836
2014/1/22,1.9505,6.7794,10.2106,5.7597,5.4104,7.6104,6.9483,,,0.8478
2014/1/23,1.9405,6.7696,10.1108,5.8582,5.3904,7.5073,6.9878,,,0.8415
2014/1/24,1.9505,6.8977,10.3504,5.9763,5.4802,7.5541,7.047,,,0.8469
2014/1/27,1.9206,6.7893,10.2705,5.937,5.7398,7.376,6.8299,,,0.8333
2014/1/28,1.9405,6.7499,10.2805,5.9173,5.6599,7.2917,6.9089,,,0.8306
2014/1/29,1.9405,6.7597,10.2705,5.9763,5.7398,7.3292,6.9286,,,0.8396
2014/1/30,1.9107,6.6809,10.1607,6.1142,5.8995,7.4323,6.899,,,0.8315
2014/2/7,1.9206,6.7597,11.1788,6.1536,5.8196,7.5635,6.899,,,0.8324
2014/2/10,1.9604,6.9272,12.2967,6.252,5.8596,7.676,7.0964,,,0.8351
2014/2/11,2.0002,7.0159,12.2867,6.1733,5.8097,7.601,7.1951,,,0.8306
2014/2/12,1.9903,7.0258,12.2268,6.1634,5.9893,7.6385,7.2543,,,0.8351
2014/2/13,1.9903,6.9765,11.8874,6.1043,5.8596,7.5354,7.1852,,,0.8261
2014/2/14,2.0102,7.0258,12.0771,6.1536,5.9993,7.6197,7.4418,,,0.807
2014/2/17,2.0201,7.1243,12.2168,6.1831,6.0392,7.8634,7.4517,,,0.8088
2014/2/18,1.9903,7.0159,12.3665,6.065,6.1391,7.8447,7.3431,,,0.798
2014/2/19,2.0002,7.0947,12.3665,6.0846,6.0792,7.8259,7.4023,,,0.7989
2014/2/20,2.0102,7.0356,12.097,6.1536,5.8695,7.9759,7.274,,,0.8088
2014/2/21,1.9803,7.0258,11.9673,6.2126,5.9294,7.8634,7.126,,,0.8097
2014/2/24,1.9405,6.7991,11.6978,6.1831,5.9195,7.4885,7.0668,,,0.7817
2014/2/25,1.9206,6.6119,10.9592,6.0945,5.7997,7.0855,6.8299,,,0.7563
2014/2/26,1.9306,6.7499,11.5381,5.9862,5.7797,6.973,6.9187,,,0.7491
2014/2/27,1.9306,6.6119,11.8675,5.9567,5.8596,6.8793,6.8398,,,0.7418
2014/2/28,1.9306,6.74,12.3965,6.5572,5.8795,6.9918,6.9483,,,0.7427
2014/3/3,1.9405,6.7991,12.4264,7.0397,6.1291,7.1699,7.0174,,,0.7518
2014/3/4,1.9206,6.8878,13.3247,6.8625,6.159,7.0761,7.1852,,,0.7436
2014/3/5,1.9107,6.7696,13.0452,6.7246,6.0892,7.2542,7.0964,,,0.7735
2014/3/6,1.9306,6.7893,12.5761,6.7345,6.2888,7.2448,7.0766,,,0.7726
2014/3/7,1.9903,6.7499,12.656,6.6655,6.3287,7.273,7.1161,,,0.769
2014/3/10,1.9007,6.3754,11.9773,6.5376,6.0392,7.0105,6.82,,,0.7518
2014/3/11,1.9007,6.3557,11.8775,6.5868,6.6482,6.9449,6.8299,,,0.7482
2014/3/12,1.8908,6.3656,12.107,6.8034,7.317,7.0012,6.9286,,,0.75
2014/3/13,1.8908,6.4148,12.0771,6.892,7.9858,7.0574,7.0668,,,0.7545
2014/3/14,1.8709,6.3261,11.8575,6.7345,7.4467,7.0105,7.0174,,,0.7427
2014/3/17,1.9007,6.4247,12.3466,7.0791,8.1954,7.2448,7.1951,,,0.7545
2014/3/18,1.9007,6.3951,12.3266,6.9314,8.1056,7.3573,7.1753,,,0.759
2014/3/19,1.9107,6.405,12.4164,6.7542,8.9141,7.4698,7.1852,,,0.7545
2014/3/20,1.8808,6.3853,11.7377,6.6459,9.4831,7.1792,6.9483,,,0.7418
2014/3/21,1.9306,6.7006,11.9473,6.8034,9.0838,7.3386,7.1753,,,0.7201
2014/3/24,1.9604,6.7203,11.9972,6.764,9.6927,7.3573,7.2839,,,0.7463
2014/3/25,1.9505,6.7006,11.9473,6.7935,8.994,7.273,7.3333,,,0.7626
2014/3/26,1.9405,6.8484,12.127,6.7738,8.984,7.2167,8.0537,,,0.7735
2014/3/27,1.9206,6.6316,11.7876,6.7738,8.8143,7.3198,7.7478,,,0.7753
2014/3/28,1.9206,6.6415,11.3085,6.7738,7.9558,7.2542,7.6392,,,0.7753
2014/3/31,1.9206,6.7203,11.3884,6.7738,8.1056,7.123,7.4319,,,0.7826
2014/4/1,1.9306,6.8977,11.3984,6.7738,8.1954,7.1324,7.4714,,,0.7871
2014/4/2,1.9604,6.8681,11.4483,6.7738,8.3551,7.1886,7.501,,,0.788
2014/4/3,1.9405,6.8188,11.3884,6.7738,7.9758,7.0761,7.3925,,,0.7944
2014/4/4,1.9604,6.9075,11.6878,6.7738,8.1754,7.1511,7.4418,,,0.7944
2014/4/8,1.9803,7.0159,11.7776,6.7738,7.9159,7.3104,7.5405,,,0.7998
2014/4/9,1.9803,6.9666,11.7277,6.7738,8.0157,7.3386,7.501,,,0.807
2014/4/10,2.0201,6.9371,11.9473,6.7738,8.1355,7.3573,7.4813,,,0.8079
2014/4/11,2.0002,6.8484,11.7477,6.7738,8.2753,7.6853,7.58,,,0.8107
2014/4/14,1.9903,6.9174,11.7677,6.7738,8.7844,7.6853,7.5701,,,0.7962
2014/4/15,1.9604,6.7696,11.8176,6.7738,8.8143,7.6385,7.4221,,,0.7962
2014/4/16,1.9704,6.7991,11.4583,6.7738,8.6746,7.6478,7.4023,,,0.7953
2014/4/17,1.9604,6.7597,11.4982,6.7738,8.1455,7.5635,7.4023,,,0.7998
2014/4/18,1.9604,6.7499,11.5381,6.7738,7.9858,7.601,7.4122,,,0.798
2014/4/21,1.9306,6.6415,11.4882,6.7738,7.6663,7.3104,7.1753,,,0.7862
2014/4/22,1.9107,6.8287,11.4782,6.7738,7.7662,7.273,7.2543,,,0.7808
2014/4/23,1.9206,7.0947,11.4483,6.7738,7.6065,7.1886,7.2543,,,0.7844
2014/4/24,1.9306,6.878,11.069,6.7738,7.307,7.2167,7.0949,,,0.7826
2014/4/25,1.9405,6.5922,10.9792,6.7738,6.9576,7.0855,6.9852,,,0.779
2014/4/28,1.8908,6.2572,10.54,6.7738,6.8378,6.8699,6.776,,,0.7518
2014/4/29,1.9107,6.3656,10.54,6.7738,6.9776,6.9543,6.8258,,,0.7536
2014/4/30,1.9107,6.3853,10.54,6.7738,7.0874,6.9449,6.8956,,,0.7509
2014/5/5,1.9107,6.4641,10.54,6.7738,7.1872,7.0293,6.9354,,,0.7264
2014/5/6,1.9505,6.4444,10.54,6.7738,7.1672,7.0293,6.9554,,,0.7264
2014/5/7,1.9107,6.3853,10.54,6.7738,6.9876,7.0293,6.7959,,,0.7264
2014/5/8,1.9107,6.4148,10.54,6.7738,7.6863,7.0293,6.8059,,,0.7264
2014/5/9,1.9704,6.4937,10.54,6.7738,7.7861,7.0293,6.8657,,,0.7264
2014/5/12,2.1595,7.0159,10.54,6.7738,7.886,7.0293,7.2643,,,0.7264
2014/5/13,2.0799,6.8681,10.54,6.7738,7.9458,7.0293,7.1048,,,0.7264
2014/5/14,2.1993,6.9863,10.54,6.7738,7.7362,7.0293,7.055,,,0.7264
2014/5/15,2.1396,6.8484,10.54,6.7738,7.2371,7.0293,6.9952,,,0.7264
2014/5/16,2.1097,6.7893,10.54,6.7738,7.6763,7.0293,6.9952,,,0.7264
2014/5/19,2.1893,6.9075,10.54,6.7738,7.3769,7.0293,7.0351,,,0.7264
2014/5/20,2.1396,6.7794,10.54,6.7738,7.3968,7.0293,6.9753,,,0.7264
2014/5/21,2.1595,6.8977,10.54,6.7738,7.5066,7.0293,7.0251,,,0.7264
2014/5/22,2.0898,6.7893,10.54,6.7738,7.9159,7.0293,6.9653,,,0.7264
2014/5/23,2.0799,6.8582,10.54,6.7738,7.836,7.0293,7.045,,,0.7264
2014/5/26,2.0799,6.8582,10.54,6.7738,7.9359,7.0293,7.055,,,0.7264
2014/5/27,2.06,7.0061,10.54,6.7738,7.9259,7.0293,7.0052,,,0.7264
2014/5/28,2.0699,6.9174,10.54,6.7738,7.9558,7.0293,7.055,,,0.7264
2014/5/29,2.04,6.7794,10.54,6.7738,7.6763,7.0293,6.9554,,,0.7264
2014/5/30,2.0799,6.7696,10.54,6.7738,7.4567,7.0293,6.9653,,,0.7264
2014/6/3,2.0799,6.7991,10.54,6.7738,7.5466,7.0293,7.0749,,,0.7264
2014/6/4,2.0201,6.6119,10.54,6.7738,7.4467,7.0293,6.9952,,,0.7264
2014/6/5,2.0301,6.6809,10.54,6.7738,7.5066,7.0293,7.0351,,,0.7264
2014/6/6,2.0301,6.602,10.54,6.7738,7.7362,7.0293,7.0351,,,0.7264
2014/6/9,2.0102,6.5429,10.54,6.7738,7.4767,7.0293,6.9653,,,0.7264
2014/6/10,2.0201,6.602,10.54,6.7738,7.5865,7.0293,6.9952,,,0.7264
2014/6/11,2.0201,6.6316,10.54,6.7738,7.7362,7.0293,6.9354,,,0.7264
2014/6/12,2.0201,6.6612,10.54,6.7738,8.0557,7.0293,6.9852,,,0.7264
2014/6/13,2.0301,6.74,10.54,6.7738,7.9858,7.0293,6.9952,,,0.7264
2014/6/16,2.0301,6.7203,10.54,6.7738,8.1355,7.0293,7.0251,,,0.7264
2014/6/17,2.0102,6.74,10.54,6.7738,8.1455,7.0293,6.9554,,,0.7264
2014/6/18,2.0699,6.76,10.54,6.7738,7.8061,7.0293,6.9055,,,0.7264
2014/6/19,1.9903,6.45,10.54,6.7738,7.4667,7.0293,6.8457,,,0.7264
2014/6/20,2.0002,6.54,10.54,6.7738,7.4867,7.0293,6.8158,,,0.7264
2014/6/23,2.0301,6.75,10.54,6.7738,7.5865,7.0293,6.9952,,,0.7264
2014/6/24,2.05,6.75,10.54,6.7738,7.6564,7.0293,6.9852,,,0.7264
2014/6/25,2.0301,6.66,10.54,6.7738,7.5965,7.0293,6.9155,,,0.7264
2014/6/26,2.05,6.89,10.54,6.7738,7.876,7.0293,6.9952,,,0.7264
2014/6/27,2.06,6.85,10.54,6.7738,7.9658,7.0293,7.1048,,,0.7264
2014/6/30,2.0699,6.87,10.54,6.7738,7.9359,7.0293,7.2643,,,0.7264
2014/7/1,2.06,6.96,10.54,6.7738,7.9558,7.0293,7.1646,,,0.7264
2014/7/2,2.0699,7.02,10.54,6.7738,7.9858,7.0293,7.1845,,,0.7264
2014/7/3,2.0799,7.22,10.54,6.7738,8.0257,7.0293,7.2643,,,0.7264
2014/7/4,2.06,7.09,10.54,6.7738,8.3751,7.0293,7.1546,,,0.7264
2014/7/7,2.06,7,10.54,6.7738,8.7844,7.0293,7.1646,,,0.7264
2014/7/8,2.05,7.05,10.54,6.7738,8.6746,7.0293,7.1746,,,0.7264
2014/7/9,2.05,7.1,10.54,6.7738,8.2753,7.0293,7.3141,,,0.7264
2014/7/10,2.06,7.38,10.54,6.7738,8.1655,7.0293,8.0415,,,0.7264
2014/7/11,2.08,7.34,10.54,6.7738,8.1355,7.0293,8.0415,,,0.7264
2014/7/14,2.09,7.37,10.54,6.7738,8.2353,7.0293,8.0415,,,0.7264
2014/7/15,2.11,7.39,10.54,6.7738,8.6346,7.0293,8.0415,,,0.7264
2014/7/16,2.09,7.17,10.54,6.7738,8.4549,7.0293,8.0415,,,0.7264
2014/7/17,2.1,7.25,10.54,6.7738,8.2251,7.0293,8.0415,,,0.7264
2014/7/18,2.09,7.16,10.54,6.7738,8.295,7.0293,8.0415,,,0.7264
2014/7/21,2.1,7.02,10.54,6.7738,8.5449,7.0293,7.6429,,,0.7264
2014/7/22,2.13,7.12,10.54,6.7738,8.5449,7.0293,7.7127,,,0.7264
2014/7/23,2.13,7.2,10.54,6.7738,8.5749,7.0293,7.5233,,,0.7264
2014/7/24,2.17,7.35,10.54,6.7738,8.295,7.0293,7.3938,,,0.7264
2014/7/25,2.25,7.51,10.54,6.7738,8.6248,7.0293,7.6628,,,0.7264
2014/7/28,2.31,7.58,11.59,6.7738,8.5949,7.0293,7.892,,,0.7264
2014/7/29,2.29,7.67,12.75,6.7738,8.6948,7.0293,8.0415,,,0.7264
2014/7/30,2.28,7.66,14.03,6.7738,8.5049,7.0293,8.2807,,,0.7264
2014/7/31,2.34,8.01,15.15,6.7738,8.5849,7.0293,8.4102,,,0.7264
2014/8/1,2.3,7.71,15.12,6.7738,8.5049,7.0293,8.0216,,,0.7264
2014/8/4,2.36,7.9,15.11,6.7738,8.5649,7.0293,8.2308,,,0.7264
2014/8/5,2.38,7.84,14.62,6.7738,8.5949,7.0293,8.171,,,0.7264
2014/8/6,2.62,8.07,15.65,6.7738,8.5449,7.0293,8.4102,,,0.7264
2014/8/7,2.58,7.85,15.97,6.7738,8.335,7.0293,8.1312,,,0.7264
2014/8/8,2.52,7.8,16.62,6.7738,8.285,7.0293,8.1113,,,0.7264
2014/8/11,2.52,7.87,16.5,6.7738,8.395,7.0293,8.2109,,,0.7264
2014/8/12,2.52,7.82,16.4,6.7738,8.6348,7.0293,8.181,,,0.7264
2014/8/13,2.63,7.9,17.83,6.7738,8.5649,7.0293,8.2209,,,0.7264
2014/8/14,2.52,7.67,17.07,6.7738,8.4549,7.0293,8.0614,,,0.7264
2014/8/15,2.52,7.73,17.08,6.7738,8.5649,7.0293,8.1113,,,0.7264
2014/8/18,2.5,7.86,16.91,6.7738,8.7248,7.0293,8.2308,,,0.7264
2014/8/19,2.53,7.87,16.6,6.7738,8.8547,7.0293,8.2707,,,0.7264
2014/8/20,2.47,7.83,16.61,6.7738,8.8547,7.0293,8.3205,,,0.7264
2014/8/21,2.46,7.82,16.21,6.7738,8.6948,7.0293,8.2607,,,0.7264
2014/8/22,2.47,7.94,16.03,6.7738,8.9746,7.0293,8.4401,,,0.7264
2014/8/25,2.45,7.76,15.9,6.7738,8.8447,7.0293,8.5298,,,0.7264
2014/8/26,2.39,7.57,15.28,7.4532,8.4549,7.0293,8.1312,,,0.7264
2014/8/27,2.36,7.5,15.2,8.2015,8.4549,7.0293,8.1611,,,0.7264
2014/8/28,2.37,7.51,15.15,9.0187,8.1651,7.0293,7.9319,,,0.7264
2014/8/29,2.37,7.56,15.23,8.5362,8.2651,7.0293,7.902,,,0.7264
2014/9/1,2.43,7.65,15.48,8.6248,8.5049,7.0293,8.0814,,,0.7264
2014/9/2,2.46,7.8,15.6,8.6347,8.7248,7.0293,8.2607,,,0.7264
2014/9/3,2.49,7.83,15.62,8.615,9.0646,7.0293,8.2408,,,0.7264
2014/9/4,2.48,7.85,15.64,8.6248,9.0646,7.0293,8.2707,,,0.7264
2014/9/5,2.51,7.92,15.6,8.4968,8.9247,7.0293,8.5597,,,0.7264
2014/9/9,2.59,8.09,15.43,8.6642,9.0746,7.0293,9.3568,,,0.7264
2014/9/10,2.67,8.13,15.82,8.7135,9.1645,7.0293,10.0643,,,0.7264
2014/9/11,2.58,7.96,15.53,8.615,9.1445,7.0293,9.8451,,,0.7264
2014/9/12,2.61,7.99,15.38,8.6347,9.4044,7.0293,9.7355,,,0.7264
2014/9/15,2.63,8.22,15.36,8.6741,9.4244,7.0293,9.4565,,,0.7264
2014/9/16,2.71,7.97,14.72,8.3295,8.9446,7.0293,9.2074,,,0.7264
2014/9/17,2.69,8.01,14.86,8.3787,9.1145,7.0293,9.3668,,,0.7264
2014/9/18,2.72,8,14.87,8.4673,9.1345,7.0293,9.3568,,,0.7264
2014/9/19,2.72,8.02,15.28,8.5953,9.2844,7.0293,9.4166,,,0.7264
2014/9/22,2.58,7.83,15.17,8.6741,9.0646,7.0293,9.1077,,,0.7264
2014/9/23,2.58,7.92,15.21,8.7036,9.1345,7.0293,9.2672,,,0.7264
2014/9/24,2.63,8.02,15.38,8.9399,9.2445,7.0293,9.4665,,,0.7264
2014/9/25,2.62,8,15.33,8.8316,9.1845,7.0293,9.3867,,,0.7264
2014/9/26,2.59,8.01,15.62,8.9891,9.1445,7.0293,9.3867,,,0.7264
2014/9/29,2.61,8.12,15.53,9.0088,9.3444,7.0293,9.3568,,,0.7264
2014/9/30,2.7,8.14,15.61,8.9005,9.5643,7.0293,9.4266,,,0.7264
2014/10/8,2.72,8.23,15.5,8.8808,9.7742,7.0293,9.7156,,,0.7264
2014/10/9,2.77,8.23,15.96,8.8513,9.6642,7.0293,9.7156,,,0.7264
2014/10/10,2.8,8.21,15.61,8.8021,9.4643,7.0293,9.7156,,,0.7264
2014/10/13,2.92,8.43,15.31,8.9005,9.6642,7.0293,9.7156,,,0.7264
2014/10/14,2.91,8.28,15.16,8.999,9.5843,7.0293,9.7156,,,0.7264
2014/10/15,3.08,8.21,14.93,8.9793,9.6043,7.0293,9.7156,,,0.7264
2014/10/16,3.08,8.03,14.38,8.999,9.7642,7.0293,9.7156,,,0.7264
2014/10/17,3.08,7.85,14.31,9.255,10.7436,7.0293,9.7156,,,0.7264
2014/10/20,3.08,7.95,14.49,9.698,10.5237,7.0293,9.7156,,,0.7264
2014/10/21,3.08,7.81,14.24,9.4223,10.4537,7.0293,9.7156,,,0.7264
2014/10/22,3.08,7.67,14.11,8.9793,10.104,7.0293,9.7156,,,0.7264
2014/10/23,2.77,7.58,13.7,8.5658,9.5543,7.0293,9.7156,,,0.7264
2014/10/24,2.67,7.59,14.06,8.6445,9.3944,7.0293,9.7156,,,0.7264
2014/10/27,2.68,7.62,14.22,8.487,9.4444,7.0293,9.7156,,,0.7264
2014/10/28,2.78,7.78,14.36,8.6938,9.8441,7.0293,9.7156,,,0.7264
2014/10/29,2.88,7.87,14.43,8.8611,10.2739,7.0293,9.7156,,,0.7264
2014/10/30,2.91,7.93,14.42,8.7627,10.2339,7.0293,10.6921,,,0.7264
2014/10/31,2.94,8.05,14.43,8.6642,10.1739,7.0293,10.5825,,,0.7264
2014/11/3,3.08,8.08,14.43,8.6347,10.6436,7.0293,10.5725,,,0.7264
2014/11/4,3.14,8.19,14.31,8.6741,11.3732,7.0293,10.5526,,,0.7264
2014/11/5,3.04,8.04,14.29,8.9202,11.1034,7.0293,10.2537,,,0.7264
2014/11/6,2.99,8.1,14.4,8.8021,11.0934,7.0293,10.0942,,,0.7264
2014/11/7,2.99,7.95,14.06,8.9301,10.6137,7.7341,9.8949,,,0.7989
2014/11/10,3.17,8.22,14.1,9.0187,10.7636,8.5056,10.2238,,,0.8788
2014/11/11,3.08,7.89,13.74,9.9245,10.1239,8.9628,9.7654,,,0.8277
2014/11/12,3.12,8.03,13.88,9.6882,10.3038,8.7247,10.2138,,,0.8212
2014/11/13,3.16,8.17,14.39,9.511,10.6636,8.7818,10.712,,,0.8128
2014/11/14,3.14,8.02,14.4,9.1073,10.3038,8.3818,10.5127,,,0.8007
2014/11/17,3.03,8.22,14.26,9.0876,10.9934,8.3627,10.7619,,,0.7989
2014/11/18,2.99,8.32,14,9.127,11.0734,8.4104,10.7419,,,0.8063
2014/11/19,2.99,8.21,13.97,10.0426,11.0734,8.2865,11.1903,,,0.8035
2014/11/20,2.95,8.13,14.19,9.8063,10.9435,8.3056,11.1804,,,0.8091
2014/11/21,3.03,8.39,14.19,9.8654,11.2833,8.3342,11.0608,,,0.81
2014/11/24,3.08,8.64,14.4,10.3183,11.3832,8.3818,10.7818,,,0.8165
2014/11/25,3.1,8.77,14.84,10.2494,11.2533,8.458,10.8017,,,0.8249
2014/11/26,3.09,8.76,14.83,10.0328,11.1833,8.3818,10.9911,,,0.8258
2014/11/27,3.09,8.77,14.87,10.0919,11.653,8.5723,10.9014,,,0.8379
2014/11/28,3.12,8.97,14.67,10.0032,11.8529,8.3818,10.6622,,,0.8295
2014/12/1,3.19,8.76,14.66,9.9737,12.0228,8.3818,10.5227,,,0.8175
2014/12/2,3.19,8.91,14.76,9.9934,12.1627,8.458,10.7021,,,0.8165
2014/12/3,3.3,9.39,15.67,9.8654,11.5031,8.6199,10.9512,,,0.823
2014/12/4,3.35,9.7,15.67,10.0426,11.4831,8.7437,10.9113,,,0.8342
2014/12/5,3.17,9.3,14.78,9.6193,11.5831,8.3342,10.6523,,,0.8249
2014/12/8,3.28,9.48,14.92,9.5306,11.8229,8.3627,10.3633,,,0.8249
2014/12/9,3.21,9.08,14.86,9.186,10.6436,8.077,9.8551,14.7715,,0.8054
2014/12/10,3.35,9.35,15.35,9.4125,10.8935,8.2008,10.0843,16.2496,,0.8147
2014/12/11,3.59,9.65,15.26,10.0623,11.1933,8.4961,10.443,17.8765,,0.8258
2014/12/12,3.46,9.45,15.83,9.8949,11.2533,8.5151,10.4729,19.6622,,0.8295
2014/12/15,3.48,9.38,15.65,9.8556,11.3832,8.5913,10.3832,19.8606,,0.8342
2014/12/16,3.52,9.4,15.45,9.8851,11.5431,8.5628,10.3433,18.7694,,0.8351
2014/12/17,3.46,9.22,14.95,9.7276,11.1333,8.6199,10.2038,18.3726,,0.8351
2014/12/18,3.42,9.16,14.99,9.5503,10.8935,8.5247,10.7818,17.7873,,0.8295
2014/12/19,3.6,9.14,14.49,9.4223,11.1733,8.3818,10.2038,16.696,,0.8212
2014/12/22,3.72,9.14,13.55,8.8513,10.054,8.2103,9.2273,15.0592,,0.8082
2014/12/23,3.45,8.57,13.5,8.7331,9.4044,8.2199,9.1874,16.567,,0.8119
2014/12/24,3.41,8.69,13.6,8.9694,9.4943,8.4485,9.3269,17.0234,,0.8193
2014/12/25,3.6,8.82,13.53,8.9399,10.074,8.5628,9.3668,16.4877,,0.8249
2014/12/26,3.67,8.97,13.61,9.0384,10.064,8.9628,9.2971,16.2893,,0.836
2014/12/29,3.6,8.94,13.2,8.7922,10.014,8.8009,9.2373,16.5571,,0.8175
2014/12/30,3.5,8.77,13.49,8.6544,9.3044,8.7914,9.1775,16.1206,,0.823
2014/12/31,3.59,8.95,13.39,8.5855,9.3544,8.9152,9.2173,15.8032,,0.8221
2015/1/5,3.76,9.6,14.08,8.7824,9.5743,9.0866,9.4665,16.1603,,0.8314
2015/1/6,3.72,9.49,13.9,8.9399,9.9441,8.9247,9.2771,16.2397,,0.8305
2015/1/7,3.76,9.69,14,8.9498,10.3638,9.1342,9.885,16.2992,,0.836
2015/1/8,3.64,9.51,13.71,9.0088,10.074,8.9914,9.5462,15.9817,,0.8323
2015/1/9,3.62,9.6,13.51,8.9202,10.084,8.7628,9.3867,15.7833,,0.8305
2015/1/12,3.43,9.24,13.57,8.6052,9.8941,8.4389,9.1277,15.1286,,0.8175
2015/1/13,3.41,9.14,13.9,8.6642,10.1239,8.5628,9.0679,15.2675,,0.8202
2015/1/14,3.32,8.94,13.89,8.6642,10.4937,8.4485,9.0479,15.1286,,0.8202
2015/1/15,3.4,9.1,14.1,8.6544,10.8735,8.1722,9.1575,15.6345,,0.7942
2015/1/16,3.43,9.19,13.93,8.6347,10.6137,8.258,9.1675,16.4579,,0.797
2015/1/19,3.11,8.47,13.05,8.3295,10.1839,7.9055,8.8586,15.5254,,0.7747
2015/1/20,3.15,8.66,13.27,8.5461,10.5737,8.0865,9.038,16.319,,0.7831
2015/1/21,3.26,8.9,13.57,9.1368,10.9534,8.258,9.1874,16.5075,,0.7924
2015/1/22,3.32,9.32,14.1,9.2353,10.8535,8.3342,9.3867,17.0234,,0.7952
2015/1/23,3.27,9.14,13.92,9.0876,11.3632,8.258,9.2771,16.3686,,0.7905
2015/1/26,3.34,9.62,14.01,9.1664,11.5131,8.3818,9.6558,16.3786,,0.7905
2015/1/27,3.3,10.18,14.24,9.2451,11.2633,8.3913,9.7355,16.3091,,0.7859
2015/1/28,3.23,10.78,14,9.0581,11.1533,8.3532,9.4764,15.9421,,0.7924
2015/1/29,3.26,10.97,14,9.0384,11.0734,8.4008,9.4266,15.7238,,0.8026
2015/1/30,3.21,10.58,13.72,9.0974,10.9834,8.4008,9.3967,16.0115,,0.8044
2015/2/2,3.03,10.57,13.65,9.2451,10.6836,8.477,9.2472,15.7437,,0.8128
2015/2/3,3.04,10.6,13.79,9.2254,10.6836,8.6675,9.4366,15.9619,,0.8137
2015/2/4,3.06,10.36,13.8,9.186,11.3132,8.8961,9.4565,15.8726,,0.8165
2015/2/5,3.02,9.97,13.6,9.0384,11.0234,8.9056,9.4764,15.5056,,0.8175
2015/2/6,2.91,9.91,13.12,8.7233,11.1333,8.9056,9.6159,15.1683,,0.8119
2015/2/9,2.86,10.27,13.19,8.6544,10.7036,9.0199,10.0245,15.1385,,0.8156
2015/2/10,2.91,10.3,13.35,8.7528,10.9035,8.7342,9.875,15.0691,,0.8202
2015/2/11,2.93,10.62,13.36,8.743,10.8935,8.8771,9.6757,15.1187,,0.8295
2015/2/12,2.96,10.56,13.4,9.1171,10.8135,9.1057,9.6657,15.2476,,0.8277
2015/2/13,3.04,10.89,13.77,9.1565,10.9934,9.1438,9.7156,15.5849,,0.8258
2015/2/16,3.08,10.98,14.13,9.2944,11.1134,9.1342,9.9049,15.5651,,0.8267
2015/2/17,3.13,10.74,14.27,9.4125,11.4831,9.3152,9.7156,15.6246,,0.8267
2015/2/25,3.09,10.77,14.2,9.314,11.3832,9.0009,9.6359,15.446,,0.8175
2015/2/26,3.15,10.87,14.48,9.3731,11.5831,9.0199,9.8053,15.8429,,0.836
2015/2/27,3.16,11.96,14.36,9.3633,11.723,8.9628,9.9846,16.0909,,0.836
2015/3/2,3.26,12.64,15.8,9.4716,11.8029,9.4105,10.1241,16.2298,,0.8453
