ÈÕÆÚ,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH
2014/1/2,4.5162,3.7672,3.3405,4.0334,5.1191,8.022,6.5674,6.7584,4.1284,9.3304,1.9723,7.8274,6.2398,5.7596,3.7188,6.5069,2.69,9.0237,4.8537,1.885,5.796,6.5286,4.345,5.0609,8.0131,,4.9261,5.5619,4.0146,,11.0043,6.4543,,4.978,7.4133,4.4636,3.8872,,1.4295
2014/1/3,4.4477,3.6982,3.257,3.9348,5.0208,7.863,6.4445,6.6291,4.0627,9.1268,1.9835,7.8636,6.1403,5.614,3.6395,6.3756,2.69,8.8442,4.7748,1.83,5.7569,6.5766,4.23,4.9948,7.8605,,4.817,5.5419,4.0382,,10.8212,6.3814,,4.9097,7.2708,4.4163,3.7875,,1.3857
2014/1/6,4.2833,3.6094,3.0847,3.7555,4.7891,7.4853,6.1705,6.2843,3.8986,8.6842,1.9239,7.5559,5.8328,5.2419,3.5161,6.31,2.61,8.504,4.4985,1.75,5.7276,6.423,4.075,4.7818,7.4577,,4.6443,5.3227,3.8571,,10.4481,6.035,,4.7633,6.8288,4.265,3.5683,,1.3305
2014/1/7,4.2833,3.6292,3.0743,3.7197,4.7469,7.5051,6.1138,6.2067,3.9478,8.6487,1.8942,7.3116,5.8509,5.2338,3.5338,6.2444,2.6,8.5229,4.4985,1.755,5.6885,6.5478,4.085,4.7892,7.3784,,4.5989,5.223,3.5777,,10.434,5.962,,4.7437,6.8359,4.265,3.5782,,1.3264
2014/1/8,4.2422,3.6193,3.0743,3.648,4.6907,7.4356,6.0193,6.1291,3.9068,8.4451,1.8718,7.1939,5.7243,5.1286,3.5073,6.0475,2.59,8.3906,4.3604,1.73,5.6298,6.5382,4.07,4.679,7.3478,,4.5352,5.1233,3.5974,,10.2509,5.8709,,4.6461,6.7504,4.2272,3.4985,,1.3288
2014/1/9,4.2742,3.5404,3.0952,3.63,4.7048,7.4455,5.9248,6.0688,3.915,8.454,1.8532,6.9677,5.7153,5.2095,3.4897,6.0756,2.58,8.23,4.3407,1.69,5.9524,6.5094,4.115,4.6863,7.0854,,4.4444,5.0336,3.5423,,10.1664,5.8253,,4.5388,6.7433,4.1894,3.4387,,1.3296
2014/1/10,4.2742,3.4516,2.9856,3.63,4.6627,7.7338,5.8965,5.9998,3.9642,8.3566,1.8309,7.0039,5.7514,5.2419,3.4192,6.2537,2.51,8.0599,4.39,1.71,5.9035,6.375,4.075,4.6129,6.8718,,4.408,4.9838,3.3848,,10.2016,5.8527,,4.4411,6.7789,4.2083,3.3988,,1.3061
2014/1/13,4.3883,3.4516,2.9751,3.6659,4.7118,7.6344,5.9059,6.0343,4.0217,8.4097,1.8272,7.0492,5.7967,5.1286,3.428,6.2162,2.51,8.0883,4.3802,1.685,5.796,6.135,4.09,4.6055,6.9268,,4.4171,5.0037,3.4242,,10.2509,5.88,,4.4314,6.8288,4.2367,3.4188,,1.3069
2014/1/14,4.3792,3.4911,3.0221,3.6838,4.7259,7.8232,5.9154,6.0343,4.0217,8.4983,1.816,7.022,5.8057,5.1772,3.4633,6.2537,2.53,8.1355,4.4098,1.71,5.8155,6.2022,4.12,4.6643,7,,4.4353,5.0236,3.2038,,10.3002,5.9347,,4.4314,6.8573,4.2556,3.4786,,1.3256
2014/1/15,4.3655,3.5305,3.0847,3.639,4.6837,7.6741,5.7925,5.9826,3.9232,8.3743,1.79,6.8682,5.6791,5.1367,3.4192,6.2069,2.53,8.145,4.3407,1.735,5.7764,6.1926,4.07,4.6129,7.1526,,4.3989,4.9439,3.1723,,10.2298,5.8435,,4.3728,6.7718,4.2272,3.4287,,1.3313
2014/1/16,4.4157,3.6292,3.257,3.6749,4.7469,7.694,5.8114,6.0429,4.0217,8.4363,1.8197,6.9406,5.7695,5.1691,3.4544,6.4131,2.54,8.2489,4.3506,1.73,5.8449,6.2118,4.15,4.6349,7.0793,,4.4534,4.9937,3.2274,,10.2087,5.9074,,4.4119,6.8288,4.2272,3.4586,,1.3272
2014/1/17,4.1646,3.6883,3.1474,3.5583,4.5784,7.4654,5.6602,5.8361,3.915,7.9052,1.7676,6.6691,5.5254,5.0073,3.3663,6.1975,2.48,8.0316,4.1829,1.68,5.6298,6.2118,4.1,4.4953,7.0671,,4.2989,4.8841,3.1566,,10.0186,5.7068,,4.2459,6.5009,4.057,3.2792,,1.3191
2014/1/20,4.1509,3.57,3.0795,3.5225,4.6065,7.2069,5.5752,5.7671,3.8329,7.8078,1.7453,6.6329,5.5525,4.9183,3.3399,6.0193,2.5,7.9276,4.1434,1.69,5.6885,6.183,4.1,4.4439,6.9329,,4.2353,4.8442,3.1015,,9.92,5.7068,,4.1776,6.4296,4.057,3.3091,,1.3158
2014/1/21,4.1829,3.6193,3.1474,3.5583,4.6135,7.2666,5.6413,5.8533,3.8575,7.8432,1.7602,6.7777,5.5706,4.9911,3.3663,6.0568,2.54,8.041,4.1631,1.695,5.6787,6.2502,4.13,4.4806,7.0732,,4.3171,4.904,3.1998,,9.9623,5.7524,,4.2166,6.4653,4.0853,3.3191,,1.3118
2014/1/22,4.2879,3.6587,3.2048,3.6838,4.782,7.5051,5.8114,6.0516,3.9314,8.1088,1.8235,6.9134,5.7967,5.1529,3.4721,6.2819,2.57,8.2111,4.2914,1.745,5.8351,6.3654,4.195,4.5982,7.2563,,4.4171,5.0236,3.2235,,10.1312,5.9256,,4.3338,6.6506,4.1705,3.4188,,1.3296
2014/1/23,4.2057,3.6094,3.1735,3.648,4.7118,7.4455,5.7736,5.9912,3.915,7.9671,1.8011,6.841,5.67,5.0639,3.4368,6.2162,2.53,8.2017,4.2716,1.74,5.7862,6.3846,4.185,4.5394,7.3173,,4.3898,4.9937,3.2274,,10.0327,5.8618,,4.2947,6.4439,4.1326,3.3689,,1.3256
2014/1/24,4.2605,3.6489,3.0743,3.7107,4.7469,7.5648,5.8965,6.0774,3.9396,8.0911,1.8309,6.9496,5.7605,5.1448,3.4809,6.2537,2.56,8.2962,4.3111,1.78,5.9817,6.3846,4.2,4.6349,7.3601,,4.4625,5.0336,3.2628,,10.1172,5.8982,,4.3631,6.5936,4.161,3.4686,,1.3264
2014/1/27,4.3427,3.6587,2.9647,3.6838,4.8242,7.6841,5.8965,6.0947,3.9889,8.3832,1.8272,6.8772,5.7786,5.3228,3.5161,6.2725,2.56,8.2111,4.321,1.755,6.2651,6.3078,4.18,4.6276,7.2685,,4.4444,5.0037,3.2235,,9.92,5.8891,,4.3533,6.6292,4.1515,3.4287,,1.3142
2014/1/28,4.2239,3.6193,2.9229,3.639,4.7469,7.4356,5.8587,6.0171,3.9396,8.2947,1.7937,6.8863,5.661,5.1529,3.4809,6.1881,2.53,8.041,4.2519,1.725,6.1967,6.9414,4.085,4.5908,7.1648,,4.4171,4.9638,3.1998,,9.8778,5.8253,3.9754,4.3143,6.4724,4.161,3.3689,,1.2517
2014/1/29,4.2194,3.6489,2.8864,3.6032,4.7048,7.525,5.7736,5.9654,3.8575,8.1265,1.7528,6.8229,5.5525,5.072,3.4456,6.1694,2.51,8.0788,4.173,1.73,6.2065,6.9414,4.125,4.5394,6.9451,,4.4262,4.8343,3.2077,,9.9059,5.7706,3.6784,4.2947,6.4296,4.161,3.329,,1.2882
2014/1/30,4.1189,3.6193,2.8968,3.5225,4.6205,7.4554,5.6602,5.8964,3.7344,7.9583,1.7267,6.6329,5.4168,4.983,3.3928,6.1131,2.5,8.0127,4.0645,1.72,6.1283,6.9414,4.09,4.466,6.9329,,4.2899,4.7744,3.2353,,9.744,5.725,3.5211,4.1971,6.1944,4.1137,3.2892,,1.2582
2014/2/7,4.2194,3.6587,2.9334,3.5673,4.6416,7.5847,5.7169,5.9223,3.7919,8.0291,1.7528,6.5877,5.4801,5.0235,3.428,6.1319,2.54,8.0599,4.1039,1.755,6.1576,6.9414,4.11,4.4953,7.0061,,4.2717,4.7445,3.2549,,9.8285,5.7706,3.5823,4.2655,6.1516,4.161,3.3091,,1.2753
2014/2/10,4.3016,3.7376,3.0377,3.6659,4.768,7.8729,5.8303,6.1033,3.8822,8.2592,1.8011,6.7234,5.6158,5.1448,3.5073,6.2631,2.74,8.2489,4.2716,1.805,6.7734,6.9414,4.195,4.5835,7.2197,,4.3807,4.8442,3.3219,,9.9482,5.9165,3.7133,4.3533,6.3013,4.2177,3.3889,,1.272
2014/2/11,4.4249,3.7771,3.1682,3.881,4.9014,7.9823,6.0004,6.2757,3.9725,8.5248,1.8309,6.9677,6.1765,5.2823,3.5778,6.5069,2.74,8.4379,4.3703,1.81,7.0177,6.9414,4.25,4.701,7.2624,,4.508,5.0037,3.3691,,10.0397,6.0897,3.7483,4.4607,6.5651,4.2839,3.4885,,1.2566
2014/2/12,4.3564,3.7968,3.1369,3.7824,4.8452,7.9525,5.9059,6.2154,3.9725,8.4274,1.8197,6.8591,6.0137,5.25,3.5778,6.4038,2.7,8.3906,4.3308,1.825,6.7245,6.9414,4.23,4.6422,7.3417,,4.4716,4.9439,3.3573,,9.9834,6.0259,3.8531,4.4216,6.5009,4.265,3.4586,,1.2379
2014/2/13,4.3792,3.8757,3.1056,3.7555,4.761,7.8928,5.8681,6.1895,4.0053,8.3478,1.8123,6.9044,6.0318,5.2014,3.5514,6.3662,2.72,8.334,4.2716,1.8,6.6463,6.9414,4.21,4.6496,7.1709,,4.4444,4.9439,3.3101,,9.8848,5.9529,3.722,4.4119,6.4225,4.2177,3.4287,,1.1697
2014/2/14,4.402,3.8954,3.1369,3.7824,4.7961,8.0419,5.887,6.2154,4.0217,8.4186,1.8235,6.9225,6.086,5.25,3.5866,6.4506,2.74,8.6363,4.3111,1.82,6.5877,6.9414,4.235,4.6569,7.3173,,4.4807,4.9439,3.3219,,9.913,6.0076,3.7919,4.4119,6.4581,4.2461,3.4586,,1.1113
2014/2/17,4.4203,3.9349,3.1943,3.8272,4.8523,8.0817,5.9532,6.3016,4.0709,8.5248,1.8458,7.013,6.2036,5.25,3.6307,6.5069,2.77,8.693,4.3604,1.85,6.6072,6.9414,4.255,4.701,7.5187,,4.5262,5.0137,3.3533,,10.0608,6.1079,4.089,4.4509,6.508,4.388,3.5085,,1.0869
2014/2/18,4.2879,3.8658,3.1787,3.7466,4.7399,7.9723,5.7642,6.155,3.9971,8.3035,1.8421,6.8229,6.0589,5.0801,3.5426,6.3756,2.72,8.6458,4.242,1.885,6.6268,6.9414,4.255,4.6202,7.4577,,4.4625,4.9439,3.3258,,9.8989,5.9894,4.3249,4.3631,6.3013,4.3407,3.4287,,1.0886
2014/2/19,4.3381,3.8954,3.2726,3.7735,4.7539,8.0916,5.802,6.1723,4.0299,8.4009,1.8458,6.8863,6.1674,5.0963,3.569,6.3944,2.74,8.7686,4.2026,1.895,6.4508,6.9414,4.335,4.6496,7.4577,,4.4807,4.9638,3.4478,,10.0397,6.0988,4.1764,4.3826,6.3512,4.3501,3.4287,,1.0902
