ÈÕÆÚ,600759.SH,600777.SH,601857.SH
2014/1/2,6.0902,1.7445,6.796
2014/1/3,6.2357,1.7498,6.7695
2014/1/6,6.0672,1.7603,6.8847
2014/1/7,6.4502,1.8129,6.8581
2014/1/8,6.4656,1.7998,6.7695
2014/1/9,6.4885,1.7629,6.7252
2014/1/10,6.3736,1.734,6.672
2014/1/13,6.5958,1.755,6.6897
2014/1/14,7.2546,1.7682,6.7517
2014/1/15,7.3235,1.7524,6.7163
2014/1/16,7.3389,1.7577,6.6809
2014/1/17,7.3695,1.7971,6.8669
2014/1/20,7.224,1.7892,6.7606
2014/1/21,7.6146,1.7971,6.7606
2014/1/22,7.5687,1.9077,6.8138
2014/1/23,7.6376,1.8892,6.7517
2014/1/24,7.6606,1.8866,6.7517
2014/1/27,8.3424,1.8919,6.6631
2014/1/28,8.0819,1.8892,6.6986
2014/1/29,8.0896,1.8577,6.6897
2014/1/30,8.1969,1.884,6.6809
2014/2/7,8.2581,1.9103,6.6543
2014/2/10,8.3347,1.9655,6.6986
2014/2/11,7.8674,2.0866,6.7252
2014/2/12,7.7679,2.126,6.6986
2014/2/13,7.7755,2.0734,6.6897
2014/2/14,7.9134,2.126,6.6986
2014/2/17,7.9824,2.1313,6.734
2014/2/18,7.8062,2.1471,6.6986
2014/2/19,7.6453,2.2102,6.7606
2014/2/20,7.6683,2.176,7.0796
2014/2/21,7.7679,2.1839,6.8049
2014/2/24,7.2776,2.2023,6.6543
2014/2/25,7.2623,2.1445,6.6543
2014/2/26,7.4231,2.1655,6.6897
2014/2/27,7.6683,2.1208,6.8581
2014/2/28,7.5457,2.0787,6.8138
2014/3/3,7.6989,2.0813,6.8669
2014/3/4,7.8521,2.1103,6.8226
2014/3/5,8.0973,2.1129,6.7252
2014/3/6,7.967,2.1076,6.796
2014/3/7,7.9134,2.0839,6.8935
2014/3/10,7.7985,1.9682,6.9112
2014/3/11,7.8828,2.0234,6.8492
2014/3/12,7.8291,2.034,6.6986
2014/3/13,7.8291,2.0208,6.7163
2014/3/14,7.99,2.0445,6.6809
2014/3/17,8.1279,2.0839,6.734
2014/3/18,8.8327,2.0682,6.7074
2014/3/19,8.7178,2.0261,6.7163
2014/3/20,8.3424,2.0313,6.6986
2014/3/21,8.3041,2.0261,6.796
2014/3/24,8.1586,2.055,6.8226
2014/3/25,8.3577,2.1392,6.8049
2014/3/26,8.3424,2.1392,6.7606
2014/3/27,8.4267,2.1181,6.6986
2014/3/28,8.2505,2.1576,6.7074
2014/3/31,8.4037,2.0524,6.734
2014/4/1,8.4343,2.0655,6.734
2014/4/2,8.5416,2.055,6.7429
2014/4/3,8.4803,2.055,6.7163
2014/4/4,8.3884,2.105,6.7252
2014/4/8,8.373,2.1524,6.7872
2014/4/9,8.6182,2.1418,6.8226
2014/4/10,8.4267,2.1366,6.8492
2014/4/11,8.6488,2.1339,6.8138
2014/4/14,8.6105,2.176,6.8138
2014/4/15,8.5875,2.1497,6.7606
2014/4/16,8.4726,2.1918,6.7606
2014/4/17,8.4726,2.1813,6.7783
2014/4/18,8.465,2.1392,6.7429
2014/4/21,8.4037,2.105,6.6986
2014/4/22,8.1969,2.1208,6.734
2014/4/23,8.1739,2.1971,6.734
2014/4/24,8.1509,2.1524,6.7252
2014/4/25,7.8674,2.1181,6.6809
2014/4/28,7.8674,2.1103,6.6277
2014/4/29,7.7985,2.105,6.6543
2014/4/30,8.013,2.155,6.6631
2014/5/5,8.0896,2.1655,6.6543
2014/5/6,8.0283,2.1471,6.6454
2014/5/7,7.9517,2.1366,6.6277
2014/5/8,8.013,2.1366,6.6366
2014/5/9,8.0053,2.0734,6.6631
2014/5/12,8.059,2.1339,6.7252
2014/5/13,8.0973,2.1181,6.7783
2014/5/14,8.2658,2.1471,6.7872
2014/5/15,8.1354,2.1234,6.7252
2014/5/16,8.1508,2.1497,6.7606
2014/5/19,8.1201,2.1313,6.7252
2014/5/20,8.0588,2.1208,6.7606
2014/5/21,8.0434,2.1129,6.796
2014/5/22,7.9438,2.1103,6.7695
2014/5/23,8.0204,2.1339,6.7783
2014/5/26,8.1585,2.155,6.7783
2014/5/27,8.4192,2.1524,6.7517
2014/5/28,8.3271,2.1497,6.7606
2014/5/29,8.5802,2.1366,6.7606
2014/5/30,8.6108,2.1339,6.734
2014/6/3,8.5725,2.2444,6.7606
2014/6/4,8.4575,2.276,6.7783
2014/6/5,8.5035,2.2839,6.7874
2014/6/6,8.4882,2.3471,6.7602
2014/6/9,8.6108,2.3023,6.7693
2014/6/10,8.6338,2.305,6.7964
2014/6/11,8.4498,2.326,6.7964
2014/6/12,8.3118,2.3497,6.7874
2014/6/13,8.2735,2.3892,6.8326
2014/6/16,8.9789,2.3497,6.896
2014/6/17,8.7182,2.3444,6.8598
2014/6/18,8.5802,2.305,6.8507
2014/6/19,8.3885,2.2971,6.8055
2014/6/20,8.4575,2.3076,6.8417
2014/6/23,8.2581,2.3471,6.8055
2014/6/24,8.0434,2.3444,6.8145
2014/6/25,8.1431,2.3418,6.8145
2014/6/26,8.0128,2.3444,6.8145
2014/6/27,7.9438,2.326,6.8145
2014/6/30,7.8364,2.2865,6.8236
2014/7/1,7.8747,2.3286,6.7964
2014/7/2,7.8747,2.2944,6.8145
2014/7/3,8.0664,2.305,6.8326
2014/7/4,8.0281,2.2971,6.8236
2014/7/7,8.0128,2.2734,6.8236
2014/7/8,7.9208,2.2681,6.8145
2014/7/9,7.8901,2.2602,6.7693
2014/7/10,7.8824,2.2629,6.7693
2014/7/11,7.9514,2.3786,6.7874
2014/7/14,7.8977,2.4681,6.8055
2014/7/15,7.8211,2.3734,6.8326
2014/7/16,7.8671,2.3839,6.8507
2014/7/17,7.66,2.3997,6.8236
2014/7/18,7.7981,2.3444,6.8326
2014/7/21,7.7061,2.3576,6.7874
2014/7/22,7.8134,2.355,6.8145
2014/7/23,7.6677,2.3155,6.8326
2014/7/24,7.5987,2.3155,6.9231
2014/7/25,7.5834,2.3129,6.9684
2014/7/28,7.6677,2.3313,7.1041
2014/7/29,7.6754,2.3707,7.0589
