ÈÕÆÚ,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH
2014/1/2,8.415,6.2197,5.17,,,15.7911,9.8679,29.1863,4.2543,6.9005,2.86,,19.6836,,,
2014/1/3,8.6494,6.4626,5.1783,,,15.7319,10.3488,29.6047,4.225,6.7462,2.83,,19.2712,,,
2014/1/6,8.7592,6.2731,4.9624,,,15.2384,10.5618,26.9949,4,6.5283,2.68,,19.1024,,,
2014/1/7,8.6893,6.5112,5.0745,,,16.1398,10.9514,27.1443,4.0392,6.5192,2.65,,19.9929,,,
2014/1/8,8.829,6.4772,5.0745,,,16.8109,11.3715,28.6783,4.0587,6.5737,2.67,,19.7023,,,
2014/1/9,9.233,6.2585,5.0745,,,16.903,11.1706,27.981,4,7.2274,2.9,,20.7052,,,
2014/1/10,8.8938,6.1031,5.0745,,,16.2188,10.9088,26.9252,4.137,7.3908,2.73,,20.5553,,,
2014/1/13,8.814,5.9038,5.0745,,,16.1201,10.6471,25.4808,4.0489,7.2728,2.68,,19.318,,,
2014/1/14,9.2131,6.0447,5.0745,,,17.7321,11.3228,26.7757,4.1761,7.5815,2.77,,19.8242,,,
2014/1/15,9.3128,5.967,5.0745,,,18.1926,11.2924,26.2279,4.1859,7.5724,2.81,,20.6678,,,
2014/1/16,9.228,6.0059,5.0745,,,18.4098,11.2619,26.5964,4.1565,7.4816,2.8,,20.5365,,,
2014/1/17,9.1233,5.8941,5.0745,,,18.5479,11.3471,28.1305,4.0196,7.3999,2.78,,20.9208,,,
2014/1/20,9.5124,5.69,5.0745,,,17.8966,11.1036,26.0685,4.0294,7.3999,2.71,,20.0398,,,
2014/1/21,9.652,5.724,5.0745,,,18.2716,11.2132,26.3773,4.0489,7.5815,2.71,,20.1241,,,
2014/1/22,9.7618,5.9233,5.0745,,,18.2387,11.3045,27.3236,4.1565,7.7903,2.78,,20.874,,,
