ÈÕÆÚ,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH
2014/1/2,7.3324,2.8522,4.6635,5.6888,8.1187,5.2523,3.0718,3.8397,3.7494,7.1714,1.495,5.6923,9.6,12.5372,3.266,5.5587,4.7233,,,,,,,,8.5037,,,6.34,10.2753,9.45,5.7445,1.4385,9.2812,4.4379,9.3506,2.5505,12.7208,,,,,,,,,,,,,,,,
2014/1/3,7.2198,2.776,4.5903,5.6391,8.0253,5.2352,2.9893,3.8864,3.5614,6.7603,1.4711,5.5605,9.5,12.1149,3.313,5.4406,4.6342,,,,,,,,8.493,,,6.21,10.1271,9.45,5.6789,1.4083,9.0752,4.1843,9.1667,2.5134,12.5333,,,,,,,,,,,,,,,,
2014/1/6,6.9104,2.6903,4.3937,5.4009,7.6063,5.16,2.8469,3.7697,3.3438,6.3568,1.4098,5.7093,9.17,11.6169,3.1205,5.3416,4.4463,,,,,,,,8.3651,,,5.99,9.7615,9.45,5.5642,1.3569,8.4963,4.0892,8.8356,2.4392,12.2521,,,,,,,,,,,,,,,,
2014/1/7,6.9479,2.695,4.0892,5.5001,7.6707,5.078,2.9975,3.8689,3.3685,6.3301,1.4187,5.6986,9.37,11.6703,3.4316,5.3644,4.4314,,,,,,,,8.4237,,,6.06,9.8801,9.45,5.6953,1.3992,8.408,4.0892,8.9239,2.4485,12.3288,,,,,,,,,,,,,,,,
2014/1/8,6.7229,2.7093,4.0584,5.4803,7.7062,5.1498,2.981,3.8864,3.2894,6.273,1.4008,5.6689,9.56,11.5502,3.3443,5.3758,4.4661,,,,,,,,8.2531,,,5.99,9.7813,9.45,5.6953,1.3841,8.0646,4.0496,8.9975,2.4114,12.397,,,,,,,,,,,,,,,,
2014/1/9,6.5166,2.6569,4.0353,5.3314,7.4774,4.8661,2.8882,3.7814,3.2053,6.0675,1.3709,5.637,9.3,11.3368,3.1764,5.3835,4.3721,,,,,,,,8.0185,,,5.95,9.8307,9.45,5.7937,1.3629,7.9763,4.0179,8.7768,2.3836,12.2948,,,,,,,,,,,,,,,,
2014/1/10,6.376,2.5808,4.0391,5.1924,7.3162,4.6987,2.8098,3.6355,3.2004,5.9685,1.3201,5.6094,9.11,10.8878,2.9839,5.3263,4.1693,,,,,,,,7.6986,,,5.84,9.8208,9.45,5.638,1.3327,8.5356,3.9307,8.5193,2.3465,11.7069,,,,,,,,,,,,,,,,
2014/1/13,6.301,2.5712,3.885,5.1725,7.3452,4.5791,2.8387,3.653,3.1509,6.0294,1.2961,5.5032,9,10.8033,2.9884,5.3492,4.2237,,,,,,,,8.3544,,,5.85,9.8603,9.45,5.6052,1.3327,8.4767,3.8673,8.5119,2.3465,11.5364,,,,,,,,,,,,,,,,
2014/1/14,6.3478,2.6141,3.9158,5.2817,7.4677,4.6133,2.8841,3.6997,3.1855,6.2007,1.3275,5.5244,9.3,11.0568,3.06,5.4025,4.3672,,,,,,,,9.1595,,,5.92,10.0974,9.45,5.7199,1.3629,8.6239,3.9228,8.7106,2.3836,11.6216,,,,,,,,,,,,,,,,
2014/1/15,6.4416,2.6236,3.9659,5.2917,7.2969,4.6543,2.8841,3.6939,3.1657,6.2045,1.341,5.5775,9.54,11.159,3.1003,5.513,4.4364,,,,,,,,9.3834,,,5.93,10.3247,9.45,5.6462,1.369,8.8495,3.899,8.7694,2.3743,11.562,,,,,,,,,,,,,,,,
2014/1/16,6.526,2.6188,4.1779,5.2817,7.3227,4.6919,2.8861,3.688,3.2201,6.2159,1.3634,5.569,9.49,11.0079,3.069,5.6311,4.4067,,,,,,,,9.2288,,,5.9,10.2259,9.45,5.8428,1.375,9.0163,3.9782,8.8871,2.3836,11.6302,,,,,,,,,,,,,,,,
2014/1/17,6.3291,2.5712,4.3243,5.2023,6.9456,4.6133,2.8655,3.618,3.1756,6.2236,1.3455,5.5244,9.55,10.7589,3.0734,5.6768,4.3919,,,,,,,,9.2341,,,5.76,10.3543,9.45,5.81,1.3478,9.1046,3.8673,8.7841,2.3372,11.4257,,,,,,,,,,,,,,,,
2014/1/20,6.5541,2.576,4.1933,5.2519,6.7941,4.5176,2.8077,3.5946,3.1113,5.9419,1.3156,5.518,9.59,10.6344,2.9817,5.5397,4.4661,,,,,,,,8.9089,,,5.72,10.3247,8.63,5.933,1.3448,9.242,3.8831,8.7915,2.3372,11.1786,,,,,,,,,,,,,,,,
2014/1/21,6.5635,2.6046,4.2549,5.3512,6.7973,4.5825,2.8572,3.653,3.2548,6.1056,1.353,5.5499,9.74,10.8478,3.0645,5.6806,4.5353,,,,,,,,9.2768,,,5.91,10.3642,8.58,5.8428,1.3569,9.2321,3.8752,8.9165,2.365,11.2979,,,,,,,,,,,,,,,,
2014/1/22,6.7698,2.6569,4.2896,5.4207,6.9617,4.7636,2.9088,3.723,3.3685,6.2426,1.3844,5.6583,9.87,11.1146,3.1496,5.6463,4.654,,,,,,,,9.7513,,,6,10.5815,8.54,5.9494,1.3932,9.3204,4.0258,9.0784,2.4207,11.5705,,,,,,,,,,,,,,,,
2014/1/23,6.6385,2.676,4.332,5.4009,7.0584,4.767,2.9418,3.7347,3.3883,6.254,1.3739,5.6965,9.81,11.2124,3.1719,5.7149,4.6837,,,,,,,,9.5913,,,5.96,10.5717,8.34,6.0559,1.3962,9.3008,3.9941,8.9828,2.4299,11.562,,,,,,,,,,,,,,,,
2014/1/24,6.601,2.695,4.2048,5.4306,7.0068,4.8456,3.0243,3.7522,3.3933,6.3378,1.4053,5.7008,9.92,11.2968,3.201,5.7035,4.7233,,,,,,,,9.7086,,,5.99,10.9669,8.36,6.6623,1.4113,8.9967,4.0416,9.0195,2.4299,11.758,,,,,,13.8849,,,,,,,,,,
2014/1/27,6.4979,2.6617,4.0815,5.3612,6.8038,4.7534,2.9563,3.7172,3.6554,6.5014,1.4217,5.7773,10.04,11.0612,3.2436,5.6159,4.6738,,,,,,,,9.8632,,,5.95,11.0064,8.03,6.7442,1.4415,9.6638,4.1129,9.0269,2.4299,11.6472,,,,,,12.52,,,,,,,,,,
2014/1/28,6.526,2.6617,4.1547,5.3512,6.8972,4.7807,3.1048,3.6822,3.5763,6.3987,1.4711,5.7581,9.87,11.2524,3.1854,5.5359,4.654,,,,,,,,10.8495,,,5.9,11.0163,7.23,6.9983,1.4294,9.6933,4.1526,8.9975,2.4485,11.7921,,,,,,12.0196,,,,,,,,,,
2014/1/29,6.4604,2.6617,4.0622,5.4108,6.981,4.767,3.0718,3.7055,3.7741,6.4558,1.4621,5.8431,9.99,11.2702,3.1988,5.5816,4.743,,,,,,,,10.631,,,5.89,11.2237,7.31,7.2031,1.4234,10.1053,4.1367,9.0048,2.4392,11.7665,,,,,,11.5192,,,,,,,,,,
2014/1/30,6.3666,2.6284,3.9813,5.4009,6.894,4.767,3.1461,3.7114,3.9126,6.353,1.4501,5.7985,9.88,11.1234,3.1831,5.6578,4.6441,,,,,,,,10.4284,,,5.85,11.2435,7.06,7.2031,1.4385,10.7332,4.1129,8.762,2.4392,11.7921,,,,,,10.9095,,,,,,,,,,
2014/2/7,6.4135,2.6617,4.0738,5.4902,6.9294,4.8046,3.177,3.758,4.3034,6.4519,1.4606,5.7985,10.05,11.0923,3.21,5.7606,4.6787,,,,,,,,10.5457,,,5.91,11.2435,7.4,7.1294,1.4325,10.7234,4.1526,8.8209,2.4485,11.8943,,,,,,11.0642,,,,,,,,,,
2014/2/10,6.6573,2.7522,4.2318,5.5895,7.2034,4.9413,3.2306,3.8397,4.4023,6.6423,1.4935,5.8601,10.12,11.5325,3.3085,5.9169,4.8321,,,,,,,,10.8069,,,6.06,11.451,7.8,7.195,1.4959,10.6253,4.3348,9.1078,2.4949,12.1073,,,,,,11.3281,,,,,,,,,,
