ÈÕÆÚ,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH
2014/1/2,4.35,8.0869,4.4457,3.31,4.76,3.0569,2.7426,3.632,2.9077,4.4976,18.7376,7.5321,8.3924,3.2568,11.7295,7.4887,,,4.3557,2.3919,4.6597,1.7637,4.1,5.0233,8.7652,3.3821,4.3514,,,,,0.8509
2014/1/3,4.31,7.9778,4.343,3.23,4.6723,3.0222,2.7245,3.4904,2.8635,4.459,18.6142,7.5321,7.9834,3.2259,12.0192,7.2015,,,4.5255,2.3721,4.5298,1.7637,4.08,5.033,8.4063,3.3283,4.2339,,,,,0.8359
2014/1/6,4.23,7.9233,4.2776,3.14,4.7271,2.8746,2.7065,3.3821,2.8267,4.2561,18.3008,7.5321,7.5491,3.1154,11.4573,7.0894,,,4.4456,2.3326,4.3627,1.6044,4.06,4.8672,8.0173,3.2207,4.0642,,,,,0.824
2014/1/7,4.17,7.7675,4.2869,3.17,4.7435,2.8746,2.7125,3.4071,2.8267,4.2947,18.2153,7.5321,7.6349,3.1331,11.4486,7.1314,,,4.3956,2.3622,4.5391,1.6044,4.26,4.7989,8.1669,3.2506,4.0642,,,,,0.827
2014/1/8,4.05,7.7908,4.2122,3.14,4.7161,2.8861,2.7185,3.3405,2.7678,4.3672,18.4242,7.5321,7.6652,3.1552,11.7734,7.2575,,,4.5455,2.3523,4.6597,1.6005,4.22,4.8477,8.0772,3.2028,4.0424,,,,,0.824
2014/1/9,4,7.7519,4.1282,3.08,4.5845,2.8746,2.6824,3.3321,2.7384,4.3479,16.9997,7.5321,7.3471,3.0845,11.4222,7.1804,,,4.5155,2.3128,4.5576,1.5539,4.33,4.8184,8.0772,3.1849,4.0511,,,,,0.8329
2014/1/10,3.95,7.4714,4.0441,3.06,4.5955,2.918,2.6524,3.3738,2.6574,4.116,16.5723,7.5321,7.1653,2.943,10.5355,7.1104,,,4.4956,2.3029,4.5576,1.5073,4.21,4.5941,7.6983,3.1311,4.0468,,,,,0.823
2014/1/13,4.02,7.1909,4.0254,3.07,4.5516,2.9238,2.6704,3.3238,2.6795,4.058,16.6198,7.5321,7.1754,2.9519,10.4038,7.0053,,,4.4556,2.3424,4.4648,1.5112,4.15,4.6136,7.5387,3.2267,3.9336,,,,,0.818
2014/1/14,4.15,7.4013,4.0908,3.11,4.5516,3.0222,2.7306,3.3904,2.7163,4.1595,16.9237,7.5321,7.3926,3.0005,10.7199,7.1314,,,4.4956,2.382,4.4927,1.5306,4.32,4.6916,7.6484,3.2685,4.0511,,,,,0.821
2014/1/15,4.26,7.2455,4.0441,3.1,4.4968,3.028,2.7546,3.4071,2.7458,4.1643,17.3131,7.5321,7.4734,3.0314,10.7638,7.1874,,,4.5955,2.382,4.437,1.5422,4.39,4.6429,7.798,3.2506,4.025,,,,,0.83
