ÈÕÆÚ,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH
2014/1/2,4.7465,11.8644,4.48,4.3,4.5028,2.3969,3.94,,6.1725,3.845,7.13,8.0765,7.42,5.67,4.7146,3.18,5.77,4.27,5.4678,3.63,2.5245,5.7152,5.3746,4.7423,3.79,8.42,5.3373,10.3305,4.7451,7.77,12.5554,,,0.8025
2014/1/3,4.6203,11.8829,4.39,4.29,4.3761,2.4085,3.94,,6.1725,3.7877,7.01,7.8449,7.48,5.49,4.6389,3.13,5.77,4.23,5.3849,3.68,2.5245,5.5676,5.264,4.636,3.82,8.28,5.1893,9.9792,4.5857,7.8,12.5356,,,0.7888
2014/1/6,4.5799,11.4109,4.09,4.15,4.191,2.3624,3.94,,6.1725,3.6109,6.74,7.5458,7.41,5.12,4.5347,3.02,5.77,4.13,5.3472,3.58,2.5245,5.3175,5.2058,4.3701,3.8,8.29,4.9525,9.6279,4.4566,7.57,12.0496,,,0.7692
2014/1/7,4.5698,11.3184,4.15,4.31,4.1715,2.3701,3.94,,6.1725,3.63,6.69,7.5554,7.39,5.3,4.5347,3.04,5.77,4.18,5.4075,3.54,2.5245,5.4073,5.3513,4.3459,3.76,8.7,4.9229,9.6469,4.487,7.75,12.0397,,,0.7663
2014/1/8,4.489,11.2073,4.16,4.18,4.152,2.3355,3.94,,6.1725,3.5823,6.5,7.5747,7.55,5.17,4.5631,2.99,5.77,4.32,5.3924,3.44,2.5245,5.388,5.4794,4.2396,3.78,8.99,4.9328,9.5329,4.5477,7.59,11.9901,,,0.7692
2014/1/9,4.388,10.8279,4.07,4.09,4.1325,2.3163,3.94,,6.1725,3.5297,6.41,7.3817,7.76,4.91,4.7051,2.93,5.77,4.24,5.415,3.42,2.5245,5.3944,5.2582,4.2299,3.81,8.57,4.9032,9.4,4.4414,7.38,11.8909,,,0.7692
2014/1/10,4.3981,10.5318,3.97,4.08,4.035,2.2202,3.94,,6.1725,3.5297,6.47,7.1791,7.81,4.68,4.6483,2.86,5.77,4.13,5.2567,3.26,2.5245,5.4137,4.9961,4.1912,3.78,8.79,4.7552,9.2196,4.5173,7.75,11.9901,,,0.7692
2014/1/13,4.4233,10.5873,4.06,4.08,4.0155,2.2164,3.94,,6.1725,3.5202,6.58,7.2274,8.15,4.72,4.6957,2.83,5.77,4.1,5.1888,3.25,2.5245,5.4586,5.0718,4.2057,3.76,8.29,4.7453,9.324,4.3883,7.73,12.0496,,,0.7643
2014/1/14,4.4284,10.7724,4.15,4.14,4.113,2.2548,3.94,,6.1725,3.568,6.88,7.3721,8.15,4.82,4.7335,2.92,5.77,4.16,5.2944,3.31,2.5245,5.7216,5.0951,4.2686,3.74,8.46,4.8539,9.5424,4.4338,8.12,12.0992,,,0.7712
2014/1/15,4.5243,10.9112,4.09,4.13,4.0837,2.2663,3.94,,6.1725,3.568,6.78,7.3721,8.15,4.78,4.9229,2.9,5.77,4.14,5.4377,3.29,2.5245,5.7665,5.0427,4.2686,3.69,8.67,4.8243,9.4665,4.4414,8.17,11.8711,,,0.7682
