ÈÕÆÚ,000034.SZ,000158.SZ,000555.SZ,000606.SZ,000662.SZ,000938.SZ,000948.SZ,002063.SZ,002065.SZ,002072.SZ,002153.SZ,002195.SZ,002212.SZ,002230.SZ,002232.SZ,002253.SZ,002279.SZ,002280.SZ,002312.SZ,002316.SZ,002331.SZ,002362.SZ,002368.SZ,002373.SZ,002380.SZ,002401.SZ,002405.SZ,002410.SZ,002417.SZ,002421.SZ,002439.SZ,002474.SZ,002530.SZ,002537.SZ,002609.SZ,002642.SZ,002649.SZ,002657.SZ,002766.SZ,002771.SZ,002777.SZ,002920.SZ,300002.SZ,300010.SZ,300020.SZ,300033.SZ,300036.SZ,300044.SZ,300047.SZ,300074.SZ,300075.SZ,300079.SZ,300085.SZ,300096.SZ,300150.SZ,300166.SZ,300167.SZ,300168.SZ,300170.SZ,300188.SZ,300209.SZ,300212.SZ,300229.SZ,300231.SZ,300235.SZ,300245.SZ,300248.SZ,300250.SZ,300253.SZ,300264.SZ,300271.SZ,300277.SZ,300287.SZ,300288.SZ,300290.SZ,300297.SZ,300300.SZ,300311.SZ,300324.SZ,300330.SZ,300339.SZ,300344.SZ,300348.SZ,300352.SZ,300365.SZ,300366.SZ,300367.SZ,300369.SZ,300377.SZ,300378.SZ,300379.SZ,300380.SZ,300399.SZ,300419.SZ,300440.SZ,300448.SZ,300451.SZ,300454.SZ,300465.SZ,300468.SZ,300469.SZ,300496.SZ,300508.SZ,300520.SZ,300523.SZ,300525.SZ,300532.SZ,300541.SZ,300542.SZ,300550.SZ,300552.SZ,300556.SZ,300559.SZ,300561.SZ,300579.SZ,300588.SZ,300598.SZ,300605.SZ,300608.SZ,300609.SZ,300624.SZ,300634.SZ,300645.SZ,300659.SZ,300663.SZ,300674.SZ,300678.SZ,300682.SZ,300687.SZ,300730.SZ,300738.SZ,300766.SZ,300768.SZ,300773.SZ,600271.SH,600410.SH,600446.SH,600476.SH,600536.SH,600570.SH,600571.SH,600588.SH,600602.SH,600654.SH,600701.SH,600718.SH,600728.SH,600756.SH,600797.SH,600845.SH,600850.SH,601360.SH,601519.SH,603039.SH,603138.SH,603189.SH,603232.SH,603383.SH,603508.SH,603528.SH,603636.SH,603869.SH,603881.SH,603918.SH,603927.SH,603990.SH,688030.SH,688066.SH,688088.SH,688168.SH,688188.SH,900901.SH,900926.SH
2014/1/2,4.1357,3.1758,12.3876,6.8242,4.2285,13.9473,5.928,10.2349,8.0459,6.68,15.5494,1.0755,4.076,12.3458,8.2575,17.4634,3.7022,2.0538,6.3002,8.744,6.5507,13.25,20.477,5.5634,11.0956,8.3058,5.4512,14.7862,6.87,2.6496,8.1385,5.6271,3.6302,3.2958,4.231,11.8594,9.6602,9.3352,,,,,9.8346,5.377,11.381,5.7423,4.6138,3.3494,6.2187,9.5169,12.763,5.1341,5.5352,10.2421,4.4644,4.6507,11.2302,6.8274,5.1296,5.3291,9.5022,17.5105,8.9631,5.2899,9.829,7.6144,2.8195,10.7548,5.4347,3.5797,7.189,4.8617,4.1856,16.7824,4.9691,3.6875,6.5689,4.2231,2.1755,10.229,6.7544,3.5619,4.958,2.8851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3985,4.7805,5.0577,9.12,18.1725,15.5048,7.8121,5.3762,5.4116,7.2879,4.3339,12.1607,5.9963,12.9941,5.276,9.2765,15.0401,7.7103,5.5871,,,,,,,,,,,,,,,,,,,0.4486,0.6682
2014/1/3,4.1553,3.1379,12.7594,6.6748,4.1524,15.342,5.9431,10.0905,8.2339,6.84,15.6152,1.0755,4.0364,12.0838,9.0852,17.4053,3.7022,2.0553,6.3713,8.754,6.8591,13.07,21.5503,6.1198,11.0156,8.5814,5.5831,15.2992,6.9,2.5814,8.1582,5.7016,3.624,3.227,4.5748,11.9656,9.7242,9.4885,,,,,9.9614,5.377,11.1305,5.785,4.6596,3.3494,6.2187,9.3969,13.6841,5.2056,5.6673,10.8359,4.483,4.7211,11.2302,6.8743,5.1759,5.2861,10.4504,17.9175,8.9631,5.3368,10.3861,7.8406,2.8195,11.3684,5.978,3.503,7.4589,4.6459,4.5432,16.9647,4.9,3.6472,6.4857,4.1805,2.2305,10.1299,6.9303,3.6941,4.979,2.9579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3623,4.7174,5.1661,9.01,18.9586,15.0463,8.0342,5.5559,5.1785,7.1304,4.2143,12.3645,5.9734,13.4358,5.2169,9.3576,14.9027,7.7103,5.6053,,,,,,,,,,,,,,,,,,,0.4381,0.6724
2014/1/6,4.0178,3.0091,12.5165,6.3759,4.0156,14.5565,6.2767,9.652,7.9054,6.84,15.2072,1.0755,3.9474,11.5882,9.4794,17.1664,3.7022,2.0276,6.1613,8.5845,6.6672,12.47,20.7534,6.3857,10.3399,8.2665,5.3457,15.0118,6.65,2.7446,8.0645,5.4485,3.6363,3.0737,4.1997,12.0851,9.3498,9.099,,,,,9.4315,5.377,10.8218,5.4531,4.6168,3.3494,6.2187,8.9208,13.5558,5.1218,5.3035,10.8279,4.3578,4.7965,10.8865,6.7062,4.9481,4.9789,9.9763,18.4714,8.9631,5.2586,10.0441,7.6396,2.8195,10.7838,5.8754,3.408,7.3103,4.3556,4.5407,16.2389,4.8111,3.4658,6.1598,3.8749,2.1936,9.7547,7.0359,3.4196,4.6386,2.8632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0459,4.6193,4.9526,8.8,18.5136,14.4827,7.8026,5.3293,4.8967,6.8842,4.0549,11.8793,5.8591,12.9058,4.9901,9.5087,14.3676,7.4795,5.3781,,,,,,,,,,,,,,,,,,,0.4276,0.6616
2014/1/7,4.0473,3.0318,12.3678,6.4158,4.046,14.3854,6.0114,9.9996,7.9078,6.84,15.7501,1.0755,3.9375,11.5779,8.6911,17.1664,3.7022,2.0353,6.1748,8.6543,6.6604,12.7,20.3099,6.5826,10.5993,8.5092,5.438,15.025,6.68,2.8128,7.882,5.7859,3.6425,3.127,4.1827,12.1846,9.8554,9.3228,,,,,9.7631,5.377,10.6473,5.5029,4.785,3.3494,6.2187,9.0781,14.1446,5.3806,5.2231,11.3659,4.5015,5.08,10.8402,6.6468,5.0768,5.1171,9.7626,18.1096,8.9631,5.3994,10.1765,7.7903,3.1015,10.4891,6.169,3.4628,7.3153,4.4537,4.8248,16.2654,5.0909,3.5038,6.1465,3.9258,2.2921,9.9812,7.039,3.6771,4.6713,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0504,4.7945,5.0084,8.73,18.3703,14.5503,7.9255,5.3997,4.9161,6.766,4.1147,11.5784,6.0801,13.0334,5.0394,9.2471,14.3097,7.618,5.4327,,,,,,,,,,,,,,,,,,,0.4334,0.6616
2014/1/8,3.8999,2.9788,12.9626,6.1966,3.9851,14.5364,6.0114,9.9515,8.1649,6.84,15.7567,1.0755,3.9573,11.6703,8.6123,17.7281,3.7022,2.0599,6.5102,8.8537,6.7906,13.03,21.3382,6.6712,10.8298,8.5355,5.6007,15.1444,6.7,2.7935,8.6712,6.0589,3.6918,3.0915,4.2736,12.6558,9.9482,9.5299,,,,,10.4068,5.377,10.7815,5.7352,4.678,3.3494,6.2187,9.7694,14.1775,5.462,5.2097,10.8917,4.5664,5.1341,10.675,7.1834,5.2716,5.6301,10.3302,19.9183,8.9631,5.534,10.8714,7.9411,3.0426,10.6099,6.2418,3.5468,7.5431,4.4772,4.8493,17.2662,5.0316,3.8533,6.7086,4.3181,2.403,10.1865,7.087,3.8059,4.8677,3.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2584,4.8155,5.1759,8.59,19.5913,14.4827,8.1665,5.4465,4.8384,6.7758,4.0749,11.8307,6.2172,13.4456,5.5423,9.7299,14.223,7.5626,5.5689,,,,,,,,,,,,,,,,,,,0.4353,0.6735
2014/1/9,3.8508,2.9257,13.0965,5.9575,3.9623,14.9443,5.8522,9.9461,7.8126,6.84,15.9968,1.0755,3.9573,11.6652,8.3955,17.4053,3.7022,2.0183,6.4458,8.8038,6.4822,13.02,21.5953,6.75,10.3527,8.3452,5.7062,14.9233,6.65,2.7134,8.5035,5.8802,3.5932,3.0226,3.9866,12.3505,9.593,9.1943,,,,,10.1272,5.377,10.8978,5.5479,4.5221,3.3494,6.2187,9.5211,14.0788,5.388,5.0872,11.1348,4.3856,4.9161,10.6816,6.9238,5.1263,5.4396,9.9363,19.9636,8.9631,5.2367,10.4136,7.7803,2.9209,10.1992,6.2284,3.5395,7.2682,4.3791,4.9595,17.6407,4.64,3.8533,6.7718,4.2259,2.3866,9.8892,6.7416,3.6093,4.5888,3.3544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0007,4.7244,5.1234,8.44,20.323,14.3023,7.675,5.4309,4.8287,6.6872,3.9653,12.3451,6.0953,13.475,6.0946,10.1021,14.2302,7.4887,5.4327,,,,,,,,,,,,,,,,,,,0.4343,0.6794
2014/1/10,3.7231,2.9409,13.726,5.7383,3.8178,13.5344,5.6096,9.8017,7.6722,6.84,15.806,1.0755,3.9078,11.6729,7.8141,17.1083,3.4304,1.9274,6.3306,8.8637,6.2218,12.54,21.1583,6.5629,10.2438,8.2009,5.5523,14.2468,6.42,2.5992,7.6527,5.9398,3.4391,3.0204,3.9809,11.6537,9.4586,8.954,,,,,10.1272,5.377,10.5981,5.2753,4.2102,3.3494,6.2187,9.2396,13.4867,5.2327,5.3035,11.071,4.2187,4.7523,11.1178,6.8249,4.9415,5.4949,9.569,19.2344,8.9631,5.0144,10.1268,7.6898,2.6958,9.7547,6.169,3.2875,6.9091,4.2496,4.7697,18.1809,4.2978,3.8824,6.7019,4.5191,2.2782,9.4361,6.4666,3.9144,4.5954,3.0911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7566,4.4791,5.1628,8.31,19.9522,14.0543,7.7081,5.3997,4.683,6.5001,4.035,12.1219,5.7791,12.9058,5.7395,9.951,13.3047,7.3409,5.1601,,,,,,,,,,,,,,,,,,,0.4296,0.6731
2014/1/13,3.7919,2.9788,13.726,5.4195,3.8711,13.6301,5.5944,9.5183,7.5008,6.84,17.2274,1.0755,3.888,11.6935,7.8338,16.7339,3.4999,2.12,6.2866,8.9035,6.2767,12.18,20.2199,6.5678,10.0453,7.8269,5.3545,14.3529,6.34,2.571,7.9905,6.1085,3.4823,3.1026,4.0434,11.2157,9.5994,9.1405,,,,,10.1272,5.377,10.5355,5.2112,4.2194,3.3494,6.2187,9.5211,13.6512,5.2697,5.5678,10.8797,4.126,4.5835,10.708,6.8941,4.8689,5.5717,9.4488,19.0479,8.9631,4.98,10.0827,7.4385,2.7546,9.8562,6.1021,3.2364,6.8968,4.2614,4.4574,18.6648,4.278,3.8712,6.672,4.6251,2.2568,9.6273,6.5337,3.9449,4.6347,3.0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0468,4.3599,5.4288,8.28,19.5221,13.9566,7.6278,5.5091,4.7121,6.6478,3.9752,11.7725,5.7867,12.3954,5.6902,10.1684,13.348,7.1747,5.2328,,,,,,,,,,,,,,,,,,,0.4276,0.6756
2014/1/14,3.8606,3.0015,13.0469,5.559,3.9015,14.5565,5.7006,9.5451,7.5936,6.84,17.6682,1.0755,3.9375,12.3895,8.3265,17.5151,3.7263,2.0861,6.3611,8.7041,6.448,12.74,20.1171,6.9863,10.4808,7.9253,5.715,15.6308,6.53,2.6541,8.0399,6.1432,3.5377,3.167,4.2651,11.7466,9.7594,9.7454,,,,,10.1272,5.377,11.0499,5.3582,4.3906,3.3494,6.2187,9.935,14.3321,5.5926,5.6099,11.1149,4.2929,4.7047,10.8336,7.1983,5.1693,5.713,10.397,20.2744,8.9631,5.1396,10.5074,7.8657,2.8317,10.4601,6.0434,3.4263,7.0775,4.4654,4.5064,18.6449,4.5314,3.9788,7.0312,4.804,2.3094,10.0449,6.7544,4.0059,4.759,3.2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1191,4.451,5.836,9.11,19.5221,13.9942,7.7837,5.6536,4.8093,6.6478,4.1346,12.4422,6.0115,12.6899,5.8579,10.2237,13.4927,7.2763,5.2782,,,,,,,,,,,,,,,,,,,0.4391,0.6798
2014/1/15,3.8508,2.9939,13.1163,5.7882,3.9167,14.8033,5.7688,9.9461,7.6864,6.84,18.5895,1.0755,3.9276,12.5333,8.159,17.7668,3.9166,2.08,6.6829,8.8138,6.6467,12.95,20.3163,6.7648,10.7018,8.0565,5.7941,16.1437,6.6,2.6482,8.178,6.1631,3.5686,3.1803,4.427,12.2112,10.1274,9.6584,,,,,10.1272,5.377,11.4973,5.4886,4.4762,3.3494,6.2187,10.0965,14.4077,5.5704,5.5946,11.2105,4.585,5.0833,10.7609,7.2205,5.3079,5.6178,10.4705,20.0653,8.9631,5.1021,10.4964,8.0618,3.0203,10.6244,6.2054,3.5578,7.2435,4.5557,4.6779,19.2878,4.5972,3.9183,7.5833,4.7669,2.4655,10.2997,6.9623,4.016,5.013,3.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2954,4.5772,5.8459,9.25,19.4727,13.8965,7.7695,6.1381,4.8481,6.6478,4.1247,12.7527,6.061,12.9352,6.1636,10.3417,13.2974,7.4702,5.3872,,,,,,,,,,,,,,,,,,,0.4381,0.6816
