ÈÕÆÚ,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH
2014/1/2,3.8476,10.2808,9.3515,6.9748,5.4367,4.5697,7.2767,8.6739,11.9323,7.6771,10.3247,6.034,4.7792,6.4884,16.8546,,,8.2289,12.5265,4.1065,6.8044,9.022,21.09,7.0169,4.8544,6.2531,,,,,,,,,,9.7607,5.5,16.1042,,,,,
2014/1/3,3.8673,10.5301,9.4538,6.7608,5.9823,4.5697,7.3442,8.553,11.9207,7.6385,10.6141,6.223,4.9337,6.5273,16.6953,,,8.099,12.4271,4.1065,7.1797,8.9329,20.9124,7.2605,4.942,6.1629,,,,,,,,,,9.6362,5.41,16.0448,,,,,
2014/1/6,3.7884,10.4032,8.9157,6.652,6.3494,4.5697,6.976,8.2679,12.5695,7.3588,10.3807,6.1699,4.9337,6.1387,17.5614,,,7.6704,12.2532,4.1065,6.9284,8.3054,20.7671,6.8544,4.7887,5.8699,,,,,,,,,,9.1381,5.24,15.7184,,,,,
2014/1/7,3.8969,10.4032,8.9749,6.6928,6.5081,4.5697,7.1233,8.615,12.8475,7.2045,10.8288,6.1997,4.9773,6.1659,19.3136,,,7.8977,12.3029,4.1065,6.8435,8.4474,20.7779,7.1252,4.7741,6.0792,,,,,,,,,,9.2148,5.26,15.7382,,,,,
2014/1/8,3.8969,10.9447,9.1901,6.7608,6.5875,4.5697,7.4853,9.2968,12.4594,7.3781,11.1649,6.2661,5.223,6.5778,19.7118,,,8.0795,12.7801,4.1065,7.3396,8.7512,21.246,7.238,5.0355,6.2531,,,,,,,,,,9.3393,5.2,16.5691,,,,,
2014/1/9,3.8969,10.6728,8.6574,6.4142,6.3395,4.5697,7.3012,9.052,12.4536,7.272,10.7074,6.15,5.3102,6.3058,18.1289,,,7.8717,12.1289,4.1065,7.0165,8.355,20.4443,6.7461,4.8179,5.9472,,,,,,,,,,9.1956,5.23,15.5305,,,,,
2014/1/10,3.7983,10.3511,8.34,6.4074,6.1212,4.5697,7.3564,8.7328,11.8107,7.0598,10.4274,6.024,5.0407,6.2903,18.8258,,,7.5729,11.6268,4.1065,7.4734,8.2097,20.5089,6.7597,4.8471,6.1501,,,,,,,,,,9.4351,4.99,15.4513,,,,,
2014/1/13,3.6799,10.2785,8.2862,6.1696,6.0914,4.5697,7.516,8.488,11.8454,7.0405,10.138,6.1334,4.8664,6.5156,20.7073,,,7.6054,11.3982,4.1065,7.5354,8.3252,20.1215,6.9266,4.7508,6.427,,,,,,,,,,9.3393,4.92,15.1348,,,,,
2014/1/14,3.7391,10.6026,8.722,6.4312,6.3593,4.5697,7.7062,8.8165,12.164,7.272,10.4087,6.2097,5.1556,6.8614,22.7781,,,7.9042,11.7113,4.1065,8.2893,8.6819,20.2829,7.2335,4.9479,6.5365,,,,,,,,,,9.2722,4.97,15.3722,,,,,
2014/1/15,3.749,10.7408,8.6574,6.6588,6.2601,4.5697,7.6816,8.7948,12.193,7.3106,10.4927,6.2859,5.2943,6.8847,24.57,,,7.9626,11.8605,4.1065,8.6417,8.8272,20.0677,7.2109,5.0515,6.5139,,,,,,,,,,9.8278,4.99,15.5997,,,,,
2014/1/16,3.749,10.5731,8.5713,6.6249,6.1014,4.5697,7.4914,8.7855,11.9613,7.3395,10.7821,6.2661,5.3102,6.7915,24.5601,,,7.9302,11.433,4.1065,8.7298,8.8173,19.6319,7.0304,4.9158,6.3851,,,,,,,,,,9.6937,5.05,15.7085,,,,,
2014/1/17,3.6503,10.4915,8.4422,6.3565,6.1609,4.5697,7.5098,8.866,11.7006,7.1852,10.7914,6.4782,5.334,6.7138,25.9339,,,8.3069,10.7867,4.1065,8.7135,8.705,19.605,7.2425,4.9026,6.3529,,,,,,,,,,9.6554,4.94,15.9756,,,,,
2014/1/20,3.7391,10.4915,8.5391,6.3021,5.9922,4.5697,7.7,8.7545,11.7296,7.137,10.8848,6.4186,5.5163,6.6749,28.5323,,,8.8589,10.4239,4.1065,8.5667,8.0544,19.3683,7.0349,4.7625,6.1951,,,,,,,,,,9.8565,4.86,15.8965,,,,,
2014/1/21,3.7983,10.2627,8.8027,6.3259,6.1411,4.5697,8.105,9.0086,11.857,7.4649,11.3142,6.5678,5.5717,6.8964,31.3895,,,8.8329,10.3095,4.1065,9.0333,8.2394,20.7026,7.1883,4.8179,6.4721,,,,,,,,,,9.8948,4.88,15.8074,,,,,
2014/1/22,3.9068,10.6706,8.9049,6.5094,6.3593,4.5697,8.5897,9.4084,12.3088,7.542,11.6316,6.6341,5.6827,6.9546,30.0754,,,8.8524,10.7768,4.1065,8.8604,8.3351,21.0631,7.3237,4.907,6.5107,,,,,,,,,,10.0481,5.03,16.7373,,,,,
2014/1/23,3.9463,11.228,9.4591,6.9102,6.4486,4.5697,8.5529,9.9786,12.7838,7.6578,11.5663,6.6374,5.6629,7.0945,30.4637,,,8.8329,10.9856,4.1065,8.8767,8.7017,21.8862,7.5132,5.1654,6.6653,3.3605,,,,,,,,,10.3834,5.03,16.5098,,,,,
2014/1/24,3.9265,10.6955,10.0241,6.9374,6.3891,4.5697,8.4976,9.991,12.9402,7.7928,11.7716,6.7335,5.5876,7.3354,29.3586,,,8.7355,11.09,4.1065,9.1737,9.164,22.8277,7.5132,5.1464,6.6717,3.697,,,,,,,,,10.3738,5.1,16.5493,,,,,
2014/1/27,4.0844,10.444,10.0671,7.1854,6.2502,4.5697,8.3136,10.0002,13.0039,7.7542,11.7156,6.7368,5.7025,7.1411,28.5721,,,8.6901,11.0403,4.1065,9.3989,9.5438,22.8008,7.6486,5.2764,6.6685,4.0669,,,,,,,,,10.0577,5.02,16.0251,,,,,
