ÈÕÆÚ,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH
2014/1/2,2.76,7.35,2.7369,4.8373,7.5297,6.2824,2.223,9.9322,6.3656,4.0997,3.051,6.3702,6.5512,3.4195,4.5351,,,,,,,,,,9.6819,,4.4332,2.7985,4.2627,9.3187,,,,,,,
2014/1/3,2.7,7.18,2.7826,4.7935,7.6048,6.1979,2.2196,9.7542,6.2873,4.1114,3.0468,6.3671,6.6878,3.3931,4.5642,,,,,,,,,,9.8434,,4.5207,2.72,4.1534,9.2121,,,,,,,
2014/1/6,2.65,6.82,2.7108,4.6678,7.4047,6.1579,2.1684,10.0376,6.1306,4.2584,3.0157,6.263,6.3463,3.2818,4.5654,,,,,,,,,,9.5931,,4.2874,2.6415,4.0292,9.109,,,,,,,
2014/1/7,2.66,6.85,2.6912,4.799,7.8499,6.3446,2.1616,9.7213,6.1502,4.2864,2.9991,6.5847,6.3975,3.3111,4.5642,,,,,,,,,,9.5043,,4.1804,2.659,4.064,9.4893,,,,,,,
2014/1/8,2.66,6.79,2.6977,4.7881,8.0501,6.2824,2.1616,10.0047,6.4439,4.1954,3.051,6.7297,6.3634,3.3697,4.7248,,,,,,,,,,10.2068,,4.2485,2.6415,4.0044,9.5142,,,,,,,
2014/1/9,2.66,6.96,2.7043,4.6897,7.8149,6.3402,2.1308,9.7806,6.2775,4.34,3.1112,6.6383,6.039,3.399,4.5851,,,,,,,,,,9.8757,,4.2874,2.6067,3.9945,9.2085,,,,,,,
2014/1/10,2.65,6.98,2.6389,4.6787,7.87,6.0468,2.0762,9.1611,6.346,4.4147,3.1112,6.468,5.9707,3.355,4.6352,,,,,,,,,,9.4235,,4.1415,2.5718,4.0491,9.1552,,,,,,,
2014/1/13,2.53,7.21,2.5867,4.5968,8.2302,5.9489,2.0933,8.7129,6.4831,4.2397,3.1112,6.5594,6.0503,3.3287,4.8481,,,,,,,,,,9.5123,,4.0638,2.5544,4.0094,9.3116,,,,,,,
2014/1/14,2.59,7.27,2.6389,4.6842,9.0557,6.1134,2.1138,9.0951,6.4929,4.2,3.1112,6.7518,6.1812,3.3463,4.8924,,,,,,,,,,9.8999,,4.1901,2.5979,4.0938,9.3862,,,,,,,
2014/1/15,2.56,7.3,2.6716,4.7881,9.1758,6.1134,2.1172,10.0047,6.4342,4.5267,3.1112,6.5405,6.1016,3.4547,4.8446,,,,,,,,,,10.013,,4.2388,2.5892,4.069,9.3969,,,,,,,
