ÈÕÆÚ,000026.SZ,000587.SZ,000663.SZ,000910.SZ,002084.SZ,002240.SZ,002301.SZ,002345.SZ,002348.SZ,002356.SZ,002489.SZ,002571.SZ,002572.SZ,002574.SZ,002575.SZ,002605.SZ,002615.SZ,002631.SZ,002678.SZ,002721.SZ,002731.SZ,002740.SZ,002790.SZ,002798.SZ,002853.SZ,002862.SZ,002867.SZ,002899.SZ,200026.SZ,200168.SZ,300329.SZ,300616.SZ,300640.SZ,300651.SZ,300703.SZ,300729.SZ,300749.SZ,600086.SH,600135.SH,600337.SH,600439.SH,600539.SH,600612.SH,600735.SH,600891.SH,600978.SH,601996.SH,603008.SH,603021.SH,603059.SH,603180.SH,603208.SH,603226.SH,603268.SH,603313.SH,603326.SH,603385.SH,603389.SH,603398.SH,603600.SH,603661.SH,603709.SH,603801.SH,603816.SH,603818.SH,603833.SH,603838.SH,603848.SH,603898.SH,603899.SH,603992.SH,900905.SH
2014/1/2,6.8894,6.1671,11.53,4.9177,4.6455,15.79,5.2,5.4386,3.237,4.1835,2.043,10.68,9.7821,8.6689,4.6104,9.9335,4.5688,4.0595,5.2227,,,,,,,,,,5.6389,3.13,5.1676,,,,,,,5.8105,7.925,2.2472,3.912,5.79,20.7059,4.9113,5.9592,5.0466,3.4163,10.077,,,,,,,,,,,,,,,,,,,,,,,,1.8709
2014/1/3,6.8894,6.1671,11.15,4.8502,4.6742,17.37,5.2193,5.496,3.3649,4.1835,2.1738,10.85,9.5881,9.0114,4.714,9.7054,4.5261,3.8778,5.1931,,,,,,,,,,5.6303,3.1,5.1895,,,,,,,5.724,7.8364,2.1834,3.834,5.71,20.7925,4.7931,5.969,5.0293,3.3411,9.9021,,,,,,,,,,,,,,,,,,,,,,,,1.8609
2014/1/6,6.7431,6.1671,10.63,4.7152,4.6169,17.78,5.1293,5.3477,3.2173,4.1835,2.1441,10.6,9.223,9.0729,4.4842,9.4531,4.1962,3.6347,5.0897,,,,,,,,,,5.4926,3.01,4.9158,,,,,,,5.8871,7.4919,2.0857,3.6938,5.59,20.1262,4.5961,5.832,4.8306,3.1578,9.2413,,,,,,,,,,,,,,,,,,,,,,,,1.8249
2014/1/7,6.7248,6.1671,10.71,4.6863,4.6838,17.7,5.1165,5.2138,3.2223,4.1835,2.1995,10.67,9.0105,9.4374,4.4932,9.4142,4.2451,3.6543,5.0454,,,,,,,,,,5.4926,3.04,4.987,,,,,,,5.8604,7.5214,2.1044,3.6236,5.56,19.7368,4.629,5.5776,4.7701,3.1719,9.3288,,,,,,,,,,,,,,,,,,,,,,,,1.831
2014/1/8,6.7888,6.1671,10.65,4.6863,4.722,18.03,5.1807,5.2807,3.237,4.1835,2.1976,11.2,9.0474,9.4505,4.4977,9.5161,4.3774,3.5487,5.1341,,,,,,,,,,5.5701,2.96,5.0964,,,,,,,5.7639,7.2753,2.0819,3.6158,5.38,19.5378,4.6093,5.5873,5.0639,3.1296,9.3191,,,,,,,,,,,,,,,,,,,,,,,,1.864
2014/1/9,6.6699,6.1671,10.69,4.6766,4.5786,16.43,5.155,5.1133,3.2714,4.1835,2.1381,11.06,9.0567,9.3979,4.6645,9.6569,4.296,3.6494,5.2818,,,,,,,,,,5.4409,2.97,5.0527,,,,,,,5.7673,7.0489,2.0218,3.3665,5.13,19.46,4.5764,5.4993,5.0207,3.1061,9.251,,,,,,,,,,,,,,,,,,,,,,,,1.8725
2014/1/10,6.313,6.1671,10.84,4.5031,4.4161,17.5,4.9686,5.0942,3.1632,4.1835,2.1183,11.42,8.8072,9.1739,4.7861,9.2201,4.1128,3.8532,5.1931,,,,,,,,,,5.3807,2.95,4.872,,,,,,,5.897,7.0784,2.1683,3.2418,5.09,18.8889,4.3926,5.3525,4.9948,3.0122,8.6486,,,,,,,,,,,,,,,,,,,,,,,,1.8548
2014/1/13,6.1758,6.1671,10.82,4.6574,4.4161,16.98,4.8015,5.1085,3.1878,4.6013,2.0747,11.72,8.6824,9.209,5.0475,9.2104,4.072,3.6961,5.267,,,,,,,,,,5.3204,2.89,4.8994,,,,,,,5.7939,7.3737,2.1834,3.2807,5.05,18.6726,4.3729,5.3819,4.8479,3.0357,8.8915,,,,,,,,,,,,,,,,,,,,,,,,1.8425
2014/1/14,6.3405,6.1671,11.23,4.6863,4.5022,16.8,4.9815,5.1181,3.1977,5.0612,2.1738,11.79,9.126,9.657,5.034,9.4531,4.1799,3.8066,5.4148,,,,,,,,,,5.4668,2.9,5.0746,,,,,,,5.8505,7.4131,2.2548,3.4366,5.12,18.8889,4.4451,5.4699,4.9083,3.1061,9.0275,,,,,,,,,,,,,,,,,,,,,,,,1.8418
2014/1/15,6.313,6.1671,11.34,4.6477,4.6455,18.05,4.9622,5.1325,3.2665,5.1245,2.1797,11.62,9.0798,9.657,4.9844,9.7976,4.3062,3.782,5.4443,,,,,,,,,,5.4754,2.88,5.1402,,,,,,,5.7473,7.3344,2.2999,3.382,5.13,19.2523,4.4845,5.4112,4.8738,3.1531,8.8332,,,,,,,,,,,,,,,,,,,,,,,,1.8341
