ÈÕÆÚ,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH
2014/1/2,2.378,4.75,5.3609,2.0977,2.8579,4.9277,2.9237,7.1503,1.6674,4.1526,3.1676,1.7858,6.1138,2.5714,5.2544,10.3752,1.9954,10,3.1877,2.3291,,,
2014/1/3,2.3322,4.51,5.3509,2.1074,2.8626,4.8966,2.9064,7.1768,1.6587,4.1035,3.1368,1.7704,6.0739,2.5351,5.217,10.0333,1.967,9.92,3.1484,2.3291,,,
2014/1/6,2.2711,4.46,5.3709,2.0589,2.8953,5.0121,2.7729,7.0002,1.6326,3.9464,3.0138,1.7242,5.8446,2.4533,5.1051,9.7207,1.9197,9.71,2.9614,2.2319,,,
2014/1/7,2.2711,4.38,5.3409,2.0589,2.8719,4.9766,2.7804,7.0267,1.6283,3.9857,3.0138,1.7242,5.9842,2.4624,5.0771,9.9356,1.9103,9.76,2.9713,2.227,,,
2014/1/8,2.2252,4.26,5.3509,2.0394,2.8579,5.0343,2.7482,7.2209,1.6283,4.0053,2.9907,1.7242,6.0839,2.4624,5.0491,10.9321,1.8913,9.67,3.0106,2.1978,,,
2014/1/9,2.1794,4.12,5.2611,1.9812,2.7501,4.8966,2.7408,7.009,1.6326,4.0151,2.9446,1.6857,6.0939,2.426,5.0584,10.6488,1.863,9.48,2.9516,2.1395,,,
2014/1/10,2.154,4.08,5.1213,1.9423,2.6517,4.5989,2.6172,6.8237,1.5979,3.9955,2.86,1.6626,6.1837,2.3988,4.9931,10.8246,1.8346,9.25,2.9417,2.1541,,,
2014/1/13,2.1336,4.03,5.2012,1.952,2.9188,4.4878,2.6148,6.8325,1.5979,3.9562,2.8523,1.6703,6.2235,2.417,4.9557,10.5706,1.8157,9.06,2.9417,2.1395,,,
2014/1/14,2.159,4.18,5.291,1.9812,3.1109,4.7988,2.6568,7.0002,1.6152,3.9955,2.8908,1.7088,6.3432,2.4442,4.9931,10.7074,1.8535,9.23,3.0205,2.1638,,,
2014/1/15,2.1336,4.11,5.311,1.9715,3.0593,4.9766,2.6642,7.0885,1.6196,3.9857,2.8677,1.7165,6.3732,2.4442,4.9931,10.5999,1.8441,9.22,3.0598,2.1589,,,
2014/1/16,2.1692,4.16,5.321,1.9812,3.064,5.0521,2.6939,7.1238,1.6283,3.9857,2.8754,1.7088,6.2934,2.4442,4.9931,11.1861,1.8441,9.21,3.0893,2.1541,,,
2014/1/17,2.1387,4.03,5.1812,1.952,2.989,5.0299,2.6691,6.9914,1.6109,3.9759,2.8293,1.678,5.9144,2.4079,4.9744,10.9712,1.8346,9.14,3.0401,2.1492,,,
2014/1/20,2.1692,3.99,5.0115,1.9326,2.8626,5.532,2.6691,6.8325,1.6152,3.9562,2.7985,1.678,5.7249,2.3988,4.9371,11.1861,1.8251,9.14,3.0303,2.1541,,,
2014/1/21,2.3067,4.03,5.0414,1.9617,2.886,5.8652,2.6691,6.9826,1.6587,3.9759,2.8216,1.6857,5.7947,2.4533,4.9837,11.6453,1.8346,9.24,3.05,2.1784,,,
2014/1/22,2.3067,4.1,5.1313,2.0006,2.9703,6.1896,2.7136,7.0797,1.6674,4.0053,2.8831,1.7165,5.8446,2.5078,5.0957,11.9872,1.8724,9.41,3.1188,2.2076,,,
2014/1/23,2.2711,4.11,5.1113,1.9909,2.9516,6.0519,2.7383,7.0708,1.6543,3.9661,2.8754,1.7088,5.8446,2.4987,5.0771,12.2803,1.863,9.43,3.1484,2.2367,,,
2014/1/24,2.2813,4.14,5.3409,2.0103,2.989,5.9763,2.7482,7.1679,1.6587,3.9464,2.9062,1.7165,5.8745,2.5169,5.1051,12.1337,1.8724,9.47,3.168,2.227,,,
2014/1/27,2.266,4.09,5.1812,2.0006,2.9469,5.8164,2.7927,7.2121,1.65,3.8875,2.9523,1.7396,5.8047,2.4897,5.1144,11.5867,1.9103,9.48,3.1287,2.2173,,,
2014/1/28,2.2711,4.08,5.1213,2.0006,2.8672,6.0652,2.8323,7.2032,1.6456,3.8483,2.9292,1.7319,5.7747,2.4987,5.0677,11.5671,1.8819,9.5,3.0992,2.2416,,,
2014/1/29,2.2813,4.11,5.1213,2.0006,2.8485,6.6739,2.81,7.2915,1.65,3.8188,2.9062,1.7396,5.7747,2.5169,5.0771,12.1142,1.8913,9.5,3.168,2.2562,,,
2014/1/30,2.3118,4.06,5.1213,1.9812,2.8251,6.9228,2.768,7.2474,1.6413,3.8483,2.837,1.7473,5.7847,2.526,5.1051,11.7625,1.8819,9.42,3.1385,2.2513,,,
2014/2/7,2.3729,4.12,5.2511,2.0006,2.8438,7.4649,2.8174,7.3621,1.6283,3.7894,2.8523,1.7627,5.8446,2.5351,5.1424,11.9384,1.8913,9.44,3.1484,2.2513,,,
2014/2/10,2.3984,4.22,5.4308,2.0394,2.9469,7.3093,2.9039,7.5652,1.6456,3.809,2.9215,1.8012,6.1238,2.5896,5.217,12.1044,1.9197,9.67,3.2172,2.2756,,,
2014/2/11,2.378,4.21,5.3809,2.0589,2.9516,7.4826,2.8866,7.5475,1.6413,3.8286,2.9369,1.8243,6.1138,2.5987,5.217,11.782,1.9292,9.61,3.2467,2.2854,,,
