ÈÕÆÚ,000032.SZ,000063.SZ,000070.SZ,000586.SZ,000836.SZ,000851.SZ,000971.SZ,002017.SZ,002089.SZ,002093.SZ,002104.SZ,002115.SZ,002194.SZ,002231.SZ,002281.SZ,002313.SZ,002359.SZ,002396.SZ,002446.SZ,002491.SZ,002544.SZ,002583.SZ,002792.SZ,002897.SZ,002902.SZ,002908.SZ,002929.SZ,200468.SZ,300017.SZ,300025.SZ,300028.SZ,300050.SZ,300081.SZ,300098.SZ,300134.SZ,300183.SZ,300205.SZ,300211.SZ,300213.SZ,300252.SZ,300308.SZ,300310.SZ,300312.SZ,300353.SZ,300383.SZ,300394.SZ,300414.SZ,300502.SZ,300504.SZ,300513.SZ,300531.SZ,300548.SZ,300555.SZ,300560.SZ,300563.SZ,300565.SZ,300570.SZ,300571.SZ,300590.SZ,300597.SZ,300603.SZ,300615.SZ,300620.SZ,300627.SZ,300628.SZ,300638.SZ,300689.SZ,300698.SZ,300710.SZ,300711.SZ,600105.SH,600130.SH,600260.SH,600289.SH,600293.SH,600345.SH,600355.SH,600462.SH,600485.SH,600487.SH,600498.SH,600522.SH,600734.SH,600775.SH,600776.SH,600804.SH,601869.SH,603042.SH,603083.SH,603118.SH,603220.SH,603236.SH,603322.SH,603421.SH,603559.SH,603602.SH,603703.SH,603712.SH,603803.SH,900941.SH
2014/1/2,7.2407,11.1811,4.204,6.07,1.9612,6.9188,2.8523,8.398,2.6234,5.1391,9.589,5.0719,8.6998,6.459,11.9763,16.2215,3.8887,14.5391,2.8651,3.8337,7.4961,4.2422,,,,,,4.22,6.6189,6.3,6.0345,6.1623,4.7227,2.6813,6.72,15.1206,17.5815,4.7969,4.7032,5.5155,4.9511,3.8621,7.6389,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4674,3.62,5.2996,8.6776,3.6218,14.1336,2.715,4.98,20.4794,3.2958,14.5912,4.2206,4.87,8.836,5.9368,13.2919,,,,,,,,,,,,,,0.4381
2014/1/3,7.159,11.3999,4.1671,6.1,1.9314,7.0825,2.8573,8.4562,2.6762,5.1093,9.8653,5.3099,8.6212,6.489,11.9189,16.6293,3.9299,14.7449,2.8651,3.7641,7.5746,4.235,,,,,,4.16,6.6621,6.0526,6.3108,6.2411,4.8537,2.6005,6.6344,15.6172,17.1316,4.8592,4.6715,5.5336,4.9314,3.8569,7.6389,5.6975,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4046,3.55,5.1322,8.3419,3.5435,13.6344,2.665,4.97,20.4794,3.2314,14.5819,4.1709,4.87,8.5002,5.8119,13.493,,,,,,,,,,,,,,0.4345
2014/1/6,6.922,11.0434,4.0194,5.93,1.8684,7.0469,2.8123,8.1544,2.7889,4.9801,9.675,5.057,8.1204,6.1096,11.2051,15.9828,4.0182,14.3976,2.8651,3.6746,7.2866,4.1097,,,,,,4.06,6.7636,5.4488,6.0268,6.4926,4.6235,2.5008,6.4156,14.7168,16.4371,4.4231,4.5157,5.4431,4.8565,3.6675,7.6389,5.4441,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5826,3.38,4.9161,7.7595,3.5108,13.1447,2.575,4.86,20.4794,3.1257,13.9309,4.0412,4.87,8.0685,5.7158,14.3453,,,,,,,,,,,,,,0.4299
2014/1/7,6.734,10.8327,4.0276,5.74,1.8717,7.0113,2.7622,8.3927,2.8628,4.99,10.3257,5.1016,8.1597,6.1396,11.2306,16.0425,4.0123,15.0988,2.8651,3.692,7.3193,4.1562,,,,,,4.04,6.7614,5.5428,6.1803,6.3496,4.7227,2.5266,6.7009,14.9952,17.112,4.5374,4.6082,5.4159,4.8841,3.92,7.6389,5.5056,,,,,,,,,,,,,,,,,,,,,,,,,,,2.628,3.41,4.93,7.799,3.6609,13.1735,2.575,4.83,20.4794,3.095,13.9216,4.045,4.87,8.0014,5.6006,14.2208,,,,,,,,,,,,,,0.4299
2014/1/8,6.8811,10.8651,4.1507,5.9,1.8684,7.232,2.7822,8.4033,3.0635,4.9801,10.4362,5.1165,8.2972,6.1695,11.5301,16.5099,3.9123,15.0923,2.8651,3.7467,7.4568,4.1724,,,,,,4.04,7.0038,5.5874,6.2878,6.4334,4.8299,2.5575,6.6962,15.4362,17.5033,4.8052,4.6375,5.7386,4.8683,3.9937,7.6389,5.7246,,,,,,,,,,,,,,,,,,,,,,,,,,,2.607,3.47,4.8185,7.8681,3.6283,13.3847,2.585,4.81,20.4794,3.0751,13.903,4.0526,4.87,7.8862,5.7254,14.556,,,,,,,,,,,,,,0.4326
2014/1/9,6.7013,10.8732,4.2409,5.76,1.8386,7.3672,2.7322,8.398,3.0635,4.9502,10.2091,4.9455,8.0026,6.0198,11.2465,16.2414,3.9299,14.7321,2.8651,3.6149,7.3128,4.0792,,,,,,4.08,6.8524,5.3696,6.3569,6.1277,4.6831,2.585,6.4156,15.6404,17.5815,4.5602,4.6375,5.5275,4.8762,4.0489,7.6389,5.5844,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4918,3.69,4.7139,7.9569,3.4782,13.4231,2.6,4.74,20.4794,3.0705,13.8286,3.9649,4.87,7.5121,5.6198,14.6613,,,,,,,,,,,,,,0.429
2014/1/10,6.5787,10.614,4.2901,5.66,1.7955,7.0825,2.6121,7.9002,2.9579,4.7415,9.8591,5.0198,7.8651,5.7902,10.8131,15.406,3.7534,14.88,2.8651,3.4981,7.2015,4.0381,,,,,,4.07,6.7517,5.429,6.2417,5.8517,4.3656,2.518,6.5012,15.4315,16.7061,4.6973,4.4086,5.4009,4.7265,3.9253,7.6389,5.4613,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7396,3.61,4.5186,7.7003,3.3151,12.5014,2.535,4.64,20.4794,2.9616,13.2986,4.1748,4.87,7.4545,5.591,14.1825,,,,,,,,,,,,,,0.4254
2014/1/13,6.3744,10.0954,4.4214,5.6,1.7558,7.2533,2.6321,7.8579,2.9297,4.7017,9.9389,5.0422,7.708,5.8101,10.9278,15.2667,3.6769,16.1667,2.8651,3.5006,7.0705,3.9682,,,,,,4.04,6.9419,5.5329,6.3646,5.6989,4.4052,2.5266,6.3157,15.2691,15.7965,4.6703,4.7056,5.4069,4.6005,3.9937,7.6389,5.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7885,3.49,4.5465,7.3152,3.2433,12.4437,2.43,4.62,21.0086,2.8834,12.8801,3.9305,4.87,7.5121,5.4949,13.991,,,,,,,,,,,,,,0.4235
2014/1/14,6.5624,10.0954,4.3844,5.69,1.7922,7.4028,2.6371,8.1597,3.0213,4.821,10.4116,4.9529,7.9928,5.9499,11.4473,15.6347,3.7064,16.9451,2.8651,3.4906,7.1425,4.056,,,,,,4.01,7.1247,5.7556,6.6026,5.832,4.5322,2.561,6.5345,16.485,16.2464,4.8488,4.8444,5.4943,4.7462,4.0805,7.6389,5.5942,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7012,3.67,4.6093,7.4732,3.3085,12.6838,2.5,4.65,18.9217,2.9494,13.1777,3.9572,4.87,8.2604,5.5717,13.809,,,,,,,,,,,,,,0.429
2014/1/15,6.636,10.0144,4.2942,5.8,1.8253,7.5523,2.6171,8.6256,3.0776,4.831,10.5406,5.0645,8.0321,6.0098,11.5206,15.1275,3.7064,17.2024,2.8651,3.5478,7.2997,4.0792,,,,,,4.11,7.0687,5.7606,6.8483,6.0045,4.6711,2.5695,6.8198,17.3065,16.579,4.9527,4.932,5.5155,4.9077,4.0726,7.6389,5.6213,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8269,3.71,4.6093,7.5917,3.2824,12.6454,2.54,4.66,19.1514,2.9862,13.0847,3.9954,4.87,8.3659,5.5525,13.9814,,,,,,,,,,,,,,0.429
