ÈÕÆÚ,000889.SZ,002467.SZ,300578.SZ,600050.SH
2014/1/2,5.0247,3.8268,,3.0615
2014/1/3,4.9561,3.8911,,3.0046
2014/1/6,4.7896,3.7927,,2.9193
2014/1/7,4.8092,3.7946,,2.9288
2014/1/8,4.77,3.9233,,2.8909
2014/1/9,4.6819,3.8268,,2.8624
2014/1/10,4.6427,3.6338,,2.8435
2014/1/13,4.6329,3.6471,,2.8529
2014/1/14,4.7113,3.7625,,2.8814
2014/1/15,4.7015,3.8646,,2.8719
2014/1/16,4.7015,3.8268,,2.8529
2014/1/17,4.5741,3.8533,,2.834
2014/1/20,4.535,3.8779,,2.8245
2014/1/21,4.5741,4.0424,,2.8529
2014/1/22,4.7211,4.1389,,2.8909
2014/1/23,4.7211,4.2108,,2.8624
2014/1/24,4.7407,4.2638,,2.8719
2014/1/27,4.7211,4.2184,,2.834
2014/1/28,4.7211,4.1143,,2.8719
2014/1/29,4.7407,4.4019,,2.8814
2014/1/30,4.9072,4.3735,,2.8435
2014/2/7,4.8582,4.6024,,2.8719
2014/2/10,4.9366,4.644,,2.9003
2014/2/11,4.9463,4.6288,,2.9193
2014/2/12,4.9855,4.627,,2.9288
2014/2/13,4.9366,4.5967,,2.9098
2014/2/14,5.0345,4.7196,,2.9193
2014/2/17,5.0541,4.8388,,2.9856
2014/2/18,5.0639,4.6705,,2.9193
2014/2/19,5.0639,4.5721,,2.9572
2014/2/20,4.9757,4.8086,,2.9762
2014/2/21,4.9561,4.6724,,2.9762
2014/2/24,4.9072,4.7859,,2.9098
2014/2/25,4.6917,4.4908,,2.8529
2014/2/26,4.7113,4.4454,,2.8719
2014/2/27,4.6427,4.2619,,2.9193
2014/2/28,4.7015,4.3602,,2.9003
2014/3/3,4.7015,4.5172,,3.0899
2014/3/4,4.7015,4.4813,,3.1089
2014/3/5,4.7015,4.5929,,3.0615
2014/3/6,4.7015,4.5343,,3.0615
2014/3/7,4.7015,4.3792,,3.0804
2014/3/10,4.7015,4.0841,,3.0046
2014/3/11,4.7015,4.0519,,2.9856
2014/3/12,4.7015,4.0462,,2.9193
2014/3/13,4.7015,4.1124,,2.9193
2014/3/14,4.7015,4.0765,,2.9193
2014/3/17,4.7015,4.1805,,2.9288
2014/3/18,4.7015,4.207,,2.9003
2014/3/19,4.7015,4.2278,,2.9098
2014/3/20,4.7015,4.2354,,2.8624
2014/3/21,4.7015,4.1767,,2.9288
2014/3/24,4.7015,4.1824,,2.9572
2014/3/25,4.7015,4.1805,,2.9477
2014/3/26,4.7015,4.2127,,2.9288
2014/3/27,4.7015,4.0292,,2.9003
2014/3/28,4.7015,3.7644,,2.9288
2014/3/31,4.7015,3.7795,,2.9003
2014/4/1,4.7015,3.8533,,2.9003
2014/4/2,4.7015,3.8325,,2.9288
2014/4/3,4.7015,3.8211,,2.9098
2014/4/4,4.7015,3.8022,,2.9098
2014/4/8,4.7015,3.7833,,2.9572
2014/4/9,4.7015,3.876,,2.9667
2014/4/10,4.7015,3.9233,,3.0046
2014/4/11,4.7015,3.8703,,2.9951
2014/4/14,4.7015,3.8892,,2.9762
2014/4/15,4.7015,3.8154,,2.9382
2014/4/16,4.7015,3.8211,,2.9572
2014/4/17,4.7015,3.806,,2.9572
2014/4/18,4.7015,3.8495,,2.9762
2014/4/21,4.7015,3.7871,,2.9193
2014/4/22,4.7015,3.77,,2.9951
2014/4/23,4.7015,3.719,,2.9382
2014/4/24,4.7015,3.753,,2.9288
2014/4/25,4.7015,3.6887,,2.9003
2014/4/28,4.7015,3.9479,,2.8814
2014/4/29,4.7015,4.0122,,2.9098
2014/4/30,4.7015,3.9668,,3.0141
2014/5/5,4.7015,3.9876,,2.9572
2014/5/6,4.7015,4.0614,,2.9856
2014/5/7,4.7015,3.9252,,2.9951
2014/5/8,4.7015,3.8968,,3.052
2014/5/9,4.7015,3.7852,,3.0615
2014/5/12,4.7015,3.8741,,3.0804
2014/5/13,4.7015,3.9308,,3.1847
2014/5/14,4.7015,4.0954,,3.1468
2014/5/15,4.7015,3.9857,,3.0709
2014/5/16,4.7015,4.0538,,3.0709
2014/5/19,4.7015,4.1257,,3.0425
2014/5/20,4.7015,4.1219,,3.0235
2014/5/21,4.7015,4.1086,,3.033
2014/5/22,4.7015,4.1143,,3.0425
2014/5/23,4.7015,4.2675,,3.052
2014/5/26,4.7015,4.3489,,3.033
2014/5/27,4.7015,4.3583,,3.0427
2014/5/28,4.7015,4.5456,,3.0812
2014/5/29,4.7015,4.4075,,3.0619
2014/5/30,4.7015,4.4345,,3.1004
2014/6/3,4.7015,4.2997,,3.0427
2014/6/4,4.7015,4.2112,,3.033
2014/6/5,4.7015,4.3074,,3.0619
2014/6/6,4.7015,4.2074,,3.0427
2014/6/9,4.7015,4.1535,,3.033
2014/6/10,4.7015,4.2728,,3.0523
2014/6/11,4.7015,4.4422,,3.0427
2014/6/12,4.7015,4.3767,,3.0234
2014/6/13,4.7015,4.4422,,3.033
2014/6/16,4.7015,4.473,,3.0812
2014/6/17,4.7015,4.369,,3.0427
2014/6/18,4.7015,4.3498,,3.033
2014/6/19,4.7015,4.1111,,3.0427
2014/6/20,4.7015,4.165,,3.0619
2014/6/23,4.7015,4.2651,,3.0427
2014/6/24,4.7015,4.292,,3.1004
2014/6/25,4.7015,4.1958,,3.1197
2014/6/26,4.7015,4.3459,,3.1582
2014/6/27,4.7015,4.319,,3.1775
2014/6/30,4.7015,4.4383,,3.1101
2014/7/1,4.7015,4.4037,,3.1486
2014/7/2,4.7015,4.369,,3.1678
2014/7/3,4.7015,4.6462,,3.2063
2014/7/4,4.7015,4.5961,,3.1871
2014/7/7,4.7015,4.7116,,3.1775
2014/7/8,4.7015,4.6962,,3.1871
2014/7/9,4.7015,4.5115,,3.1389
2014/7/10,4.7015,4.4807,,3.2352
2014/7/11,4.7015,4.5538,,3.2737
2014/7/14,4.7015,4.5846,,3.3026
2014/7/15,4.7015,4.4922,,3.2352
2014/7/16,4.7015,4.3844,,3.2449
2014/7/17,4.7015,4.3883,,3.216
2014/7/18,4.7015,4.3652,,3.2352
2014/7/21,4.7015,4.2843,,3.2256
2014/7/22,4.7015,4.3459,,3.216
2014/7/23,4.7015,4.2574,,3.1967
2014/7/24,4.7015,4.2112,,3.2545
2014/7/25,5.1756,4.2612,,3.3604
2014/7/28,5.6892,4.3613,,3.3893
2014/7/29,6.2621,4.3998,,3.3797
2014/7/30,6.8843,4.396,,3.4085
2014/7/31,7.5757,4.4614,,3.3989
2014/8/1,7.4177,4.3613,,3.3411
2014/8/4,7.8523,4.4037,,3.4663
2014/8/5,7.7239,4.473,,3.4663
2014/8/6,7.6251,4.4383,,3.4374
2014/8/7,7.7239,4.4383,,3.3604
2014/8/8,7.9016,4.5115,,3.37
2014/8/11,8.1584,4.5192,,3.4085
2014/8/12,8.0696,4.6308,,3.3604
2014/8/13,7.9708,4.7001,,3.37
2014/8/14,7.5559,4.7309,,3.3604
2014/8/15,7.635,5.0196,,3.4471
2014/8/18,8.3955,5.1928,,3.4374
2014/8/19,8.8893,5.0812,,3.4374
2014/8/20,8.435,4.9734,,3.3893
2014/8/21,8.1288,4.9811,,3.3508
2014/8/22,8.2671,5.0812,,3.3604
2014/8/25,7.9807,4.931,,3.3026
2014/8/26,7.793,4.7501,,3.2545
2014/8/27,7.8819,4.8233,,3.2737
2014/8/28,7.793,4.7424,,3.2545
2014/8/29,7.8523,4.8618,,3.3315
2014/9/1,7.9609,4.9541,,3.3219
2014/9/2,8.1782,5.035,,3.3604
2014/9/3,8.2375,5.0889,,3.4182
2014/9/4,8.2671,5.0927,,3.4471
2014/9/5,8.1189,5.0581,,3.4567
2014/9/9,8.5832,5.1389,,3.4374
2014/9/10,8.4745,5.1735,,3.3893
2014/9/11,8.2868,5.1466,,3.3989
2014/9/12,8.7214,5.162,,3.4278
2014/9/15,8.7214,5.366,,3.4182
2014/9/16,8.0893,5.035,,3.4374
2014/9/17,8.3264,5.1274,,3.4374
2014/9/18,8.3362,5.1351,,3.4085
2014/9/19,8.3757,5.1428,,3.4663
2014/9/22,8.1288,5.0311,,3.3604
2014/9/23,8.4251,5.0889,,3.4085
2014/9/24,8.6128,5.1889,,3.4374
2014/9/25,8.6424,5.1081,,3.4278
2014/9/26,8.9387,5.1582,,3.4567
2014/9/29,8.8893,5.2159,,3.4663
2014/9/30,9.1659,5.3468,,3.4471
2014/10/8,9.2054,5.5431,,3.4663
2014/10/9,8.998,5.4507,,3.4952
2014/10/10,8.7906,5.3275,,3.4567
2014/10/13,8.7116,5.52,,3.4182
2014/10/14,8.6622,5.3814,,3.4182
2014/10/15,8.8893,5.3506,,3.4374
2014/10/16,8.7017,5.2505,,3.4663
2014/10/17,8.5239,5.0773,,3.4182
2014/10/20,8.7609,5.1428,,3.4085
2014/10/21,8.7412,5.0927,,3.3508
