ÈÕÆÚ,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH
2014/1/2,6.541,5.0025,,,,,,,5.3469,4.8311,4.5205,8.5191,,,,,2.546,,7.911,2.9597,,1.8033,2.8379,2.6485,,2.0219,,,3.0347,1.9197,,3.1369,
2014/1/3,6.3805,4.9586,,,,,,,5.2381,4.6914,4.4503,8.3444,,,,,2.5207,,7.7129,2.9118,,1.796,2.8156,2.6337,,1.999,,,3.0051,1.8829,,3.0881,
2014/1/6,6.2415,5.0244,,,,,,,5.2667,4.5808,4.3216,8.3047,,,,,2.4859,,7.6574,2.8759,,1.7814,2.7859,2.6263,,1.9683,,,3.0125,1.8609,,3.0394,
2014/1/7,6.2201,4.9751,,,,,,,5.2381,4.5634,4.2749,8.3523,,,,,2.4922,,7.6257,2.8719,,1.7741,2.8008,2.6263,,1.9683,,,2.9608,1.8535,,3.0313,
2014/1/8,6.2896,5.0244,,,,,,,5.2724,4.6623,4.2866,8.4397,,,,,2.5049,,7.6812,2.8759,,1.7668,2.8231,2.6411,,1.9683,,,2.9387,1.8462,,3.0394,
2014/1/9,6.3217,4.9915,,,,,,,5.324,4.6623,4.2749,8.4953,,,,,2.4859,,7.7129,2.8719,,1.7595,2.8156,2.6115,,1.953,,,2.9165,1.8388,,3.0231,
2014/1/10,6.3217,4.9751,,,,,,,5.3928,4.7496,4.2924,8.5746,,,,,2.4859,,7.7287,2.86,,1.7595,2.8231,2.6115,,1.9377,,,2.9239,1.8315,,3.015,
2014/1/13,6.204,4.9751,,,,,,,5.3813,4.7729,4.269,8.6382,,,,,2.5207,,7.7049,2.864,,1.7595,2.8379,2.6189,,1.953,,,2.9608,1.8535,,3.0556,
2014/1/14,6.2682,4.86,,,,,,,5.3871,4.7787,4.2866,8.5349,,,,,2.546,,7.7366,2.864,,1.7595,2.8156,2.6041,,1.9607,,,2.9534,1.8462,,3.0313,
2014/1/15,6.2415,4.7888,,,,,,,5.2896,4.6623,4.2573,8.4079,,,,,2.5112,,7.6336,2.8201,,1.7449,2.7933,2.5597,,1.9454,,,2.9313,1.8462,,2.9581,
2014/1/16,6.2522,4.7997,,,,,,,5.261,4.7089,4.2339,8.3762,,,,,2.508,,7.5385,2.8081,,1.7376,2.7933,2.5375,,1.9377,,,2.9091,1.8388,,2.95,
