ÈÕÆÚ,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH
2014/1/2,2.5708,8.438,18.3592,,21.4326,15.6348,13.7513
2014/1/3,2.5511,8.4976,17.9102,,20.9207,15.2898,13.3929
2014/1/6,2.4625,8.2789,17.9102,,20.6269,14.8673,13.5859
2014/1/7,2.4723,8.3187,17.8213,,20.5795,14.781,13.5491
2014/1/8,2.4329,8.3485,18.0614,,20.788,14.8414,13.5032
2014/1/9,2.364,8.0504,17.768,,20.551,14.6948,13.1539
2014/1/10,2.2852,7.9211,17.5902,,20.57,14.7034,13.1447
2014/1/13,2.2753,7.9311,17.5368,,20.4657,14.6689,13.0252
2014/1/14,2.3147,8.0404,17.7769,,20.788,14.85,13.0895
2014/1/15,2.3246,8.0504,17.6569,,20.6458,14.7551,13.1079
2014/1/16,2.3541,8.2292,18.3237,,20.9302,14.9104,13.2366
2014/1/17,2.3049,8.0702,18.1636,,20.4468,14.6775,13.4204
2014/1/20,2.2852,7.9609,18.1014,,20.2856,14.6948,13.0711
2014/1/21,2.3147,8.0007,18.3814,,20.3994,14.7896,13.1447
2014/1/22,2.3738,8.2491,18.5859,,20.8733,15.0656,13.4572
2014/1/23,2.364,8.2094,18.2259,,21.0724,14.7465,13.3377
2014/1/24,2.364,8.3386,18.0169,,20.9302,14.6603,13.1906
2014/1/27,2.364,8.1796,17.3368,,20.4183,14.186,12.6483
2014/1/28,2.3935,8.2789,17.4079,,20.6743,14.2895,12.7035
2014/1/29,2.3738,8.2988,17.4613,,20.6458,14.3929,12.7678
2014/1/30,2.3738,8.11,17.399,,20.4089,14.117,12.6115
2014/2/7,2.4231,8.1597,16.9856,,20.2477,13.9014,12.4737
2014/2/10,2.6693,8.438,17.3679,,20.7501,14.1946,12.731
2014/2/11,2.6299,8.5473,17.5857,,20.8923,14.4533,12.9057
2014/2/12,2.7284,8.5373,17.4346,,20.7975,14.4188,12.8781
2014/2/13,2.6988,8.597,17.3146,,20.7406,14.2895,12.8873
2014/2/14,2.9648,9.4616,17.3679,,20.9966,14.2808,12.9149
2014/2/17,2.9746,9.8393,17.5591,,21.1198,14.4878,13.3193
2014/2/18,3.0042,10.4456,17.199,,20.7691,14.1774,12.9608
2014/2/19,2.9648,10.9425,17.3857,,21.2715,14.3757,13.2826
2014/2/20,2.8072,10.4058,17.1501,,21.1767,14.1774,13.0528
2014/2/21,2.7382,9.9288,17.3501,,21.0629,14.1429,13.016
2014/2/24,2.7481,10.048,17.2657,,20.5131,13.8928,12.7862
2014/2/25,2.62,9.1834,16.7322,,20.2003,13.6513,12.5748
2014/2/26,2.7678,9.4716,16.67,,20.3235,13.7289,12.6391
2014/2/27,2.6988,9.2828,16.8923,,20.3425,13.841,12.7402
2014/2/28,2.7087,9.5113,17.1145,,20.4089,13.8755,12.731
2014/3/3,2.7382,9.5412,16.8834,,20.2667,13.7807,12.7862
2014/3/4,2.689,9.3623,16.8789,,20.2098,13.7893,12.8873
2014/3/5,2.6693,9.7896,16.7411,,20.0676,13.5565,12.5931
2014/3/6,2.6988,9.9387,16.8256,,20.1719,13.8928,12.7678
2014/3/7,2.6102,9.6902,16.6878,,19.897,13.5651,12.5104
2014/3/10,2.4526,8.9647,16.0832,,18.9206,13.2115,12.0508
2014/3/11,2.4822,9.1039,16.0921,,18.7689,13.2287,12.014
2014/3/12,2.4625,9.243,16.1543,,18.987,13.2546,12.0784
2014/3/13,2.492,9.2629,16.3321,,18.9964,13.2719,12.1152
2014/3/14,2.5018,9.1237,16.3055,,18.7405,13.0304,12.0324
2014/3/17,2.5412,9.2529,16.3766,,18.8827,13.1511,12.3082
2014/3/18,2.5511,9.1535,16.1588,,18.7784,13.0649,12.2714
2014/3/19,2.6397,9.0045,16.0032,,18.4751,13.0304,12.1152
2014/3/20,2.5708,8.6566,16.0432,,18.295,13.0045,12.0508
2014/3/21,2.62,9.074,16.67,,19.0059,13.3754,12.3817
2014/3/24,2.62,9.0939,16.7811,,19.442,13.5996,12.5472
2014/3/25,2.62,8.9747,16.5144,,19.1102,13.5392,12.5012
2014/3/26,2.62,9.0939,16.5277,,19.2713,13.5823,12.4369
2014/3/27,2.62,8.9747,16.5277,,18.8732,13.5392,12.345
2014/3/28,2.62,9.1834,16.6122,,18.949,13.5823,12.3725
2014/3/31,2.62,9.2132,16.6967,,19.1292,13.6254,12.345
2014/4/1,2.62,9.2728,16.7589,,19.2524,13.6858,12.3909
2014/4/2,2.62,9.412,17.1101,,19.4514,13.8928,12.6299
2014/4/3,2.62,9.5213,17.1412,,19.186,13.7289,12.6391
2014/4/4,2.62,9.3921,17.3012,,19.1955,13.7375,12.6851
2014/4/8,2.62,9.73,17.7324,,20.0012,14.1601,13.016
2014/4/9,2.62,9.73,17.5457,,20.096,14.1687,12.9333
2014/4/10,2.62,9.7499,18.7949,,20.6364,15.0915,13.6135
2014/4/11,2.62,9.4915,18.3192,,20.2098,14.9621,13.5491
2014/4/14,2.62,9.5014,18.1414,,20.0486,14.712,13.3837
2014/4/15,2.62,9.3026,17.8124,,19.5557,14.2981,13.0895
2014/4/16,2.62,9.3424,17.8658,,19.6884,14.3412,13.1079
2014/4/17,2.62,9.3126,17.6035,,19.5936,14.2205,13.0252
2014/4/18,2.62,9.2927,17.5902,,19.7737,14.2119,13.0344
2014/4/21,2.62,8.9548,17.2968,,19.3093,13.9876,12.8321
2014/4/22,2.5314,9.0144,17.4524,,19.4325,14.1342,12.9333
2014/4/23,2.5018,8.9846,17.3235,,19.2713,14.0566,12.8229
2014/4/24,2.5117,8.8852,17.5679,,19.1481,14.117,12.7862
2014/4/25,2.4428,8.5373,17.3412,,19.0912,14.0308,12.7126
2014/4/28,2.3738,8.0901,16.9323,,18.6931,13.8755,12.3542
2014/4/29,2.4231,8.2591,17.3768,,19.0628,14.0308,12.4001
2014/4/30,2.5511,8.6268,17.399,,18.949,14.0652,12.5104
2014/5/5,2.6299,8.915,17.4257,,18.8827,14.117,12.4461
2014/5/6,2.62,8.9448,17.5724,,19.0344,14.0997,12.4185
2014/5/7,2.6003,8.8951,17.4968,,18.8543,13.9445,12.4093
2014/5/8,2.6791,9.0939,17.4924,,18.8637,13.8669,12.3633
2014/5/9,2.6791,8.8653,17.4524,,18.7121,13.9186,12.4185
2014/5/12,2.6988,9.1933,17.8035,,19.205,14.2032,12.731
2014/5/13,2.7579,9.1337,17.7458,,19.1007,14.1342,12.6023
2014/5/14,2.7284,9.0641,17.7235,,19.186,14.2205,12.6759
2014/5/15,2.6003,8.7461,17.6168,,18.9585,13.9963,12.6023
2014/5/16,2.6299,8.7858,17.5724,,18.9775,14.0308,12.5564
2014/5/19,2.6102,8.6069,17.2079,,18.6268,13.7634,12.3358
2014/5/20,2.62,8.6666,17.239,,18.7215,13.8497,12.4553
2014/5/21,2.6102,8.8156,17.4124,,19.0723,13.9359,12.5656
2014/5/22,2.5905,8.8653,17.3946,,18.9585,14.0135,12.584
2014/5/23,2.6003,8.9448,17.5102,,19.0344,14.1429,12.6851
2014/5/26,2.62,8.9747,17.4524,,19.1386,14.1429,12.6759
2014/5/27,2.6594,8.9747,17.4568,,19.2145,14.1515,12.6483
2014/5/28,2.6594,8.9945,17.7058,,19.5557,14.3326,12.8321
2014/5/29,2.6102,8.6864,17.7724,,19.4041,14.4016,12.9057
2014/5/30,2.5708,8.6566,17.728,,19.186,14.4706,12.8689
2014/6/3,2.5708,8.6566,17.7369,,19.2429,14.4447,12.8873
2014/6/4,2.5018,8.5771,17.479,,19.0628,14.3757,12.7586
2014/6/5,2.5314,8.6566,17.688,,19.3756,14.6258,13.0619
2014/6/6,2.5215,8.6964,17.5413,,19.5273,14.6085,13.0344
2014/6/9,2.5018,8.7461,17.648,,19.7927,14.7034,13.1263
2014/6/10,2.5314,8.8454,17.9814,,20.1624,14.9104,13.2917
2014/6/11,2.5314,8.7361,17.8391,,19.878,14.8759,13.2274
2014/6/12,2.5806,9.1734,17.768,,20.0486,14.781,13.1355
2014/6/13,2.5806,9.2231,18.1503,,20.3994,15.1432,13.2917
2014/6/16,2.5708,9.1635,18.1814,,20.4657,15.4882,13.3745
2014/6/17,2.5314,9.0442,17.9502,,20.0297,15.4968,13.0987
2014/6/18,2.5215,9.2132,17.8925,,19.9349,15.3157,12.9333
2014/6/19,2.4723,8.7063,17.6969,,19.6505,15.3071,12.7586
2014/6/20,2.4822,8.756,17.7947,,19.5652,15.5571,12.9149
2014/6/23,2.492,8.7958,17.6391,,19.5842,15.3933,12.731
2014/6/24,2.5117,8.925,17.6657,,19.9823,15.7038,12.777
2014/6/25,2.5018,8.8753,17.5235,,19.4041,15.652,12.6924
2014/6/26,2.5412,9.0442,17.648,,19.6979,15.6003,12.777
2014/6/27,2.6003,9.084,17.4771,,19.5368,15.1605,12.6736
2014/6/30,2.5806,9.1734,17.6884,,20.0297,15.3416,12.7864
2014/7/1,2.62,9.2529,17.6614,,19.9823,15.1087,12.7958
2014/7/2,2.886,9.243,17.7334,,20.1055,15.3157,12.8428
2014/7/3,2.8367,9.2231,17.7828,,20.1624,15.5227,12.8521
2014/7/4,2.7481,9.4815,17.9312,,20.6553,15.721,12.9273
2014/7/7,2.8367,9.9188,18.0032,,20.9207,15.7727,13.0588
2014/7/8,2.7973,9.8095,18.0211,,21.006,15.7641,13.04
2014/7/9,2.7087,9.889,17.8548,,20.6079,15.4537,12.8803
2014/7/10,2.7284,9.6604,17.7154,,20.3425,15.2639,12.8334
2014/7/11,2.7875,9.7797,17.7199,,20.4563,15.2467,12.8428
2014/7/14,2.817,10.0381,17.9672,,20.788,15.5916,13.0025
2014/7/15,2.817,9.9188,17.9537,,20.5876,15.6089,12.9837
2014/7/16,2.8466,9.5809,17.8593,,20.6735,15.5658,12.9461
2014/7/17,2.7875,9.6008,17.9447,,20.4444,15.4795,12.8428
2014/7/18,2.7579,9.6604,17.8997,,20.5303,15.7971,12.8428
2014/7/21,2.7579,9.9288,17.9222,,21.1221,15.9646,12.8709
2014/7/22,2.7875,9.9785,18.0841,,21.2557,16.6879,13.0494
2014/7/23,2.8072,9.899,18.4708,,22.0956,16.9349,13.2467
