ÈÕÆÚ,000415.SZ,000416.SZ,000563.SZ,000567.SZ,000617.SZ,000666.SZ,000890.SZ,002423.SZ,002647.SZ,002961.SZ,300023.SZ,300176.SZ,300309.SZ,600053.SH,600093.SH,600120.SH,600318.SH,600390.SH,600599.SH,600643.SH,600695.SH,600696.SH,600705.SH,600783.SH,600816.SH,600830.SH,600901.SH,603093.SH,603300.SH,900919.SH
2014/1/2,3.8063,6.7616,3.7352,5.1988,6.8674,9.4334,3.9666,8.72,2.8209,,4.6045,3.1979,5.2548,5.844,5.5609,4.9362,4.8871,6.4647,9.6701,8.2125,5.75,6.11,3.97,19.2764,1.9255,9.1458,,,,0.38
2014/1/3,3.7441,6.8198,3.6737,5.2331,6.9058,9.4334,3.9175,8.65,2.809,,4.8883,3.1466,5.3374,5.844,5.5798,4.8964,4.7296,6.5921,9.6701,7.9239,5.59,6.32,3.8977,19.2764,1.9133,8.896,,,,0.376
2014/1/6,3.5909,6.587,3.579,5.24,6.7233,9.4334,3.7702,8.46,2.7044,,4.6205,3.0575,4.9825,5.844,5.5137,4.6937,4.4786,6.3771,9.6701,7.443,5.42,6.3,3.7111,17.9675,1.8782,8.4541,,,,0.366
2014/1/7,3.701,6.684,3.5979,5.2331,6.7617,9.4334,3.7997,8.42,2.7403,,4.6365,3.0872,5.043,5.844,5.4571,4.6341,4.4688,6.4488,9.6701,7.5096,5.46,6.45,3.7205,17.3228,1.9228,8.9056,,,,0.367
2014/1/8,3.6244,6.6937,3.5506,5.2125,6.8386,9.4334,3.7604,8.47,2.7403,,4.6764,3.1493,5.1998,5.844,5.4288,4.6063,4.4638,6.4488,9.6701,7.48,5.35,6.45,3.7741,16.9474,1.9323,8.7807,,,,0.368
2014/1/9,3.5478,6.5482,3.4654,5.2537,6.6945,9.4334,3.6622,8.22,2.6536,,4.5565,3.0224,5.1998,5.844,5.4099,4.5189,4.39,6.1701,9.6701,7.5244,5.34,6.44,3.5782,16.0717,1.9201,8.4925,,,,0.366
2014/1/10,3.452,6.5191,3.3328,5.1301,6.4256,9.4334,3.7702,7.99,2.6118,,4.3567,2.9089,4.9962,5.844,5.2777,4.348,4.2768,6.0746,9.6701,7.3247,5.27,6.48,3.4989,16.1968,1.9458,8.3869,,,,0.362
2014/1/13,3.4951,6.5191,3.2476,5.1232,6.4448,9.4334,3.6917,7.85,2.6088,,4.3887,2.936,4.9027,5.844,5.2682,4.3281,4.1882,6.1064,9.6701,7.2729,5.14,6.47,3.4965,16.2064,1.9539,8.1947,,,,0.36
2014/1/14,3.5765,6.5191,3.3234,5.24,6.5312,9.4334,3.7506,7.95,2.6984,,4.7364,3.1088,5.0843,5.844,5.3438,4.3917,4.1292,6.1383,9.6701,7.4726,5.3,6.63,3.5968,16.5336,2.0161,8.3869,,,,0.365
2014/1/15,3.5909,6.5191,3.347,5.3636,6.6561,9.4334,3.7604,8.03,2.7761,,4.8763,3.3222,5.1943,5.844,5.4476,4.3957,4.1489,6.7513,9.6701,7.4948,5.31,6.54,3.6272,16.4085,2.0229,8.4925,,,,0.365
