ÈÕÆÚ,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH
2014/1/2,,7.0705,11.0128,6.1218,7.1886,10.9334,4.5601,5.7102,6.5533,5.6608,5.5082,,,,,,11.2326,5.9031,8.2637,3.8399,4.4875,5.544,10.1123,9.0353,,,11.0536,,2.3301,,,,,,,4.0491,7.854,7.8393,7.9584,,,5.8046,
2014/1/3,,6.977,10.6602,5.9649,7.0192,10.6775,4.387,5.632,6.3642,5.6336,5.5208,,,,,,10.9114,5.6895,8.1956,3.8698,4.3495,5.3675,9.7154,8.8248,,,10.666,,2.2873,,,,,,,3.9713,7.5395,7.6179,7.8388,,,5.8046,
2014/1/6,,6.8301,10.1868,5.9347,7.1008,10.5451,4.3514,5.4274,6.6006,5.3019,5.6089,,,,,,10.9114,5.4953,8.1761,3.8399,4.2482,4.9961,9.8237,8.7057,,,10.4899,,2.2756,,,,,,,3.9325,7.4655,7.7508,7.71,,,5.8046,
2014/1/7,,6.8568,10.182,5.8864,7.0255,10.4922,4.2671,5.4334,6.5533,5.3882,5.4369,,,,,,10.7419,5.5147,8.3367,3.7801,4.2482,4.9775,9.7064,8.8614,,,10.4634,,2.2678,,,,,,,3.9411,7.41,7.6533,7.7284,,,5.8046,
2014/1/8,,6.9637,10.1916,5.9347,7.0819,10.5716,4.3381,5.3853,6.5439,5.2338,5.4873,,,,,,10.7776,5.3982,9.0034,3.81,4.3403,4.9961,9.7515,9.0353,,,10.5339,,2.3145,,,,,,,3.9886,7.4192,7.6799,7.6732,,,5.8046,
2014/1/9,,6.839,10.1916,5.8079,6.9439,10.3598,4.2182,5.3251,6.2885,4.9612,5.3111,,,,,,10.5456,5.3788,9.2273,3.8,4.2528,4.9218,9.4809,8.9712,,,10.3137,,2.2756,,,,,,,3.9454,7.3637,7.5647,7.4615,,,5.8046,
2014/1/10,,6.8435,10.0226,5.7294,6.5989,10.1216,4.1206,5.2048,6.2602,4.6159,5.0552,,,,,,10.278,5.3302,9.3684,3.6304,4.1654,4.9125,9.1922,9.1543,,,9.9086,,2.2212,,,,,,,3.8892,7.0677,7.5205,7.2591,,,5.8046,
2014/1/13,,6.7411,10.2399,5.669,6.5237,10.0598,4.1472,5.2349,6.1278,4.7022,4.9629,,,,,,10.1888,5.1749,8.8769,3.6304,4.0365,4.8939,9.1651,8.3121,,,9.7853,,2.2095,,,,,,,3.872,6.9474,7.5293,7.1947,,,5.9028,
2014/1/14,,6.8301,10.38,5.7173,6.6491,10.1745,4.1872,5.3371,6.2318,4.7613,5.0426,,,,,,10.3315,5.272,8.7747,3.7302,4.1377,4.9961,9.2824,7.8452,,,9.9702,,2.2756,,,,,,,3.9325,7.0492,7.6445,7.3143,,,5.6278,
2014/1/15,,6.7945,10.2399,5.6751,6.6554,10.1039,4.1605,5.3311,6.2318,4.7885,5.051,,,,,,10.2244,5.2429,9.5096,3.7202,4.1009,4.9682,9.1651,7.7445,,,10.1992,,2.3145,,,,,,,3.9108,7.0584,7.6356,7.3143,,,5.5001,
