ÈÕÆÚ,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH
2014/1/2,4.2763,5.0999,22.1587,11.0428,4.2738,5.4023,5.0064,1.8437,7.1646,2.704,14.0212,18.432,11.1345,3.6219,11.5364,7.0606,3.8757,,,,,,,,,,,16.1672,,,,8.4405,2.58,6.2441,9.1781,7.7864,19.8711,4.48,10.5988,7.6051,10.5705,,,,,,,,,,,,,,
2014/1/3,4.1552,4.9791,22.0484,11.0428,4.1927,5.2834,4.9985,1.926,7.1799,2.6729,13.7451,18.0615,11.3589,3.5724,11.196,6.896,3.9248,,,,,,,,,,,16.324,,,,8.2862,2.54,6.2331,9.3499,7.5687,19.3308,4.35,10.5507,7.3978,10.5934,,,,,,,,,,,,,,
2014/1/6,3.9856,4.8969,21.3144,11.8185,4.0551,5.0355,4.8249,1.8731,6.9745,2.6711,13.4576,18.0069,10.9588,3.542,10.5735,6.5062,3.8122,,,,,,,,,,,15.706,,,,7.8714,2.46,6.0118,8.5348,7.1927,18.8557,4.19,10.3778,7.1339,10.5677,,,,,,,,,,,,,,
2014/1/7,4.0825,4.8244,21.6598,11.6209,4.0763,5.0355,4.888,1.829,6.9112,2.6327,13.3943,18.1162,10.5099,3.5743,10.6716,6.6103,3.9536,,,,,,,,,,,16.3844,,,,7.8135,2.47,6.1298,8.4807,7.2125,19.1258,4.2,10.5603,7.2376,10.7308,,,,,,,,,,,,,,
2014/1/8,4.0146,4.7036,21.8325,11.5764,4.2561,5.0355,4.8604,1.8231,6.9783,2.6437,13.0895,18.8328,10.6368,3.6734,10.7636,6.5982,3.994,,,,,,,,,,,16.8479,,,,7.8135,2.46,6.3621,8.574,7.5588,20.7282,4.18,10.5219,7.1433,11.163,,,,,,,,,,,,,,
2014/1/9,3.8741,4.5875,21.9284,11.8086,4.1045,4.9265,4.8289,1.7731,6.9227,2.4721,12.5661,18.4016,10.3343,3.582,10.3956,6.6974,3.9681,,,,,,,,,,,16.5008,,,,7.7653,2.41,6.4433,8.5839,7.2917,20.132,4.19,10.6949,6.87,10.7365,,,,,,,,,,,,,,
2014/1/10,3.7651,5.0468,21.8517,11.4282,4.0657,4.8968,4.7105,1.7555,6.9112,2.4009,12.4626,18.2801,10.344,3.4391,10.1472,6.6926,3.8959,,,,,,,,,,,16.4337,,,,7.553,2.36,6.6941,8.6133,7.2719,20.7468,4.13,10.5027,6.559,11.1659,,,,,,,,,,,,,,
2014/1/13,3.7917,5.477,22.3026,10.86,4.0657,4.9067,4.6987,1.7614,6.8574,2.4009,12.1578,16.9866,10.427,3.4391,10.5459,6.3294,3.9738,,,,,,,,,,,17.0136,,,,7.6495,2.34,6.447,8.3285,7.0146,20.3835,4.06,10.4931,6.559,11.0056,,,,,,,,,,,,,,
2014/1/14,3.8765,5.6365,22.5473,11.2009,4.1468,5.0554,4.6947,1.8113,7.0263,2.4922,12.5604,16.5857,10.6368,3.5382,10.6961,6.4723,4.02,,,,,,,,,,,17.0158,,,,7.8231,2.38,6.672,8.2548,7.074,20.3835,4.17,10.4835,6.7192,11.0886,,,,,,,,,,,,,,
2014/1/15,3.8644,5.6172,22.5521,11.7543,4.1927,5.0256,4.8604,1.7996,6.9687,2.483,12.4971,16.8165,10.5343,3.6391,10.6655,6.603,4.1989,,,,,,,,,,,16.8098,,,,7.8328,2.38,6.8859,8.4071,7.0245,21.1381,4.16,11.06,6.7758,11.1602,,,,,,,,,,,,,,
2014/1/16,3.9153,5.8106,23.4204,11.5912,4.1715,5.0752,4.8525,1.8143,6.748,2.483,12.4281,16.5736,11.1345,3.5667,10.7575,6.6635,4.1585,,,,,,,,,,,16.4785,,,,8.2669,2.4,6.8269,8.304,7.0048,20.8493,4.18,11.1561,6.8889,11.1373,,,,,,,,,,,,,,
2014/1/17,3.8257,5.7525,23.3388,11.6159,4.1856,4.9662,4.8328,1.829,6.748,2.4794,12.0255,16.3246,10.7002,3.6086,10.4263,6.5255,3.9738,,,,,,,,,,,16.7919,,,,8.0547,2.36,6.6793,8.1272,6.8662,20.309,4.1,10.9831,6.7475,10.7566,,,,,,,,,,,,,,
