ÈÕÆÚ,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH
2014/1/2,16.6497,20.9441,7.871,10.5339,13.5901,8.4695,13.4318,12.1751,24.4599,8.1875,7.8,25.2639,4.5708,7.0056,18.6841,15.7955,21.0909,8.6027,3.93,14.4846,5.6007,9.64,9.7317,7.0979,4.5429,4.1367,93.2859,8.9187,5.4082,5.8673,44.6917,8.1695,14.4188,9.4092,17.8042,,,,,,,,
2014/1/3,16.3493,21.2257,7.8613,10.4745,13.3544,8.466,13.2143,12.0331,24.1212,8.0091,8.31,24.9318,4.5128,7.2147,18.5149,15.7955,20.8403,8.5121,3.89,14.3329,5.4739,9.4883,9.5356,6.9502,4.4073,4.0567,91.8049,8.9287,5.3913,5.8772,44.4861,8.0536,13.7661,9.1811,17.6564,,,,,,,,
2014/1/6,15.8068,20.2306,7.3904,10.2866,13.0009,8.1072,12.7011,12.1377,23.3888,7.9298,8.15,24.7288,4.368,7.1149,17.725,15.0093,20.1304,8.5483,3.75,13.9491,5.2427,9.0866,9.1926,6.6942,4.2426,3.9016,89.3983,8.8088,5.1002,5.7003,43.6541,7.7446,12.965,8.953,16.8433,,,,,,,,
2014/1/7,15.7734,20.6249,7.4097,10.2668,12.9617,7.2965,12.7271,11.7266,23.4621,7.8108,8.16,24.4767,4.3729,7.343,17.7908,15.3666,19.8965,8.4668,3.79,13.9313,5.2874,9.158,9.2808,6.7041,4.2813,3.9016,89.2725,9.0086,5.3344,5.7494,43.4765,7.8218,12.9551,9.2286,17.0374,,,,,,,,
2014/1/8,15.2142,20.1931,7.6595,10.0987,12.5492,7.7277,12.588,11.5174,23.0227,7.5432,7.96,23.6649,4.4067,7.4619,17.7344,15.2416,20.1972,8.2767,3.7,13.8688,5.2352,9.0598,9.1534,6.5663,4.2523,3.9366,88.4135,8.9387,5.2542,5.6511,43.4765,7.7446,12.7672,9.143,16.4276,,,,,,,,
2014/1/9,15.2643,21.0286,7.3616,9.9602,12.5492,7.5897,12.8489,11.2259,22.8854,7.3152,7.99,23.8248,4.3487,7.3478,17.537,15.4024,20.0468,8.168,3.65,13.4583,5.0786,8.9973,9.1534,6.4777,4.2716,3.8316,88.3691,8.8088,5.2858,5.543,42.4763,7.8411,12.7474,9.1525,16.2982,,,,,,,,
2014/1/10,15.064,20.8033,7.3712,9.8019,12.1368,7.4724,12.7532,11.2782,22.6565,7.0674,7.72,23.9109,4.2522,7.0864,17.0668,15.5096,19.7294,8.0684,3.58,13.3065,5.0861,8.9616,9.1044,6.5072,4.2135,3.8116,88.3172,9.1085,5.1571,5.5135,41.9995,7.648,12.5793,9.4282,16.4276,,,,,,,,
2014/1/13,15.2727,21.7702,7.5058,9.891,12.1368,7.4518,12.9881,11.2109,22.922,7.1467,7.6,24.5013,4.2184,7.0341,17.3395,15.5721,19.4454,8.0503,3.55,13.2887,5.0115,9.0777,9.32,6.3202,4.1942,3.7966,88.7763,8.9387,5.193,5.5528,41.5882,7.6383,12.6189,9.4282,16.6863,,,,,,,,
2014/1/14,15.5314,22.7372,7.5634,9.9998,12.2154,7.5138,13.3013,11.2109,23.0868,7.3648,7.55,24.8211,4.286,7.1624,17.5464,15.9563,19.1614,8.2405,3.61,13.5207,5.1159,9.0955,9.4278,6.4974,4.2426,3.9066,89.8278,8.8987,5.3534,5.602,41.1863,7.7928,12.7672,9.3996,16.8895,,,,,,,,
2014/1/15,15.1892,22.2584,7.6499,10.3657,12.0288,7.7105,13.049,11.5846,22.4368,7.3152,7.32,24.3537,4.315,7.0484,17.0762,15.858,18.7438,8.4487,3.58,13.4047,5.1905,9.0331,9.1828,6.5958,4.2329,3.9366,87.9396,8.8987,5.2901,5.7003,41.1115,7.8025,12.5595,9.2191,16.8156,,,,,,,,
2014/1/16,15.3978,22.4086,7.6884,10.3163,12.2841,7.9347,13.0838,11.5772,22.565,7.3846,7.4,24.7042,4.3584,7.1244,17.3113,16.126,18.393,8.5393,3.63,13.4583,5.1532,9.1223,9.2612,6.5663,4.2426,3.9416,90.3313,8.8088,5.3597,5.7887,42.2052,7.8411,12.7573,9.2001,16.8988,,,,,,,,
2014/1/17,15.0891,21.2351,7.4769,9.9998,11.8717,7.9175,12.7967,11.4202,22.1988,7.3549,6.93,24.4767,4.397,6.9818,16.954,15.8669,17.992,8.5936,3.57,13.2708,5.019,8.9259,9.0162,6.4186,4.1651,3.8916,89.0799,7.93,5.2035,5.7003,41.0648,7.7735,12.3914,8.8959,16.2335,,,,,,,,
2014/1/20,15.2727,21.498,7.1982,9.9009,11.9503,7.7208,12.9098,11.0988,22.2995,7.1665,6.55,24.6981,4.6721,6.8915,17.0386,15.858,17.8584,8.7113,3.5,13.0923,5.0637,9.0688,8.928,6.4284,4.136,3.7816,93.8857,7.3407,5.366,5.6609,40.2235,7.5128,12.431,8.9625,17.0466,,,,,,,,
2014/1/21,14.9054,21.4041,7.2559,10.0097,11.8913,7.8485,12.8228,10.9643,22.3178,7.2954,6.7,24.5997,4.9617,6.901,17.048,15.6079,18.0087,8.6932,3.54,13.2351,5.101,9.0777,8.9672,6.517,4.1942,3.8066,94.0338,7.3107,5.3112,5.7494,40.2983,7.6287,12.4211,8.5538,16.9265,,,,,,,,
2014/1/22,15.1892,22.6808,7.3616,10.1877,12.3627,7.8588,13.2056,11.1437,23.0227,7.4143,6.79,25.2331,5.203,7.0056,17.5652,16.0814,18.251,8.7928,3.63,13.494,5.2203,9.2294,9.1534,6.6942,4.262,3.9016,99.3504,7.4106,5.4314,5.8772,40.8872,7.8218,12.698,8.8579,17.37,,,,,,,,
