,涨跌幅,换手率,流通市值,PE,PB,PS
SW公交,0.3,0.2,0.2,0.1,0.1,0.1
SW机场,0.3,0.2,0.2,0.1,0.1,0.1
SW港口,0.3,0.2,0.2,0.1,0.1,0.1
SW物流,0.3,0.2,0.2,0.1,0.1,0.1
SW航空运输,0.3,0.2,0.2,0.1,0.1,0.1
SW航运,0.3,0.2,0.2,0.1,0.1,0.1
SW铁路运输,0.3,0.2,0.2,0.1,0.1,0.1
SW高速公路,0.3,0.2,0.2,0.1,0.1,0.1
SW旅游综合,0.3,0.2,0.1,0.2,0.1,0.1
SW景点,0.3,0.2,0.1,0.2,0.1,0.1
SW酒店,0.3,0.2,0.1,0.2,0.1,0.1
SW餐饮,0.3,0.2,0.1,0.2,0.1,0.1
SW互联网传媒,0.3,0.2,0.1,0.2,0.1,0.1
SW文化传媒,0.3,0.2,0.2,0.1,0.1,0.1
SW营销传播,0.3,0.2,0.2,0.1,0.1,0.1
SW水务,0.3,0.2,0.2,0.1,0.1,0.1
SW燃气,0.3,0.2,0.2,0.1,0.1,0.1
SW环保工程及服务,0.3,0.2,0.2,0.1,0.1,0.1
SW电力,0.3,0.2,0.2,0.1,0.1,0.1
SW农产品加工,0.3,0.2,0.2,0.1,0.1,0.1
SW动物保健,0.3,0.2,0.2,0.1,0.1,0.1
SW渔业,0.3,0.2,0.2,0.1,0.1,0.1
SW畜禽养殖,0.3,0.2,0.2,0.1,0.1,0.1
SW种植业,0.3,0.2,0.2,0.1,0.1,0.1
SW饲料,0.3,0.2,0.2,0.1,0.1,0.1
SW化学制品,0.3,0.2,0.2,0.1,0.1,0.1
SW化学原料,0.3,0.2,0.2,0.1,0.1,0.1
SW化学纤维,0.3,0.2,0.2,0.1,0.1,0.1
SW塑料,0.3,0.2,0.2,0.1,0.1,0.1
SW橡胶,0.3,0.2,0.2,0.1,0.1,0.1
SW石油化工,0.3,0.2,0.2,0.1,0.1,0.1
SW中药,0.3,0.2,0.2,0.1,0.1,0.1
SW化学制药,0.3,0.2,0.2,0.1,0.1,0.1
SW医疗器械,0.3,0.2,0.2,0.1,0.1,0.1
SW医疗服务,0.3,0.2,0.2,0.1,0.1,0.1
SW医药商业,0.3,0.2,0.2,0.1,0.1,0.1
SW生物制品,0.3,0.2,0.2,0.1,0.1,0.1
SW一般零售,0.3,0.2,0.1,0.2,0.1,0.1
SW专业零售,0.3,0.2,0.1,0.2,0.1,0.1
SW商业物业经营,0.3,0.2,0.1,0.2,0.1,0.1
SW贸易,0.3,0.2,0.1,0.2,0.1,0.1
SW地面兵装,0.3,0.2,0.1,0.2,0.1,0.1
SW航天装备,0.3,0.2,0.1,0.2,0.1,0.1
SW航空装备,0.3,0.2,0.1,0.2,0.1,0.1
SW船舶制造,0.3,0.2,0.1,0.2,0.1,0.1
SW视听器材,0.3,0.2,0.1,0.2,0.1,0.1
SW其他建材,0.3,0.2,0.1,0.2,0.1,0.1
SW水泥制造,0.3,0.2,0.1,0.2,0.1,0.1
SW玻璃制造,0.3,0.2,0.1,0.2,0.1,0.1
SW专业工程,0.3,0.2,0.2,0.1,0.1,0.1
SW园林工程,0.3,0.2,0.2,0.1,0.1,0.1
SW基础建设,0.3,0.2,0.2,0.1,0.1,0.1
SW房屋建设,0.3,0.2,0.2,0.1,0.1,0.1
SW装修装饰,0.3,0.2,0.2,0.1,0.1,0.1
SW园区开发,0.3,0.2,0.2,0.1,0.1,0.1
SW房地产开发,0.3,0.2,0.2,0.1,0.1,0.1
SW工业金属,0.3,0.3,0.1,0.1,0.1,0.1
SW稀有金属,0.3,0.3,0.1,0.1,0.1,0.1
SW金属非金属新材料,0.3,0.3,0.1,0.1,0.1,0.1
SW黄金,0.3,0.3,0.1,0.1,0.1,0.1
SW专用设备,0.3,0.3,0.1,0.1,0.1,0.1
SW仪器仪表,0.3,0.3,0.1,0.1,0.1,0.1
SW运输设备,0.3,0.3,0.1,0.1,0.1,0.1
SW通用机械,0.3,0.3,0.1,0.1,0.1,0.1
SW金属制品,0.3,0.3,0.1,0.1,0.1,0.1
SW其他交运设备,0.3,0.2,0.2,0.1,0.1,0.1
SW汽车整车,0.3,0.2,0.2,0.1,0.1,0.1
SW汽车服务,0.3,0.2,0.2,0.1,0.1,0.1
SW汽车零部件,0.3,0.2,0.2,0.1,0.1,0.1
SW元件,0.3,0.2,0.2,0.1,0.1,0.1
SW光学光电子,0.3,0.2,0.2,0.1,0.1,0.1
SW其他电子,0.3,0.2,0.2,0.1,0.1,0.1
SW半导体,0.3,0.2,0.2,0.1,0.1,0.1
SW电子制造,0.3,0.2,0.2,0.1,0.1,0.1
SW电机,0.3,0.2,0.2,0.1,0.1,0.1
SW电气自动化设备,0.3,0.2,0.2,0.1,0.1,0.1
SW电源设备,0.3,0.2,0.2,0.1,0.1,0.1
SW高低压设备,0.3,0.2,0.2,0.1,0.1,0.1
SW服装家纺,0.3,0.2,0.2,0.1,0.1,0.1
SW纺织制造,0.3,0.2,0.2,0.1,0.1,0.1
SW综合,0.3,0.2,0.2,0.1,0.1,0.1
SW计算机应用,0.3,0.2,0.2,0.1,0.1,0.1
SW计算机设备,0.3,0.2,0.2,0.1,0.1,0.1
SW包装印刷,0.3,0.2,0.2,0.1,0.1,0.1
